,0,1,2,3,4,5,6,7,8,9
0,93,7,4,13,118,83,105,56,58,88
1,29,103,115,15,92,95,25,60,146,2
2,19,125,29,147,40,115,99,53,76,21
3,57,119,106,48,53,115,6,88,15,55
4,19,116,93,88,17,115,84,7,141,58
5,29,81,13,111,19,123,72,57,21,43
6,68,96,83,95,125,22,88,119,4,47
7,104,105,144,70,16,60,146,59,71,148
8,48,110,121,61,102,22,124,34,38,30
9,64,89,123,34,108,79,104,47,94,106
10,126,8,72,11,39,96,29,7,78,94
11,132,111,5,134,38,29,120,129,76,121
12,76,77,66,117,84,1,32,119,136,72
13,146,99,43,34,107,67,23,116,7,0
14,45,72,38,36,69,147,26,144,22,65
15,134,12,98,115,18,122,76,72,61,28
16,119,47,106,121,96,2,87,128,132,69
17,60,27,98,88,85,29,145,77,62,32
18,47,135,38,28,120,89,117,18,26,107
19,94,70,17,5,10,142,78,73,38,27
20,102,126,1,89,94,21,0,3,101,45
21,91,80,123,9,37,127,49,85,17,120
22,44,50,28,17,29,111,116,127,136,64
23,45,124,7,133,136,142,77,149,137,97
24,101,81,19,110,91,88,20,94,3,144
25,103,125,47,77,75,82,134,119,17,129
26,83,48,61,75,73,54,127,71,144,58
27,103,60,18,58,51,127,117,7,47,96
28,57,110,20,149,50,64,59,61,132,21
29,101,74,85,10,39,134,122,146,22,140
30,58,0,97,95,119,122,44,61,139,4
31,133,124,132,127,129,22,28,24,94,99
32,137,32,114,144,85,88,132,87,115,118
33,124,97,107,84,64,25,136,41,46,145
34,135,141,78,128,61,95,125,4,139,88
35,72,137,131,0,56,73,34,65,114,129
36,110,87,111,45,86,139,141,101,9,94
37,132,140,45,114,16,32,120,91,88,146
38,68,110,116,105,42,128,138,59,12,134
39,5,106,67,10,128,3,83,62,63,95
40,70,86,80,17,130,109,106,89,85,18
41,42,138,116,148,46,94,34,63,68,86
42,109,12,66,69,64,148,43,89,3,117
43,51,92,147,27,52,87,86,112,64,46
44,129,68,123,142,88,106,91,139,62,73
45,126,143,118,47,89,87,80,121,119,10
46,64,53,108,145,85,32,11,109,130,21
47,56,125,11,83,31,28,94,69,104,71
48,51,17,47,3,69,45,74,97,121,31
49,105,13,135,88,89,65,104,63,38,66
50,38,117,36,146,95,59,10,132,83,142
51,3,112,136,58,111,88,98,147,16,76
52,19,11,32,95,65,122,22,98,75,140
53,123,92,133,40,22,3,84,85,140,132
54,73,7,129,101,58,5,11,12,26,137
55,125,22,148,65,138,4,5,81,96,7
56,2,32,115,21,102,127,66,148,73,149
57,42,10,122,1,111,98,92,13,99,15
58,91,107,103,56,4,76,72,38,46,7
59,66,148,71,78,100,117,124,90,104,68
60,126,23,0,75,17,9,70,120,119,32
61,47,36,13,125,126,88,95,82,146,103
62,111,81,1,96,118,122,43,83,95,148
63,66,48,139,94,106,42,83,65,70,54
64,105,36,136,132,142,70,98,24,91,65
65,127,97,81,73,91,114,37,118,5,123
66,76,118,24,7,115,20,136,99,119,44
67,130,71,54,141,82,55,61,129,88,145
68,134,37,3,57,45,20,90,115,113,138
69,135,19,84,143,64,104,147,112,25,1
70,148,23,108,37,121,83,113,112,146,14
71,75,39,66,127,91,100,133,37,24,63
72,74,36,25,140,93,24,55,115,118,15
73,131,7,63,97,143,118,61,65,60,115
74,129,41,7,93,0,116,22,82,127,71
75,9,6,70,140,129,64,39,134,42,30
76,42,123,131,9,5,89,53,87,13,19
77,66,123,99,28,96,125,116,83,68,98
78,85,68,130,65,83,146,52,95,7,2
79,125,128,46,139,24,92,1,32,65,144
80,52,69,140,130,6,47,131,35,134,142
81,20,38,104,118,24,71,85,0,58,57
82,114,105,61,28,73,96,89,81,108,74
83,149,72,123,138,134,40,81,61,14,109
84,122,134,10,143,116,26,57,108,78,138
85,135,21,3,88,71,100,117,56,5,130
86,144,103,67,82,74,3,126,94,70,32
87,83,32,148,11,64,50,129,107,106,59
88,98,116,124,77,126,26,3,133,107,47
89,28,65,20,70,81,148,94,84,42,92
90,6,94,74,54,127,29,39,107,120,72
91,142,83,124,17,9,26,113,42,96,95
92,31,2,34,5,63,99,57,132,52,75
93,138,43,51,125,110,67,93,20,69,10
94,17,78,11,128,34,134,51,119,68,95
95,58,64,40,147,82,57,63,2,131,4
96,94,103,107,105,21,54,42,100,57,14
97,117,8,135,22,80,111,95,64,119,70
98,139,53,95,26,82,108,124,43,138,115
99,141,89,146,8,7,142,67,73,124,80
