,0,1,2,3,4,5,6,7,8,9
0,38,79,56,84,86,54,35,18,106,114
1,107,134,52,70,24,46,7,25,78,95
2,85,68,47,32,12,90,111,17,127,139
3,105,114,82,118,96,78,89,94,16,87
4,120,110,52,134,147,11,92,20,100,66
5,6,124,49,102,97,28,140,132,92,131
6,117,96,85,100,120,34,72,69,77,35
7,10,144,122,61,146,11,57,141,126,137
8,24,91,33,55,30,98,140,105,31,99
9,40,108,9,121,82,110,147,140,136,89
10,43,13,114,7,104,108,65,31,16,122
11,97,130,111,17,64,68,32,108,115,46
12,71,118,140,1,23,56,95,20,90,51
13,137,27,107,46,83,128,116,119,129,10
14,20,71,33,131,11,100,96,66,144,139
15,23,57,54,74,50,90,41,43,78,29
16,52,8,129,101,97,77,113,126,112,68
17,105,5,73,34,57,133,4,69,121,61
18,24,6,130,141,83,3,95,27,79,105
19,24,108,110,44,139,9,146,134,33,100
20,5,21,137,70,29,13,35,73,31,145
21,149,15,63,40,45,42,99,68,19,93
22,9,73,72,112,6,134,125,61,35,147
23,60,91,51,122,67,47,14,81,10,96
24,76,139,147,133,26,56,84,94,33,135
25,78,118,35,116,140,43,148,76,87,18
26,69,67,50,71,6,73,115,5,92,126
27,10,77,35,117,34,43,114,66,4,128
28,12,107,96,140,45,112,110,130,78,80
29,96,66,49,74,62,15,60,117,71,73
30,30,44,22,58,94,78,52,56,127,103
31,15,132,39,22,62,125,10,11,40,50
32,78,55,37,129,20,48,84,34,9,137
33,23,35,130,71,7,83,113,62,15,10
34,70,46,66,2,53,139,99,91,75,13
35,86,73,54,68,50,14,44,85,52,77
36,52,98,9,140,134,85,29,143,104,1
37,92,100,51,56,41,4,112,72,57,144
38,31,21,123,114,2,141,127,89,76,129
39,8,109,16,39,122,108,83,138,94,120
40,55,20,112,1,6,107,106,3,10,65
41,129,103,133,55,149,122,111,126,8,97
42,8,93,116,103,115,31,57,64,10,70
43,67,82,144,72,32,149,122,70,4,20
44,31,84,132,24,21,19,110,83,95,34
45,140,7,31,27,122,142,84,8,33,74
46,20,27,41,65,84,6,45,52,79,116
47,35,118,143,102,56,96,47,6,13,69
48,50,41,34,73,72,17,94,139,27,143
49,49,98,7,45,78,129,82,99,146,122
50,135,110,112,9,81,42,10,96,54,11
51,48,24,57,73,138,140,29,4,6,112
52,10,22,80,89,37,114,117,122,75,132
53,35,80,111,143,104,44,61,3,15,58
54,119,34,131,63,15,4,86,29,100,123
55,82,126,3,118,96,65,132,14,8,112
56,104,58,33,98,78,114,2,19,55,44
57,68,21,29,125,16,121,13,45,1,75
58,48,12,21,53,126,137,22,80,89,31
59,114,7,35,89,15,24,3,69,5,111
60,106,130,95,17,116,55,112,56,99,103
61,121,144,118,75,29,27,87,149,17,8
62,53,68,37,127,98,110,94,10,87,51
63,67,43,1,4,124,73,14,87,139,68
64,136,84,73,67,31,117,129,25,56,130
65,11,119,7,76,138,102,61,127,48,10
66,82,24,63,46,116,79,101,137,81,125
67,24,15,127,131,116,87,119,92,130,27
68,148,15,30,116,125,29,33,100,88,124
69,81,96,106,111,24,138,125,145,74,59
70,121,111,29,23,57,42,98,125,10,89
71,120,142,107,50,148,56,14,116,53,103
72,119,134,106,101,112,36,111,97,45,113
73,146,118,133,137,13,16,38,54,145,122
74,7,113,89,4,123,140,45,15,114,62
75,126,49,84,108,64,72,55,18,82,85
76,66,123,149,65,29,45,63,142,37,137
77,115,82,102,98,85,24,97,72,20,147
78,6,17,81,85,48,84,14,72,36,86
79,63,56,72,69,104,149,140,42,134,82
80,138,61,142,50,81,46,115,136,9,94
81,38,33,101,74,121,132,81,68,18,0
82,38,43,84,72,85,54,18,80,16,0
83,127,81,70,86,51,67,126,34,50,9
84,90,113,48,122,15,42,22,18,28,39
85,118,110,107,66,22,114,91,3,42,50
86,102,139,73,143,16,67,49,126,86,57
87,93,57,119,53,51,111,50,37,43,139
88,147,109,60,40,33,104,135,87,121,110
89,59,18,136,141,51,25,54,132,71,60
90,63,3,142,28,121,45,139,32,85,105
91,44,32,83,2,114,35,85,21,106,59
92,69,42,136,114,18,77,105,89,132,146
93,78,109,57,33,129,125,75,100,137,3
94,130,118,73,52,103,128,4,35,86,127
95,38,115,24,105,114,9,63,146,74,110
96,84,22,125,100,120,37,26,124,121,119
97,109,149,42,85,114,25,59,2,14,34
98,91,51,35,132,94,96,93,117,24,119
99,47,132,139,116,125,91,46,19,89,142
