,0,1,2,3,4,5,6,7,8,9
0,42,147,55,51,135,40,134,102,132,142
1,8,14,91,58,52,141,65,20,32,78
2,97,33,78,18,16,65,10,22,27,25
3,46,18,17,139,81,115,148,132,3,11
4,62,97,90,87,58,10,88,9,41,30
5,65,85,144,41,95,29,12,15,77,57
6,82,66,134,13,85,103,36,113,100,117
7,10,119,51,122,9,26,88,95,136,0
8,91,23,78,62,59,30,73,123,71,49
9,64,105,42,149,34,136,96,80,115,48
10,35,117,0,20,116,132,146,64,72,71
11,44,72,59,87,109,82,10,14,131,137
12,76,133,69,81,9,84,138,24,96,137
13,27,133,73,13,79,46,4,48,137,128
14,127,106,55,64,131,102,57,67,8,71
15,42,110,46,51,16,63,22,28,6,15
16,73,22,136,67,17,132,129,142,124,101
17,24,46,119,61,80,143,15,87,118,12
18,72,53,109,110,22,29,30,48,86,119
19,94,102,133,88,49,8,64,37,67,19
20,136,140,37,0,119,147,123,69,67,148
21,95,142,59,3,16,50,44,129,5,35
22,91,90,80,96,44,106,72,92,87,116
23,37,68,122,11,127,125,16,107,98,60
24,106,105,125,75,9,24,26,97,88,1
25,45,83,63,142,80,81,133,98,19,113
26,4,102,96,6,48,135,28,66,127,123
27,133,45,122,41,99,23,48,148,68,7
28,104,48,105,57,145,130,133,33,49,143
29,89,45,9,96,12,135,4,122,134,74
30,145,30,75,128,93,39,116,22,79,125
31,76,120,148,29,98,102,116,99,100,34
32,29,121,2,12,120,28,62,59,131,18
33,23,6,42,140,111,10,30,96,73,137
34,117,100,12,92,103,112,38,128,110,135
35,50,37,108,15,132,16,1,74,13,30
36,125,119,25,46,17,58,92,13,10,121
37,89,28,149,87,23,88,65,40,9,139
38,4,64,119,78,39,46,83,133,68,82
39,72,50,100,117,32,87,104,71,31,41
40,113,106,21,116,26,143,102,10,28,81
41,117,96,144,48,56,92,20,27,105,35
42,39,68,86,131,46,81,92,119,38,16
43,76,53,95,115,33,147,13,80,75,59
44,46,15,65,96,59,48,98,42,12,26
45,63,98,110,16,103,7,112,83,129,97
46,67,83,39,87,138,124,24,139,25,123
47,121,29,89,37,96,138,13,147,71,41
48,116,3,44,70,92,123,18,23,24,97
49,87,72,60,35,107,69,103,118,28,31
50,60,110,107,30,80,108,109,64,145,95
51,4,128,123,55,91,131,126,89,90,44
52,24,54,88,92,69,41,21,66,125,132
53,0,11,43,84,141,15,137,40,91,93
54,15,141,45,27,7,120,36,148,132,55
55,82,148,26,4,44,54,115,102,111,64
56,86,24,48,81,114,85,65,80,109,123
57,126,55,83,61,12,144,2,82,84,28
58,42,124,135,107,5,102,53,36,33,138
59,93,84,135,36,141,9,4,40,124,38
60,35,14,51,76,56,86,90,27,83,23
61,0,42,107,33,125,119,144,122,50,45
62,63,132,28,81,100,48,91,119,65,71
63,71,104,34,99,126,48,103,115,122,32
64,65,47,117,129,111,109,114,106,118,43
65,107,118,148,81,11,7,49,131,100,20
66,127,10,146,85,55,133,44,143,108,79
67,44,88,51,144,113,73,39,123,41,37
68,68,140,123,103,47,136,22,133,65,60
69,83,128,135,15,145,77,22,42,97,116
70,148,103,85,26,59,112,57,83,132,82
71,131,93,115,36,83,84,97,75,105,27
72,89,7,147,34,43,113,27,119,95,69
73,54,35,7,135,143,18,88,69,9,119
74,75,130,10,4,131,18,111,36,32,65
75,128,75,90,9,120,146,95,97,125,132
76,27,81,149,123,63,4,104,71,148,130
77,21,121,81,76,9,18,15,36,118,58
78,132,118,105,72,86,7,143,39,144,100
79,132,92,49,61,24,70,29,66,100,33
80,68,71,35,61,18,52,116,126,6,140
81,40,27,45,77,141,55,43,103,115,86
82,7,26,133,12,63,75,118,9,128,58
83,59,124,20,8,114,19,68,122,1,81
84,108,29,76,0,138,48,91,24,49,63
85,149,0,16,75,2,112,41,82,120,32
86,49,59,39,134,52,56,140,19,73,149
87,36,121,48,111,99,38,120,10,82,43
88,108,47,147,7,0,28,112,21,23,123
89,25,35,71,135,0,23,96,26,43,77
90,105,95,15,58,10,81,147,61,39,30
91,133,47,33,29,130,88,24,136,74,111
92,89,30,105,3,118,149,4,10,93,123
93,131,20,36,139,44,65,67,49,123,32
94,62,7,22,135,33,48,120,72,26,70
95,117,23,2,102,38,26,62,27,100,83
96,89,24,6,117,125,118,74,33,28,40
97,108,117,145,90,43,118,28,133,80,126
98,96,146,126,123,115,4,133,19,62,38
99,57,81,6,46,99,97,123,28,69,27
