,0,1,2,3,4,5,6,7,8,9
0,119,140,23,18,26,14,67,71,136,37
1,34,130,71,64,139,57,125,81,84,25
2,50,89,80,71,30,37,81,14,147,69
3,44,96,143,72,2,146,91,107,137,74
4,122,88,107,117,60,35,90,106,68,112
5,79,95,76,69,51,129,60,97,122,75
6,25,146,24,40,2,134,129,53,111,49
7,128,49,130,75,101,51,68,132,19,3
8,149,61,89,131,91,105,39,11,74,143
9,102,29,28,136,108,52,118,115,141,79
10,29,126,142,140,110,95,56,124,13,94
11,147,17,117,31,99,68,141,127,4,3
12,99,53,86,92,42,93,114,50,84,32
13,100,117,102,140,0,1,133,74,70,71
14,106,46,135,139,73,31,18,21,136,57
15,87,72,139,83,64,122,32,116,27,113
16,30,37,7,16,107,105,114,44,93,115
17,124,137,47,147,68,53,144,55,90,107
18,137,3,87,31,81,64,104,69,8,63
19,16,106,113,44,75,97,50,80,49,46
20,0,28,110,40,124,20,91,106,143,82
21,22,23,114,144,57,3,21,148,122,52
22,126,117,39,66,69,2,79,134,57,12
23,114,3,62,93,88,129,26,70,45,131
24,61,99,28,126,96,119,142,18,108,44
25,78,38,98,12,18,88,68,96,135,67
26,43,126,33,128,35,10,50,71,52,91
27,111,119,130,94,21,106,95,136,137,28
28,49,75,62,10,83,39,59,111,119,40
29,106,54,37,111,53,2,58,74,81,64
30,141,67,9,109,16,6,148,145,128,116
31,17,126,14,129,39,92,99,97,93,33
32,122,89,123,96,93,32,133,7,68,81
33,107,128,134,89,136,81,79,129,95,15
34,141,59,120,125,123,137,69,133,18,75
35,51,119,16,65,62,54,39,2,139,35
36,57,102,61,137,22,33,7,120,119,89
37,41,30,49,79,25,45,5,86,90,85
38,145,39,5,31,76,51,61,24,127,83
39,27,65,11,98,13,89,35,75,101,123
40,99,122,31,143,100,110,145,72,53,146
41,53,40,124,89,38,80,47,20,7,9
42,28,50,44,11,96,65,119,109,56,149
43,89,115,117,13,37,29,8,30,92,44
44,65,118,142,57,28,125,0,147,19,23
45,55,5,114,107,6,66,123,71,42,110
46,50,108,97,136,142,148,104,0,69,48
47,112,50,43,114,56,6,149,24,92,144
48,139,93,107,13,126,147,1,146,118,7
49,9,31,148,106,44,149,107,2,131,59
50,115,48,93,46,139,56,25,33,34,127
51,46,68,141,139,103,125,126,119,99,14
52,20,56,4,113,13,57,86,17,105,87
53,98,132,44,85,7,18,107,14,75,144
54,67,31,54,64,18,60,140,139,0,91
55,88,18,53,84,146,23,25,108,94,85
56,23,86,42,50,67,63,4,29,38,143
57,94,134,68,143,115,10,33,17,50,51
58,43,148,97,10,124,81,114,135,126,70
59,67,14,6,56,86,35,126,118,117,47
60,132,53,98,144,74,78,35,135,130,122
61,62,115,125,90,100,97,110,20,148,16
62,8,4,90,85,82,13,20,27,107,67
63,130,95,111,70,90,38,91,139,143,96
64,20,85,66,107,148,83,60,82,129,147
65,6,31,90,104,100,14,74,24,93,20
66,9,67,128,125,86,87,96,136,41,59
67,9,5,17,24,96,110,30,2,32,36
68,59,42,85,6,138,33,36,11,12,3
69,138,24,72,81,21,30,140,53,25,12
70,14,60,105,48,29,89,39,120,83,115
71,90,49,27,147,106,28,3,37,92,89
72,130,97,36,109,48,135,78,115,148,29
73,85,37,144,11,93,47,122,19,115,27
74,49,120,10,4,6,31,27,76,146,85
75,66,131,118,103,109,144,81,53,35,146
76,53,136,97,131,74,112,117,39,65,59
77,98,123,52,149,17,91,15,108,36,55
78,60,64,17,85,27,102,148,25,23,16
79,2,53,74,25,115,139,46,58,56,3
80,75,22,72,97,57,137,61,89,88,12
81,57,76,147,0,133,126,91,135,127,42
82,106,119,117,40,58,75,74,127,59,54
83,17,16,131,19,90,9,12,95,106,74
84,32,3,4,30,146,131,71,64,100,44
85,135,90,13,10,0,53,149,46,41,49
86,62,77,39,104,85,27,102,63,91,8
87,143,123,145,129,93,74,133,43,115,54
88,25,147,58,78,135,141,59,97,52,10
89,49,142,124,18,52,104,1,75,125,62
90,40,97,107,57,72,102,69,39,125,115
91,8,75,137,141,100,126,86,32,30,121
92,8,68,139,24,81,86,29,45,143,51
93,46,144,64,145,38,147,84,13,85,135
94,42,117,81,4,123,138,47,53,61,52
95,131,3,57,53,132,47,42,71,4,34
96,8,127,59,21,0,130,148,125,11,122
97,92,139,9,127,97,85,138,45,47,52
98,38,63,57,6,30,106,130,29,60,90
99,52,113,36,3,107,75,117,15,148,40
