,0,1,2,3,4,5,6,7,8,9
0,63,65,91,59,121,82,139,43,71,31
1,148,108,38,146,78,130,63,89,142,49
2,87,98,69,18,46,81,14,91,68,39
3,66,136,0,26,90,1,98,72,137,121
4,107,17,62,83,99,103,70,37,109,65
5,136,37,142,22,47,32,137,34,55,141
6,140,101,148,118,8,108,89,98,93,55
7,96,29,100,51,123,90,93,40,83,148
8,48,78,41,137,61,136,38,106,55,54
9,47,75,102,80,123,68,130,100,91,31
10,16,42,20,63,65,113,61,32,0,76
11,42,110,92,143,127,62,33,47,86,30
12,27,6,16,81,14,12,133,89,42,136
13,2,78,71,100,54,146,27,17,39,14
14,88,14,17,31,44,7,48,50,30,133
15,29,59,48,76,28,25,135,128,42,7
16,69,145,81,59,119,80,63,20,82,32
17,136,18,14,103,22,73,0,69,25,19
18,65,3,140,2,63,4,66,116,56,78
19,62,12,13,69,142,148,66,61,128,139
20,100,65,142,45,148,123,95,109,84,107
21,39,76,12,88,124,9,95,48,149,89
22,134,37,58,135,109,119,29,59,71,86
23,99,147,97,18,23,60,65,93,75,133
24,14,36,67,33,118,25,147,149,69,77
25,81,87,53,60,103,143,34,29,99,23
26,30,37,96,32,49,1,83,148,115,99
27,1,37,76,149,147,91,112,116,13,72
28,130,2,73,22,54,11,9,45,144,119
29,39,90,148,104,68,34,119,114,54,61
30,19,63,47,143,92,35,49,109,31,60
31,110,73,147,130,63,17,23,49,96,53
32,131,36,91,121,113,12,144,87,1,33
33,58,139,55,45,37,77,63,141,18,102
34,129,78,29,141,38,105,95,15,126,86
35,10,145,3,128,117,25,94,4,135,12
36,89,73,134,9,23,123,103,133,12,100
37,124,98,58,31,27,97,148,53,3,120
38,88,112,33,19,85,134,137,8,3,34
39,34,114,50,39,28,122,32,121,5,35
40,131,70,6,85,103,13,5,51,129,38
41,10,112,97,37,23,99,25,43,22,72
42,108,12,3,33,80,120,96,36,74,20
43,4,13,2,116,133,102,134,21,14,24
44,97,4,145,8,66,93,92,50,120,12
45,114,91,68,147,76,6,74,53,120,102
46,133,12,125,87,24,88,51,71,98,92
47,107,11,116,66,44,30,18,51,34,84
48,26,22,144,123,16,119,118,104,46,56
49,37,15,0,24,43,51,79,34,59,4
50,56,125,45,122,129,102,101,87,52,51
51,106,116,110,94,53,3,129,109,14,11
52,37,112,9,35,104,140,18,77,43,62
53,28,61,6,44,49,142,34,51,91,78
54,50,116,69,68,98,17,30,122,16,10
55,27,74,78,112,4,45,121,61,58,70
56,14,108,8,65,148,69,70,98,100,112
57,90,2,80,35,98,13,14,84,20,49
58,117,90,126,61,58,128,26,30,47,72
59,149,84,75,96,1,138,87,141,59,4
60,55,0,148,89,104,66,15,30,12,4
61,66,113,32,127,122,100,18,147,16,121
62,41,102,35,56,114,29,96,47,12,39
63,148,88,105,146,131,69,15,16,1,63
64,105,47,136,103,30,40,34,80,98,20
65,143,123,144,131,32,6,100,39,2,62
66,146,80,114,91,106,32,62,0,55,90
67,53,51,26,1,118,127,137,4,130,7
68,114,104,64,61,36,4,14,74,10,21
69,72,141,41,34,127,114,90,78,16,14
70,115,118,6,62,126,149,72,54,15,117
71,39,68,35,47,69,0,138,50,20,80
72,7,118,105,109,28,68,15,32,117,149
73,113,21,37,58,15,141,97,8,121,117
74,101,91,4,23,7,116,130,34,82,100
75,99,66,74,22,51,5,140,79,36,88
76,135,131,123,141,83,129,98,1,38,108
77,145,42,14,108,77,38,142,79,67,9
78,106,33,10,40,36,148,117,147,67,2
79,0,115,126,101,133,53,41,15,19,22
80,55,132,86,100,67,56,114,30,96,8
81,20,120,128,53,121,60,147,52,109,95
82,46,3,148,87,78,45,96,93,31,38
83,71,29,55,84,98,124,139,30,123,145
84,12,121,45,22,7,144,82,47,123,16
85,125,52,92,142,76,135,143,100,9,103
86,43,124,127,101,95,56,39,53,103,116
87,115,68,84,121,94,149,66,32,69,52
88,120,91,111,138,1,47,129,139,73,68
89,4,42,123,99,20,30,129,16,65,114
90,93,71,28,139,8,72,2,12,78,45
91,23,78,6,85,88,73,13,8,55,91
92,17,143,46,57,20,52,0,2,53,19
93,49,110,75,59,136,31,40,53,36,95
94,36,119,70,21,105,0,8,98,22,10
95,62,78,13,109,44,40,57,3,79,58
96,87,55,89,26,102,82,86,149,2,45
97,35,146,68,3,21,96,9,93,116,99
98,33,103,149,80,45,91,28,47,84,48
99,92,104,40,57,20,38,124,56,93,89
