,0,1,2,3,4,5,6,7,8,9
0,18,145,20,110,22,120,42,43,13,67
1,41,93,99,8,128,102,9,88,20,50
2,43,47,149,7,18,138,26,112,86,70
3,119,12,112,72,47,38,130,74,105,129
4,147,134,129,81,40,116,4,69,26,93
5,38,59,70,17,33,130,79,97,51,0
6,14,71,129,86,97,81,30,133,53,101
7,38,35,119,17,64,31,77,128,73,74
8,69,109,55,116,57,45,44,63,139,105
9,122,95,17,104,74,137,60,3,94,69
10,7,16,10,141,1,26,128,97,44,49
11,7,132,30,137,145,91,3,61,94,112
12,28,123,50,120,128,79,105,112,122,110
13,102,95,5,118,15,48,138,7,26,100
14,54,115,142,106,52,145,143,39,5,114
15,84,66,16,47,2,115,40,138,4,49
16,112,7,107,148,31,142,11,86,144,93
17,129,71,113,68,56,24,142,147,9,140
18,105,131,34,137,4,22,142,86,92,58
19,73,136,99,135,131,13,122,109,8,113
20,147,49,119,31,55,65,19,18,13,136
21,81,22,147,9,89,148,118,143,12,24
22,94,23,43,131,4,34,29,39,86,14
23,86,96,106,73,133,78,57,134,121,11
24,109,45,52,97,39,124,22,92,89,46
25,79,73,116,133,59,72,64,143,67,82
26,24,123,72,147,107,15,100,132,29,31
27,73,58,138,40,20,96,78,72,112,76
28,5,147,96,139,32,36,126,28,18,78
29,122,78,115,147,29,144,124,46,132,49
30,106,83,0,105,48,28,68,62,38,120
31,23,10,103,117,6,51,84,13,26,77
32,126,38,63,58,52,23,33,6,37,143
33,52,36,101,126,95,19,64,90,31,44
34,80,9,82,145,107,141,44,89,6,1
35,9,54,74,92,86,121,141,48,12,32
36,93,97,94,60,149,105,21,135,131,148
37,10,37,93,111,51,44,129,64,55,108
38,77,62,88,117,110,6,97,68,124,73
39,117,87,55,52,126,67,12,101,145,136
40,4,52,95,47,7,127,61,25,50,139
41,35,149,44,135,39,72,51,148,137,139
42,87,131,31,135,104,56,144,102,124,83
43,107,108,92,133,78,55,113,10,145,134
44,96,108,128,97,11,107,106,111,61,19
45,121,90,75,114,48,51,45,73,140,88
46,121,99,4,51,1,112,110,142,124,28
47,101,87,25,74,42,20,9,53,51,129
48,96,83,75,57,26,70,135,123,99,112
49,116,49,18,140,138,63,31,72,136,86
50,122,63,140,149,51,142,101,59,111,24
51,111,2,70,128,134,101,93,125,140,49
52,11,4,0,31,14,128,41,120,60,50
53,20,44,56,129,101,78,131,73,104,18
54,50,127,75,1,100,106,23,28,115,86
55,135,35,102,105,114,97,54,107,12,78
56,30,106,39,95,122,101,63,48,118,57
57,118,12,119,89,40,22,30,81,58,106
58,101,92,142,53,34,147,96,112,66,46
59,106,59,114,42,92,104,45,47,79,25
60,34,57,66,121,58,23,28,95,48,143
61,149,48,108,121,139,101,135,93,74,44
62,36,24,116,10,149,7,94,106,44,145
63,120,13,123,125,60,16,45,35,91,144
64,10,7,31,52,53,109,17,130,64,128
65,14,57,25,146,106,60,110,141,48,32
66,138,14,139,89,67,121,18,58,135,39
67,46,30,128,66,105,75,115,108,130,116
68,9,134,36,17,0,112,26,72,137,21
69,19,84,35,34,21,149,30,87,100,25
70,20,87,94,77,12,49,42,45,22,66
71,103,66,107,0,130,133,125,40,149,77
72,96,146,119,10,24,136,65,14,88,23
73,11,100,73,2,43,81,61,18,34,139
74,97,85,15,79,12,80,17,108,25,86
75,139,69,98,124,56,94,62,112,6,57
76,98,55,48,91,11,42,63,146,18,144
77,141,73,51,63,117,119,9,30,127,61
78,129,96,31,105,17,132,5,93,112,127
79,5,58,46,9,76,81,0,127,118,86
80,72,31,137,59,122,103,49,52,2,5
81,114,111,19,87,63,69,51,14,107,110
82,80,108,131,48,66,140,79,34,93,102
83,130,3,121,51,68,99,47,5,44,117
84,137,140,93,34,116,117,75,50,138,22
85,30,135,83,105,36,98,25,24,78,41
86,30,45,89,10,47,37,54,11,72,3
87,58,62,32,134,107,83,12,31,28,92
88,136,100,104,91,92,5,72,62,131,128
89,17,72,29,85,97,59,50,130,112,145
90,15,119,83,48,19,89,122,72,55,11
91,30,109,14,50,134,102,22,77,147,62
92,9,54,112,89,133,68,85,3,88,120
93,78,142,56,145,134,44,45,39,126,70
94,148,88,18,75,116,23,30,58,108,109
95,92,62,53,108,114,38,77,32,1,17
96,5,96,57,79,1,45,145,70,87,58
97,56,58,114,118,65,142,130,26,119,45
98,67,125,10,68,52,15,112,78,100,4
99,13,28,122,63,90,70,130,37,84,105
