simu_idx,session_idx,lr
0,0,0.050170803411157094
0,1,0.03116100027540591
0,2,0.0471807903487733
0,3,0.03686010331095582
0,4,0.027696259987142927
0,5,0.03689611065457936
0,6,0.0473004997347065
0,7,0.045036521727058895
0,8,0.02651226533667806
0,9,0.04017534118692274
1,0,0.3179099182786972
1,1,0.31923630527438773
1,2,0.3161498020467062
1,3,0.3173964484556505
1,4,0.318157886157742
1,5,0.3312559494486724
1,6,0.31675873275209815
1,7,0.31871416249856466
1,8,0.3176238498226068
1,9,0.3174115912331094
2,0,0.16561684293996343
2,1,0.17656487504814283
2,2,0.17751284121772615
2,3,0.1703393926999149
2,4,0.17963774102019878
2,5,0.17367556686052169
2,6,0.1841987317498984
2,7,0.17316514150541054
2,8,0.16774894294876694
2,9,0.17346407197500452
3,0,0.244386394409338
3,1,0.24160248604463003
3,2,0.20952807144233984
3,3,0.2105427949655883
3,4,0.20636200973964813
3,5,0.20361322985665548
3,6,0.23192505593809293
3,7,0.19550868840696162
3,8,0.2018082430682897
3,9,0.23806107620115313
4,0,0.07575758899255358
4,1,0.07611728115073428
4,2,0.07523468378483796
4,3,0.07570867495689283
4,4,0.0759784383482611
4,5,0.07582511168485578
4,6,0.07593524043548944
4,7,0.07582760653586669
4,8,0.0759336007600503
4,9,0.07595219796063352
5,0,0.10834062670246573
5,1,0.07266959292873597
5,2,0.08585940936313276
5,3,0.048114010112592455
5,4,0.11915263651821592
5,5,0.11454637577816368
5,6,0.04945429149405915
5,7,0.035259885561483115
5,8,0.11466757004358355
5,9,0.04323902377889909
6,0,0.08312070268935536
6,1,0.08361540312202553
6,2,0.0833550791525391
6,3,0.08315531112827455
6,4,0.08273173209561577
6,5,0.08300020197475617
6,6,0.08294004791426275
6,7,0.08273293415062215
6,8,0.08308409126047085
6,9,0.08331458186554364
7,0,0.11881369132012251
7,1,0.11966511024367248
7,2,0.11995730465536722
7,3,0.11909696567047143
7,4,0.11922827735539178
7,5,0.11807284509060303
7,6,0.11885598300008653
7,7,0.11998139046516303
7,8,0.1192497805453373
7,9,0.1196562079734776
8,0,0.31727305800394884
8,1,0.31811996117643426
8,2,0.3174138918956703
8,3,0.3252727976381591
8,4,0.31814340919600853
8,5,0.31792964668202606
8,6,0.3170548863717563
8,7,0.31783914035365696
8,8,0.3183443154591708
8,9,0.31758411643349677
9,0,0.02524136708185313
9,1,0.02410504985326579
9,2,0.02311561227321309
9,3,0.027427793584098407
9,4,0.012296563762698083
9,5,0.013193764608828797
9,6,0.028162797753337555
9,7,0.012318218411915379
9,8,0.02560439994290013
9,9,0.014918399724946518
10,0,0.3155906006615511
10,1,0.31985613259187534
10,2,0.3183913281937032
10,3,0.31765809051702454
10,4,0.3164652488344983
10,5,0.31955214998540893
10,6,0.31886012159024635
10,7,0.3185664405503309
10,8,0.3129139928948516
10,9,0.3167127185128381
11,0,0.11673354728678703
11,1,0.11767170091612288
11,2,0.11750083653591148
11,3,0.11781134484618389
11,4,0.11819288847012409
11,5,0.11829655249591128
11,6,0.1154255865671532
11,7,0.1161201720799892
11,8,0.11857731479067783
11,9,0.11711935483622656
12,0,0.061079455953795714
12,1,0.0610470490465017
12,2,0.06101074393238289
12,3,0.06078836717980669
12,4,0.06091377561019264
12,5,0.06097765003691159
12,6,0.06053535194144435
12,7,0.06036962396675019
12,8,0.060639806145506805
12,9,0.06086028914787157
13,0,0.23016651484616926
13,1,0.22030813541094063
13,2,0.1829856625722089
13,3,0.18012686125576632
13,4,0.2278262224778285
13,5,0.22797012457052188
13,6,0.18028979076634907
13,7,0.21448105637890347
13,8,0.18436042921080886
13,9,0.18320030221436892
14,0,0.059553763668480156
14,1,0.05844919659048912
14,2,0.05993120443372121
14,3,0.06420834845612401
14,4,0.05462587939301997
14,5,0.05965673266668391
14,6,0.06169632089169541
14,7,0.05811858447281664
14,8,0.05817428907672137
14,9,0.0581365698761158
15,0,0.04491869446046547
15,1,0.044973510883055526
15,2,0.04408462438657353
15,3,0.045005870917289
15,4,0.04497765114723181
15,5,0.045100906820157306
15,6,0.04504651956716172
15,7,0.04494386482358248
15,8,0.044997952393799015
15,9,0.044592039665874876
16,0,0.10072347720278942
16,1,0.10132775264285364
16,2,0.09996592147404708
16,3,0.10062756912560156
16,4,0.10179530036453163
16,5,0.10113343706155473
16,6,0.10191062137295608
16,7,0.10134046605408407
16,8,0.10061372817714226
16,9,0.10133243319705502
17,0,0.22227909223259337
17,1,0.1262853248140172
17,2,0.21745739894137783
17,3,0.12733907957123777
17,4,0.1469038138487197
17,5,0.1507918783582302
17,6,0.21665298929708082
17,7,0.1606432419696492
17,8,0.19579056349575485
17,9,0.21594066184593452
18,0,0.06337480416943382
18,1,0.06336958275901614
18,2,0.06323152037601035
18,3,0.06291293594500952
18,4,0.06227940200362046
18,5,0.06319684191068393
18,6,0.06318631320361431
18,7,0.0632933711278184
18,8,0.06295015690619353
18,9,0.06272299629097466
19,0,0.14885486523897284
19,1,0.14676752755188
19,2,0.11551232246802001
19,3,0.14065857260212364
19,4,0.10144496662371538
19,5,0.14170594814759074
19,6,0.16313582645067742
19,7,0.11641556934666956
19,8,0.14482283024658024
19,9,0.10540063453053965
20,0,0.04862735897143175
20,1,0.0487092493191771
20,2,0.053239127955250175
20,3,0.04273873365373781
20,4,0.046560156269374806
20,5,0.04967661120150347
20,6,0.04343529136904196
