simu_idx,session_idx,p_c
0,0,0.025944945811506952
0,1,0.014988176592626076
0,2,0.023122581269909518
0,3,0.019943942053471497
0,4,0.014077077789879969
0,5,0.020616677006659246
0,6,0.023002320424206826
0,7,0.022023187156966002
0,8,0.013920425722673596
0,9,0.022272699587885893
1,0,0.08837460372301288
1,1,0.09029591447754819
1,2,0.08848997496995047
1,3,0.08872889829545089
1,4,0.08839920160645105
1,5,0.0936748002426101
1,6,0.09356742831720302
1,7,0.08957049216410277
1,8,0.08981431630272393
1,9,0.08849127856200481
2,0,0.048499251527834464
2,1,0.051546842523560586
2,2,0.052853987824476194
2,3,0.051662511143475906
2,4,0.052393618060004865
2,5,0.05191191922332297
2,6,0.05447591888139229
2,7,0.05309970086663147
2,8,0.051651705637262256
2,9,0.05254216180318964
3,0,0.06330005181795302
3,1,0.06335744020928244
3,2,0.05674979932448889
3,3,0.05606888238671135
3,4,0.05675348531517848
3,5,0.05582537478807642
3,6,0.06439520556528457
3,7,0.054738033279500053
3,8,0.055404393181709734
3,9,0.061058514475356596
4,0,0.027767795526866253
4,1,0.027361265000335356
4,2,0.027096820883011644
4,3,0.027033512536775075
4,4,0.0272459808148574
4,5,0.027021788252477048
4,6,0.027038907578474814
4,7,0.027265810069178758
4,8,0.027053359115041035
4,9,0.02708907510470654
5,0,0.034366565273380216
5,1,0.030218829888912998
5,2,0.031225025721350934
5,3,0.022955116415503837
5,4,0.03833697337611276
5,5,0.035436920748014016
5,6,0.022588574501491248
5,7,0.01915743670999226
5,8,0.03531617778911779
5,9,0.0226533932422926
6,0,0.02909746355098697
6,1,0.029656290270660305
6,2,0.030197271042382814
6,3,0.029358723684961216
6,4,0.02954881179802092
6,5,0.029570472015273058
6,6,0.029346761097575398
6,7,0.029238671468668664
6,8,0.029640556858861068
6,9,0.029331473335325924
7,0,0.03835116645605406
7,1,0.03780339135212571
7,2,0.03814784793363836
7,3,0.0382364065992499
7,4,0.03753147115604339
7,5,0.03798848792898741
7,6,0.03740807530307403
7,7,0.0381994162012851
7,8,0.038600634771900365
7,9,0.03819412202290722
8,0,0.09594556354452126
8,1,0.09673705187817144
8,2,0.096738794977388
8,3,0.09842707353295062
8,4,0.09374876084565228
8,5,0.09560197755417266
8,6,0.09417067411750775
8,7,0.09526721768608237
8,8,0.09393973207715622
8,9,0.09517941748780315
9,0,0.011577742633594486
9,1,0.010640092571408492
9,2,0.011101724006046242
9,3,0.011566986361455816
9,4,0.006999982650112232
9,5,0.007436587015199703
9,6,0.012325483377919352
9,7,0.00629167919414384
9,8,0.012450423078687538
9,9,0.007702045206204887
10,0,0.08484620597518237
10,1,0.08762897674687298
10,2,0.08629250041924898
10,3,0.08559855236942313
10,4,0.08804214987158074
10,5,0.08525521942245136
10,6,0.08555788921477388
10,7,0.08662545215729878
10,8,0.08616142773119528
10,9,0.08921993576706365
11,0,0.034122432010473165
11,1,0.03389959435833711
11,2,0.03475065271435567
11,3,0.03526587324061753
11,4,0.03398482071944978
11,5,0.034446563956079486
11,6,0.0353884941987644
11,7,0.034422276827991975
11,8,0.035029554983546166
11,9,0.035284837674007495
12,0,0.023724208088455503
12,1,0.02409015069878244
12,2,0.02349332876951328
12,3,0.023522533388092123
12,4,0.0234788541206176
12,5,0.023680096348977688
12,6,0.023480401573181573
12,7,0.023259244882993198
12,8,0.023289512090166026
12,9,0.023509474596523364
13,0,0.0644718045864342
13,1,0.06228292567178856
13,2,0.05663268241598079
13,3,0.053046186074936864
13,4,0.0667750856711816
13,5,0.06278560385352072
13,6,0.05146903808000209
13,7,0.061439793457976
13,8,0.05114388080616034
13,9,0.055466945144549744
14,0,0.022834218559989038
14,1,0.022017494908490656
14,2,0.02235904596149986
14,3,0.023940173108215473
14,4,0.02134919494579999
14,5,0.022321907777284194
14,6,0.023099675769476753
14,7,0.022020829313457585
14,8,0.02204545150916182
14,9,0.021916017733169695
15,0,0.016921136693350214
15,1,0.016860776336023866
15,2,0.018410676981162943
15,3,0.01678911353012633
15,4,0.016896785343259873
15,5,0.016980055796182097
15,6,0.016915401987521075
15,7,0.016816232653137517
15,8,0.016619217176401576
15,9,0.016651118778759494
16,0,0.032159062323022604
16,1,0.03217886811910592
16,2,0.0330920935590242
16,3,0.03322573094999933
16,4,0.032668319967956015
16,5,0.03265644986084719
16,6,0.032869912308976366
16,7,0.03216403783700484
16,8,0.03238051086971151
