simu_idx,session_idx,p_c
0,0,0.7338653661785061
0,1,0.7338653661789406
0,2,0.7338575252031416
0,3,0.7338653661785532
0,4,0.7338653661785267
0,5,0.7338566812926677
0,6,0.7338573680612367
0,7,0.7338653661788191
0,8,0.7338573902405745
0,9,0.7338653661785173
1,0,0.7095502643356629
1,1,0.7095514221524831
1,2,0.7095514221524816
1,3,0.709551422154414
1,4,0.7095501139766055
1,5,0.7095514221524831
1,6,0.7095501504665721
1,7,0.7095501054128476
1,8,0.7095514221538968
1,9,0.7095514221524832
2,0,0.7942245039856528
2,1,0.7942241745915326
2,2,0.794216885156425
2,3,0.7942239797604398
2,4,0.7942168851564603
2,5,0.7942168851564514
2,6,0.794224457020486
2,7,0.7942243207184263
2,8,0.794216885156461
2,9,0.7942241351163423
3,0,0.6386778002779683
3,1,0.6386731202961032
3,2,0.6386777433105716
3,3,0.6386778960861611
3,4,0.63867722140751
3,5,0.6386731203044193
3,6,0.6386731203004065
3,7,0.6386776514887781
3,8,0.6386731202997769
3,9,0.6386731202972927
4,0,0.03410375949155484
4,1,0.03410375819925747
4,2,0.03410325366585693
4,3,0.034103759246640455
4,4,0.03410325366585682
4,5,0.03410375653764232
4,6,0.034103253665861366
4,7,0.03410375776375414
4,8,0.03410375671661144
4,9,0.034103762457365724
5,0,0.7818288955681453
5,1,0.7818288955681928
5,2,0.7818389417397249
5,3,0.7818384325734357
5,4,0.7818384848486117
5,5,0.781828895568147
5,6,0.7818288955680588
5,7,0.7818385626948864
5,8,0.7818288955681814
5,9,0.7818394387578369
6,0,0.6595833102908613
6,1,0.6595742963500764
6,2,0.6595834571762733
6,3,0.6595828502863444
6,4,0.6595742963501935
6,5,0.6595742963502614
6,6,0.6595827005016631
6,7,0.6595742963502615
6,8,0.6595830399286825
6,9,0.659574296350146
7,0,0.824648386875907
7,1,0.8246402584589608
7,2,0.8246483868759011
7,3,0.8246402671362333
7,4,0.8246483868757447
7,5,0.8246405044462081
