simu_idx,session_idx,p_c
0,0,0.055886268213502614
0,1,0.06740459530997478
0,2,0.07279823336114936
0,3,0.056027301626060885
0,4,0.05897099418119988
0,5,0.06410681045076579
0,6,0.06953383750333954
0,7,0.06632777132972409
0,8,0.0684303434847914
0,9,0.05662469440294181
1,0,0.0761673924946241
1,1,0.06441980387345068
1,2,0.06333510044953597
1,3,0.06872029645922827
1,4,0.06659943343453553
1,5,0.06398483907310155
1,6,0.06894172357239356
1,7,0.06839510532510751
1,8,0.06932067323202731
1,9,0.06587517549711502
2,0,0.04447296636386361
2,1,0.048226925779182625
2,2,0.05213680028185007
2,3,0.052890872164239246
2,4,0.04554399572541013
2,5,0.04901831889633331
2,6,0.04485764219318798
2,7,0.04657209522914928
2,8,0.044392821858356246
2,9,0.051096623624410684
3,0,0.07911968503984887
3,1,0.07651617195590547
3,2,0.07954047134452026
3,3,0.07618136777698852
3,4,0.0807904601170179
3,5,0.07910865421025336
3,6,0.07893978313833076
3,7,0.07795757273308308
3,8,0.07763244233523911
3,9,0.07807989873243075
4,0,0.04732818987659823
4,1,0.04757294977260774
4,2,0.04702425988145798
4,3,0.04742997053814036
4,4,0.047168901302820025
4,5,0.04742831971534292
4,6,0.0472195395506079
4,7,0.04653964594132668
4,8,0.04735973929326067
4,9,0.04672893437657148
5,0,0.050536769263027595
5,1,0.048432891359952705
5,2,0.049497121151673755
5,3,0.05560601272273332
5,4,0.05467792184327594
5,5,0.050801330443856846
5,6,0.058049520364956295
5,7,0.05903666329102319
5,8,0.04841760351693415
5,9,0.04814823558018922
6,0,0.06950886217352158
6,1,0.07444159367511069
6,2,0.06824059389843701
6,3,0.07308635094730492
6,4,0.07592948090408268
6,5,0.07138724850005687
6,6,0.07575332502537435
6,7,0.07099558580743616
6,8,0.07367064216735521
6,9,0.07656069839795747
7,0,0.055856267110892185
7,1,0.050157730359244604
7,2,0.05854705750541127
7,3,0.05095174857813418
7,4,0.05247700946154314
7,5,0.0529242345822287
7,6,0.05100007105905413
7,7,0.05040225582969899
7,8,0.051500291324715425
7,9,0.0484729813431069
8,0,0.043833948744777536
8,1,0.046061408639515855
8,2,0.03995267744886282
8,3,0.033119129091934436
8,4,0.04246184030896186
8,5,0.04371178215527061
8,6,0.04384408652479037
8,7,0.03911145235624107
8,8,0.03293763406471153
8,9,0.03478117485126255
9,0,0.058189592777409635
9,1,0.054466499955525695
9,2,0.05259202139360306
9,3,0.054126457004544735
9,4,0.05473602348335021
9,5,0.05273349327254373
9,6,0.05350446784361195
9,7,0.059154366999393033
9,8,0.057502107356737726
9,9,0.05497867824956444
10,0,0.08496649963285478
10,1,0.08295473234605834
10,2,0.08267870443575746
10,3,0.08543917571718906
10,4,0.08587167546545628
10,5,0.08514801332972342
10,6,0.0869958216637273
10,7,0.08252085956994148
10,8,0.0837741375365644
10,9,0.0862436223011345
11,0,0.0768231297519173
11,1,0.07560038666151873
11,2,0.07553400359938084
11,3,0.07575246777065922
11,4,0.07639681329201592
11,5,0.07629777829187354
11,6,0.08065580431326684
11,7,0.0763365999472901
11,8,0.07510550333758284
11,9,0.07520284357095654
12,0,0.0719101633194006
12,1,0.07170724999802826
12,2,0.0729372853754646
12,3,0.07218855305193075
12,4,0.07115431444550524
12,5,0.07451013249097348
12,6,0.07126320477227463
12,7,0.07111674999379346
12,8,0.07354742519020871
12,9,0.07173444675277249
13,0,0.06589223287954132
13,1,0.07094729816429479
13,2,0.07376776404005177
13,3,0.066727879952698
13,4,0.06919774848596931
13,5,0.06744352395785623
13,6,0.06848890964048483
13,7,0.06761852270449256
13,8,0.06909761449084836
13,9,0.07269994172230722
14,0,0.06545824363869063
14,1,0.065986142368008
14,2,0.06770580058599487
14,3,0.06647867428622277
14,4,0.07180499563468995
14,5,0.06875169167423506
14,6,0.07009926994311037
14,7,0.07154505006653854
14,8,0.06989131040994762
14,9,0.07694271015107533
15,0,0.04848914510800227
15,1,0.05209079589089224
15,2,0.05257604581057745
15,3,0.05424821463099887
15,4,0.054904457793026364
15,5,0.05512478371111142
15,6,0.05726315985748865
15,7,0.05407215860229661
15,8,0.054707814600167055
15,9,0.05315046258929191
16,0,0.08118153654715173
16,1,0.08303667811062615
16,2,0.08419668474787195
16,3,0.08557402864606775
16,4,0.08546589189752105
16,5,0.08302975580368455
