simu_idx,session_idx,p_c,lamda
0,0,0.05588630856416026,0.9999999999999936
0,1,0.06789856397622282,0.9999340987174639
0,2,0.07279889423936092,0.9999999999999042
0,3,0.06780333649816109,0.9999999976357201
0,4,0.05897181020134882,0.999999999999892
0,5,0.06669971815612583,0.9999999999425082
0,6,0.06953214246492014,0.999999999989663
0,7,0.06632608752756351,0.9999999999999726
0,8,0.06848178857751372,0.9999999999916153
0,9,0.0566250178011025,0.9999999999999482
1,0,0.07616097330436525,0.9999999999996427
1,1,0.06441736680641941,0.9999999999998958
1,2,0.06333943481046778,0.99999999758142
1,3,0.06872063780279339,0.999999999999937
1,4,0.06659296609005581,0.9999999999999881
1,5,0.06400194576335937,0.9999999999999499
1,6,0.07468017290809911,0.999999997711615
1,7,0.06865459492869255,0.9999999973466396
1,8,0.06932135055803484,0.9999999999999784
1,9,0.06644828868210656,0.9999999999971798
2,0,0.044473732363843346,0.9999999999999489
2,1,0.04863064776046702,0.9999999969519655
2,2,0.0521358119995515,0.9999999999999704
2,3,0.05408707287581308,0.9999999968951334
2,4,0.046442923313706,0.999999996091848
2,5,0.04901575347835129,0.9999999999999823
2,6,0.044856327467604866,0.9999999999999474
2,7,0.04736424578539388,0.9999999977311095
2,8,0.04439435921789159,0.9999999999999043
2,9,0.05271350882957806,0.9999999999616089
3,0,0.0806261400324673,0.9999998085243388
3,1,0.07651484187874957,0.9999999999999656
3,2,0.07925402777794599,0.9999999686092549
3,3,0.07675470773391191,0.9999999966149135
3,4,0.0807893436751571,0.9999999999999787
3,5,0.07912277326934128,0.9999338923367698
3,6,0.08026290182138829,0.9999999596923035
3,7,0.08037520439535621,0.9999999215811929
3,8,0.07700266667760122,0.9999999215811929
3,9,0.08043991792199094,0.999999999952985
4,0,0.06314932264377154,0.3810214732199674
4,1,0.06401705366696232,0.3803433868713685
4,2,0.06345311773298368,0.3868960656851934
4,3,0.06421582272961607,0.3823535086387214
4,4,0.0635104247931456,0.3925310679009074
4,5,0.06379750267328016,0.38688313194970986
4,6,0.06360896496487706,0.38316096249197107
4,7,0.06350173134313947,0.3771204422197626
4,8,0.06371366838682596,0.38736519581970846
4,9,0.0627271394749997,0.3867239974954983
5,0,0.05558811652791333,0.9999999977271647
5,1,0.048431862720163754,0.9999999999998898
5,2,0.04949562046344136,0.9999999999999734
5,3,0.055591066709771486,0.9999999999999701
5,4,0.05467753651661492,0.9999999999999065
5,5,0.05101176532126963,0.9999999960359631
5,6,0.05804865743506675,0.9999999999998918
5,7,0.05903464578586917,0.9999999999999692
5,8,0.04841714885203732,0.9999999999999516
5,9,0.04815573550880271,0.9999999970130551
6,0,0.06950975285239235,0.9999999999971301
6,1,0.07444105263571804,0.9999999999999055
6,2,0.06824069214461277,0.9999999999992778
6,3,0.07308430220424347,0.9999999999999629
6,4,0.07602936437459018,0.9999337941058386
6,5,0.07201950430410807,0.999999995788443
6,6,0.07825611372069413,0.9998285019044068
6,7,0.07098578202935248,0.9999999999964732
6,8,0.08100012216529663,0.9999999999805538
6,9,0.07843812942818636,0.9999999999813003
7,0,0.05585447819640928,0.9999999999999885
7,1,0.05015711302508576,0.999999999999998
