simu_idx,session_idx,p_c
0,0,0.8999999960673197
0,1,0.8999999960673197
0,2,0.8999999960673197
0,3,0.8999999960673197
0,4,0.8999999960673197
0,5,0.8999999960673197
0,6,0.8999999960673197
0,7,0.8999999960673197
0,8,0.8999999960673197
0,9,0.8999999960673197
1,0,0.8999999960673197
1,1,0.8999999960673197
1,2,0.8999405103454795
1,3,0.8999999960673197
1,4,0.8999999980081166
1,5,0.8999999960673197
1,6,0.8999999983010827
1,7,0.8999999960673197
1,8,0.8999999980242324
1,9,0.8999999960673197
2,0,0.5612192704849298
2,1,0.5567323016098613
2,2,0.5642396700418446
2,3,0.5527343300846644
2,4,0.5538309570509623
2,5,0.5548642241995785
2,6,0.5558545625979988
2,7,0.5662965866825487
2,8,0.5398885711473911
2,9,0.5641376713154054
3,0,0.8999999980242324
3,1,0.8999999960673197
3,2,0.8999999960673197
3,3,0.8999999960673197
3,4,0.8999999960673197
3,5,0.8999999960673197
3,6,0.8999999980256843
3,7,0.8999999960673197
3,8,0.8999999960673197
3,9,0.8999999960673197
4,0,0.8999999977968339
4,1,0.8999999982793672
4,2,0.8999999960467552
4,3,0.8999999964181177
4,4,0.8999999964311541
4,5,0.8999999978893485
4,6,0.8999999964063858
4,7,0.8999999957183665
4,8,0.8999999983479253
4,9,0.8999999981130149
5,0,0.8999452888576452
5,1,0.8999999957505909
5,2,0.8999458581482532
5,3,0.8999999958473243
5,4,0.8999379654211132
5,5,0.8999999956114235
5,6,0.899999996259227
5,7,0.899999996309159
5,8,0.8999999983667588
5,9,0.899999998378154
6,0,0.8999999980109621
6,1,0.8999999960673197
6,2,0.8999999960673197
6,3,0.8999999960673197
6,4,0.8999999982539942
6,5,0.8999999960673197
6,6,0.8999999982591224
6,7,0.8999999960673197
6,8,0.8999999960673197
6,9,0.8999999980271146
7,0,0.8999999960673197
7,1,0.8999999980242324
7,2,0.8999999960673197
7,3,0.8999999960673197
7,4,0.8999999960673197
7,5,0.8999999980276033
7,6,0.8999999960673197
7,7,0.8999405103454795
7,8,0.8999999979820408
7,9,0.8999999979820408
8,0,0.8999999956551218
8,1,0.8999999982299158
8,2,0.8999999982587099
8,3,0.899999995802701
8,4,0.8999999983454734
8,5,0.8999999983283524
8,6,0.8999425419854521
8,7,0.8999999983655149
8,8,0.8999999982945939
8,9,0.8999999983322858
9,0,0.899999998240398
9,1,0.8999999983023754
9,2,0.8999999982324426
9,3,0.8999999964078889
9,4,0.8999999962926307
9,5,0.8999999964131787
9,6,0.899999996434161
9,7,0.8999999983139075
9,8,0.8999999982842063
9,9,0.8999999983108782
10,0,0.8999999960673197
10,1,0.8999999982933198
10,2,0.899999998008632
10,3,0.8999999960673197
10,4,0.8999999960673197
10,5,0.8999999960673197
10,6,0.8999999960673197
10,7,0.8999999960673197
10,8,0.8999999960673197
10,9,0.8999999980242324
11,0,0.8999999960673197
11,1,0.8999999960673197
