simu_idx,session_idx,delta1,delta2,hrate,nu_p
0,0,7.3618526604882115,25.87745518330332,6.610696135189607e-05,4.9999552850167035
0,1,5.717550981251558,13.141848657788724,1.0845511289666676e-17,4.999993067386105
0,2,7.313670984835022,25.996690038473307,6.610696135189607e-05,4.99995488738784
0,3,9.38736951384691,31.521124928254487,6.610624295417817e-05,4.999999999999952
0,4,6.029186764127404,14.492383244968893,3.881660061019106e-10,4.999951341387283
0,5,7.134687139770117,23.89175421580157,6.61069613317778e-05,4.999952687754991
0,6,6.728523985368643,14.800608994782777,3.7532740244490184e-18,4.999955304650497
0,7,7.600121658550294,27.88967280555049,7.491568096408952e-14,4.999955304652821
0,8,6.932735984704066,16.02449405945299,8.984463648449787e-16,4.999955303064834
0,9,7.319162305659612,18.83337032059346,2.190643368655256e-09,4.999955244567355
1,0,7.21691474979802,21.89449154279222,0.0013164493279055358,4.999950708853397
1,1,7.575909829750691,18.11947151044839,4.9983709899031747e-08,4.999955415967132
1,2,7.063414452448548,16.385516803720833,2.535472051055822e-23,4.999955304650598
1,3,7.698486075370138,17.72414138186929,1.2279427537358854e-16,4.999955306645028
1,4,6.508845651586851,14.017084410627218,0.005361736796796691,4.999962109937811
1,5,7.350281671047893,26.014668855392543,6.610696135189607e-05,4.999955377879492
1,6,6.982454729772211,23.202293695818188,0.00015159568148352182,4.999915581678723
1,7,7.34228139451116,21.941125453210823,0.0015013360619705201,4.999949991561107
1,8,8.63984898100622,29.05525491161265,6.611002716016218e-05,4.999999997996567
1,9,6.684769509559524,18.18060366628306,0.0019454960140123467,4.99994450271606
2,0,10.684278197210677,25.34728879171109,0.0022486140337535337,4.9999999999033955
2,1,10.388125704619119,25.030160573181433,0.0026486558949139556,4.999999998616299
2,2,10.593338504293607,25.22011825018074,0.002386081604113011,4.999926742580011
2,3,10.529867248734094,26.10407987621912,0.0023290981320433007,4.999939731811371
2,4,10.614855421764188,25.065126917477524,0.0024393640316511755,4.999942505925648
2,5,10.481071677786435,24.927339739219754,0.002595931421844523,4.99993500619317
2,6,10.776691445386138,25.359917630223993,0.0024755148120836445,4.999935850457248
2,7,10.528604249654478,25.080857270140083,0.0024069840781145682,4.999999860299832
2,8,12.322565751148028,25.727804803659897,0.0015785887516792088,4.99999999999995
2,9,10.524352630770393,24.016351478847785,0.002435974247534928,4.999936185377348
3,0,7.5778206375933745,21.741601570139167,2.735789653299938e-10,4.9999553052155985
3,1,7.174338037381641,22.003733999022415,9.082646817739766e-15,4.999955321128269
3,2,7.089497140566644,23.996665777753304,6.610696135189607e-05,4.999955329009983
3,3,5.911431822633966,9.895584436461549,1.7429766865107688e-07,4.9999834164095445
3,4,7.441333088275274,20.880091996509194,2.2084342010596764e-09,4.999955304650504
3,5,6.57624199046031,15.43982255264483,1.6790375600223612e-07,4.99994168605148
3,6,7.0982607309110115,25.080181674090806,6.610695697813174e-05,4.9999999999999165
3,7,6.495025474083601,18.753039426876633,0.00015415025591973287,4.999941714725935
3,8,6.239916755874563,15.421164262375083,0.0026909959138875675,4.999947091560063
3,9,6.404836935765859,17.935162548337196,0.0014218337298581448,4.999953520088875
4,0,6.352831574300725,20.04186193605095,0.000586846211748948,4.999952021642158
4,1,7.367941946590545,21.57106881554427,3.2050153708825037e-09,4.999942584579291
4,2,6.631017000681054,14.280317485653907,4.6878601334157924e-23,4.999934330463521
4,3,6.5291829331052655,16.80953484564011,6.615918699791984e-08,4.999944801063446
4,4,7.276487495720301,27.2369873924781,6.610696135189607e-05,4.999966381309146
4,5,8.126725185412287,36.01990943926535,3.4835255157932067e-10,4.999962162786417
4,6,6.344000194061816,12.876026515005778,2.746696917935699e-07,4.999944744327516
4,7,7.240021953418451,26.541851223814582,6.610696135189607e-05,4.999965781697356
4,8,8.30193550384839,35.086195112767406,3.6947744575590976e-14,4.999957181811562
4,9,6.2309657962846625,17.591568197899818,0.0013778226407720926,4.999960253820382
5,0,7.678068687081727,22.478648749014454,6.376684410146346e-13,4.999955304737315
5,1,8.764136964889325,29.54632573677691,6.610631213264722e-05,4.999999999999912
5,2,7.925804035817341,29.928374760774343,1.8430274114835673e-15,4.999955302045944
5,3,6.783368840973225,19.155544700294886,0.0017036056030556833,4.999965591839788
5,4,8.042418721926943,30.305641094917977,3.845328778304923e-15,4.9999553045759635
5,5,6.766939047057639,18.922094053956002,0.001787360485086661,4.9999372487739455
5,6,6.3174072951218205,23.506990124124155,7.50215693604353e-12,4.9999455719474675
5,7,7.414339229576547,23.167625623860594,1.0296639627510453e-08,4.999955305065184
5,8,8.144100431337103,24.252465145677462,5.531648299588585e-13,4.999966070717025
5,9,7.558566784601482,22.672749707485735,1.6262740652057028e-07,4.999935259904939
6,0,7.122672672051862,15.337574604340233,1.7805554849685117e-19,4.999955304612695
6,1,7.3197000707903825,24.265841089731005,1.7146278674861027e-09,4.999942942635282
6,2,6.9468753752686725,22.25497848211782,6.61069075831568e-05,4.999999999999932
6,3,7.403439818644579,10.77837027685043,7.912932559459615e-15,4.999955304932668
6,4,8.225461393611921,26.198945329223626,3.981840706226694e-14,4.999955305656696
6,5,8.300363363363175,22.41906265327307,1.381930926218566e-08,4.9999553077823515
6,6,7.784160566835307,21.312972626188586,2.6798465306373787e-09,4.999955302190934
6,7,7.034413203270907,15.436483923816521,1.8784437189745413e-09,4.999955304649637
6,8,7.595466097715439,26.35459815793941,6.610696135189607e-05,4.999955301236721
6,9,7.538506354731498,26.50366949867177,6.610696135189607e-05,4.999955304683326
7,0,6.576540861008065,9.919099703136876,4.548567489238409e-16,4.999964785384719
7,1,6.884799716881881,16.143092333360393,3.4634480666551396e-09,4.999955307604945
7,2,6.742457095242475,18.742667401388875,1.6008903160964305e-17,4.999939921926504
7,3,7.14952167922468,16.563071150947557,9.020333276921965e-17,4.999950590905161
7,4,7.327382706703707,18.286972097357086,2.0728215226633195e-10,4.999956123776274
7,5,6.445461307198683,11.064096473788636,1.6560612890311494e-07,4.999947353925015
7,6,6.690010725264278,12.2373767711155,2.1558696398249753e-08,4.999938015048015
7,7,6.528152084514934,14.56125202255188,6.794060534349604e-17,4.999950875369893
7,8,6.7974963368067325,14.721153970716545,4.226979542707953e-18,4.999955304650503
7,9,7.047958020478108,21.96658327249163,5.8004547559631916e-05,4.999948026118137
8,0,7.477889946044182,21.911978543913172,8.254075896636905e-14,4.999955304080644
8,1,6.201233353428694,16.808127150204918,6.610696135189605e-05,4.999955304471577
8,2,7.467315597742282,18.143084137701365,5.931144106332091e-17,4.999952114663909
8,3,6.390892476371601,18.017563463018192,4.431263110671511e-05,4.999963347339093
8,4,6.060234796833509,16.09899885581383,6.610696135189605e-05,4.999955304384111
8,5,6.834637355138295,20.578628543134784,6.610696135189607e-05,4.999954572465782
8,6,6.481408058701243,17.981637082881548,6.022053047608311e-05,4.99995530464906
8,7,5.9581780410379945,15.405486219908449,9.86807519677167e-10,4.999936336955393
8,8,6.475146083791747,18.717903199245228,6.610696135189607e-05,4.99995131605323
8,9,9.201781764036287,34.90203662493823,6.610693602331334e-05,4.999999999999936
9,0,7.146124441646818,20.180265942237245,0.002961504917769977,4.9999429819593315
9,1,7.013789284545804,28.087342440716213,2.7379220980972266e-08,4.9999604816469185
9,2,7.322121546983084,26.875448271417632,1.6621026863323884e-08,4.999938442113489
9,3,7.220114461498144,24.144860459878526,4.025165179786367e-13,4.999966279079748
9,4,7.778087221308667,26.59879084943297,1.5756882827183566e-08,4.9999651659882876
9,5,7.594449528386001,25.017807282574804,0.0005832850145318,4.999940705644879
9,6,7.982056833339354,32.65681378708422,7.634001734491751e-05,4.999941732689403
9,7,7.6436050782754155,23.608232303687235,2.3289337280192225e-08,4.999933419826546
9,8,7.405155199828806,21.94327279134586,0.004443523883206938,4.999944651114148
9,9,7.422877049508963,23.663770464403612,0.001580299808145114,4.9999982852890135
10,0,6.73652262448951,15.00851822701705,5.1541803121646174e-20,4.999957263565928
10,1,7.113207832505699,15.150099617319961,1.1917096505043342e-09,4.9999553074076
10,2,7.129768194193544,15.453873956163473,2.245165962497641e-09,4.99995530464811
10,3,7.524090019006545,29.767988806765274,6.610696135189607e-05,4.999955385025681
10,4,7.472495761646128,26.027904912187868,4.5006567849708336e-10,4.999941155956287
10,5,7.652359757355979,23.376632228333516,0.0006210721711429789,4.999952392985359
10,6,6.7452469965693735,15.209303101423846,3.1459665617655196e-19,4.999936668010992
10,7,6.69815055687654,15.024686593834343,4.1149039196927434e-19,4.999944690912435
10,8,6.712059408725437,15.256015693779768,1.3657289287017039e-17,4.9999347568136985
10,9,6.711284703252238,15.040252749958348,1.783509071973737e-20,4.999953042747964
11,0,7.199583211043125,20.818765086951718,1.3433152645655626e-09,4.999955305699277
11,1,6.53656579115568,15.165702172052985,3.413113893014175e-09,4.999955304650502
11,2,7.008773590499738,17.88399363105782,9.119507006929717e-19,4.999955304650504
11,3,6.611081900748071,19.345503753358585,6.610696135189607e-05,4.999958140379004
11,4,6.7737950507301,20.822886404338295,6.610696135189607e-05,4.999964775075221
11,5,7.397885536770495,17.920624900158458,1.7806000397825826e-17,4.999955310988158
11,6,7.076752408543281,18.707830200174154,8.140041602400095e-10,4.9999551654005465
11,7,7.314283635817052,21.256252123794365,1.4353737828191174e-09,4.999955251960486
11,8,6.546314497757005,18.510584897302945,6.610696135189607e-05,4.999958525274396
11,9,6.612981517152303,15.718890860176453,6.420436236385675e-08,4.9999365003352025
12,0,7.04291456778818,20.312738321079667,0.0020426567516539005,4.9999571602910295
12,1,7.463053232148521,27.083656450629572,6.610696135189607e-05,4.9999613940012235
12,2,7.059148080901031,20.27142545133963,0.0017908258238498141,4.999957549761046
12,3,6.739409388535943,22.929799579900333,7.898604040627568e-09,4.999936401406699
12,4,6.074836117336615,18.596901230619878,0.000619569995541088,4.999942700051979
12,5,7.1578262739699685,22.255827678256452,0.002406605609652211,4.999964622289672
12,6,7.023342493790827,23.708896629845675,2.584883137359196e-13,4.999940250860001
12,7,6.737102320045616,22.25024326210705,1.413353984524911e-09,4.999940784765983
12,8,6.950361372752768,18.985769281809375,0.00198123563954323,4.999956681807627
12,9,9.769185476087065,28.678129838581174,0.00017306267443649095,4.99999999999997
13,0,7.393757942330896,17.201693244142156,0.006761616749126584,1.4276080230973234
13,1,7.587481233463397,18.031743088327083,0.006629302739069286,1.4707262271737094
13,2,7.42969367926566,17.55070513767991,0.0064322371425102245,1.436464697094662
13,3,7.226971555560082,17.03074944292855,0.007138888670354528,1.4164197216046754
13,4,7.516986567159092,17.537196851267876,0.00658106407133876,1.4485177468458335
13,5,7.521099958396384,18.29476396617014,0.006078394393271113,1.4541565528413407
13,6,7.592681515255866,17.506299759244946,0.006755288598672006,1.4741409546719755
13,7,7.490962177241321,17.211651949131358,0.006546890224476939,1.4517687863816984
13,8,7.564341032117811,17.18426018651531,0.006502722543093588,1.4621299005868555
13,9,7.216840772776775,16.848188626132032,0.006979898480338973,1.4128946263643694
14,0,8.038895611543104,18.538463327533744,1.3825097257258583e-13,4.9999553046520875
14,1,6.428261683090042,18.099253732201387,6.610696135189607e-05,4.999957048041673
14,2,8.860780769872491,32.58392804491846,6.610688997739035e-05,4.999999999999982
14,3,8.50803644849444,32.73686093498657,2.185102515919525e-17,4.9999553049701575
14,4,6.7089883462851825,16.42478566510152,2.171162352995752e-18,4.999962139725144
14,5,7.085697504646612,16.526200571914107,9.820488048614244e-18,4.999955304579446
14,6,7.773558311516997,21.12850267853001,1.9268445325884095e-09,4.999955312016976
14,7,5.6677787115373714,15.853800774325553,3.9212168194001536e-09,4.999986050340694
14,8,7.576066579444756,20.007206820365077,9.460023753393024e-10,4.999955233331176
14,9,6.07594022482798,14.982394676669559,6.553192578790036e-14,4.999965417991862
15,0,6.4913306986062,17.696531707200144,6.212981133508301e-05,4.999953415275469
15,1,6.475749760851744,11.257351073387872,2.188398570716991e-07,4.999959625872496
15,2,6.9796604395387005,16.525286278354717,1.2542167767153191e-09,4.9999467560121
15,3,7.197412554098409,16.972978939873272,1.188510453311368e-13,4.999955305133739
15,4,7.450064757535886,28.260801002723287,6.610698957510169e-05,4.999964410915912
15,5,6.341131753628384,16.934461397663398,0.00019447267171812682,4.999974158519199
15,6,6.641391184459338,14.917959165494311,9.261944116105622e-08,4.999935288823352
15,7,7.529761113381072,19.699456911665717,5.099355943656494e-10,4.999957436100042
15,8,7.2455190543419565,24.092407687318797,0.0008793760230088612,4.99996892889428
15,9,6.954556507150615,16.282463497919892,2.804476494361471e-09,4.999954305836174
16,0,9.772368159967911,22.012284067238465,0.0027119033620406382,2.8457529610171948
16,1,9.524944510782262,22.363177307712633,0.0027011936343061503,2.743527280394402
16,2,9.586802569571592,21.53877019705629,0.002862234441437977,2.7842602086240915
16,3,8.54462330229912,19.401906568319472,0.0030911198811542553,2.403095593601766
16,4,9.529334497985836,21.63985135780408,0.0025722147211947118,2.6998621514387326
16,5,9.082035262595454,21.16545222963542,0.002934968449784956,2.6174548280182033
16,6,9.556233220246632,22.197812189416346,0.002773914200001406,2.6841325144664845
