simu_idx,session_idx,p_c
0,0,0.00010000000009538621
0,1,0.00010000393268029224
0,2,0.00010000393268029224
0,3,0.00010000393268029224
0,4,0.00010000393268029224
0,5,0.00010000197576769636
0,6,0.00010000393268029224
0,7,0.00010000393268029224
0,8,0.00010000393268029224
0,9,0.00010000393268029224
1,0,0.004129963040219909
1,1,0.003936901566751619
1,2,0.004243327692666343
1,3,0.0033833879817570735
1,4,0.004006309450763718
1,5,0.004732666276650262
1,6,0.004075247196361753
1,7,0.004451653726441662
1,8,0.0034583532620232967
1,9,0.0049282476502879955
2,0,0.0742619322960808
2,1,0.07297991052702499
2,2,0.07707714528222095
2,3,0.07665095305224372
2,4,0.06949097783041495
2,5,0.07113450687563168
2,6,0.07095972418024112
2,7,0.07898307495094957
2,8,0.07767780731284636
2,9,0.07469473801971317
3,0,0.0033542608762866313
3,1,0.0023865125680367118
3,2,0.0035570975851413654
3,3,0.0014261958502324926
3,4,0.003416779726093793
3,5,0.0033283199123548234
3,6,0.0033825537654997577
3,7,0.0035419054450011892
3,8,0.0033826812244187802
3,9,0.003950600992074223
4,0,0.002611853886760988
4,1,0.002486347220533597
4,2,0.0029226895912674105
4,3,0.0029279407933635983
4,4,0.0027278576257480317
4,5,0.002718782730870064
4,6,0.0028481218618917293
4,7,0.002698564966308155
4,8,0.0026261877234505667
4,9,0.006743865383334913
5,0,0.0029770647971804004
5,1,0.004698897760888808
5,2,0.0036959235549164954
5,3,0.004357796925198329
5,4,0.003004913657768132
5,5,0.0036846813475977995
5,6,0.003440546762906959
5,7,0.003162671873287133
5,8,0.0034500571403085906
5,9,0.004151307684859879
6,0,0.00015485808693533077
6,1,0.00010000393268029224
6,2,0.00010000393268029224
6,3,0.00010000393268029224
6,4,0.00010000393268029224
6,5,0.00010000393268029224
6,6,0.00010000000009538621
6,7,0.00010000393268029224
6,8,0.00010000393268029224
6,9,0.00010000393268029224
7,0,0.0028304819358819775
7,1,0.002405071226433469
7,2,0.0012036943152049363
7,3,0.0026823802425758746
7,4,0.002007862007126092
7,5,0.001584063456010704
7,6,0.001862277349515924
7,7,0.0005041623419799246
7,8,0.00252850604099208
7,9,0.002533134630681395
8,0,0.000810901912311844
8,1,0.00015251167111622423
8,2,0.000618306412073776
8,3,0.0008593114018203619
8,4,0.0004907244255519379
8,5,0.0007264170447003324
8,6,0.0006694975218957289
8,7,0.0006759252003082609
8,8,0.0009329085409310392
8,9,0.0007486890300886837
9,0,0.08210000374838192
9,1,0.08233146027723012
9,2,0.04673560357708507
9,3,0.10350783251282719
9,4,0.08055417481387918
9,5,0.0797825596567252
9,6,0.10093094786478997
9,7,0.10133414434409627
9,8,0.04805461709686532
9,9,0.10406211118367324
10,0,0.0001320637305494211
10,1,0.00031802431703965243
10,2,0.00010000393268029224
10,3,0.0001103626999246026
10,4,0.00010742071905681062
10,5,0.000285335552357211
10,6,0.0003262635884633924
10,7,0.00010157312765238558
10,8,0.00010000393268029224
10,9,0.00010000393268029224
11,0,0.001606844352572774
11,1,0.0010398882744005445
11,2,0.0013403241470073708
11,3,0.0005146325970695149
11,4,0.001555143543269711
11,5,0.0010065291882563748
11,6,0.0011619127830716281
11,7,0.0012372089326533253
11,8,0.0012554240952017375
11,9,0.0013975275291577816
12,0,0.05646819301225883
12,1,0.05212482002525745
12,2,0.05694979522789696
12,3,0.055560326651006124
12,4,0.06098242716514256
12,5,0.05017469674940291
12,6,0.057377464762051106
12,7,0.05625186871418072
12,8,0.061849460535664855
12,9,0.06706523726156562
13,0,0.05291464245954452
13,1,0.051839261139202245
13,2,0.051346712161997
13,3,0.05120852231990082
13,4,0.05095696871673993
13,5,0.05131426373438852
13,6,0.050211032739949535
