simu_idx,session_idx,nu,kappa,omega
0,0,1.4129948242210864,0.38814635113760404,-3.3791727633964723
0,1,6.81434023518044,0.7097226972301673,-2.9834569850332837
0,2,6.172639832147487,0.3683466966136028,-2.166009861733743
0,3,7.639209004994914,0.6064321452805888,-3.8319614548869945
0,4,7.120490946802386,0.603776507655923,-3.9654550909935793
0,5,3.7077767248734075,0.6218536488623958,-3.3474908143505058
0,6,9.99994039198622,0.3835060305142649,-3.3600997137455337
0,7,7.308054479790844,0.3421992334817426,-3.478192626386609
0,8,9.99994039198622,0.3856927241328786,-3.4851674358606664
0,9,5.321270579299247,0.47484214507423206,-0.6747777394349088
1,0,9.999940391986222,0.38814635113760404,-0.28466682727118586
1,1,8.648304939866374,0.5459033957894659,-4.035719842291377
1,2,4.854933414254156,0.6254675213565598,-4.415066412429679
1,3,2.23029154737465,0.38946470044554193,-1.9498690193271333
1,4,2.598287364565183,0.15966639802343247,-1.9047613793447777
1,5,9.999940391986222,0.7652331211275094,-2.2983545120652638
1,6,3.705275499798841,0.18558006345498693,-2.2006909702400304
1,7,6.041380348733847,0.12841743518004675,-1.9393923147819438
1,8,2.3004263811501007,0.2965469569076359,-3.3744508518353573
1,9,9.999940087469396,0.37262725378107586,-1.972533104432065
2,0,3.6124638739173736,0.5732026530375418,-2.080817304876616
2,1,3.933911192021338,0.13171461972281798,-2.082037951332618
2,2,9.99994039198622,0.766164013270278,-0.915328513325407
2,3,7.8522040656983085,0.3878616837219068,-3.887522748692204
2,4,5.521887272128158,0.30348344540611827,-2.063353558504014
2,5,9.99994039198622,0.3328042024677761,-3.732599112596963
2,6,5.99826824573623,0.5279566876095143,-3.9819493472058305
2,7,4.983443444132913,0.38323187955412685,-4.715511069558641
2,8,2.596738221108185,0.2368473074027822,-3.389003326440679
2,9,2.109952990046711,0.17772964608416408,-2.1125012161132735
3,0,5.414518586016579,0.15208673723928592,-4.240684668993088
3,1,2.354204889439733,0.27014143973988924,-4.4372876069205756
3,2,9.99994039198622,0.5968318012807233,-2.383584722666251
3,3,6.167259070314175,0.5807502166578944,-4.17808221790957
3,4,9.999999983400564,0.11004882575151144,-4.1663772502717435
3,5,1.5348370512164764,0.29275313464640823,-4.418393044753115
3,6,9.297347897012374,0.11645353619497407,-4.220116479082485
3,7,6.0061694653480355,0.5577394251027522,-3.6675276690275584
3,8,3.7298151570455227,0.26265598555808123,-3.351594842504358
3,9,9.99999997615498,0.10269744386471602,-4.133753568754799
4,0,4.622999751666038,0.1328538401605194,-3.447318317977205
4,1,4.469780877054318,0.13195393151619567,-3.3454655776664146
4,2,0.6418879415432786,0.7213841492311034,-3.9050126374199463
4,3,9.99999999462903,0.09147478229356192,-3.391514870208618
4,4,1.4056873652394728,0.24073797603860453,-3.5566849340315128
4,5,3.355161216355687,0.1585201869744982,-3.3971284288548675
4,6,9.99994039198622,0.621920332794989,-2.7158609694660543
4,7,9.999999989738491,0.08713061949592978,-3.4043633884584956
4,8,0.35915044292554044,0.4430843697775653,-3.710021384183007
4,9,5.273407600639996,0.2652818285568527,-3.988918869764031
5,0,7.487303432746918,0.3547223113432282,-4.154219255657887
5,1,3.4753068225989705,0.7662169918509555,-2.32273926356479
5,2,2.592048374819802,0.27449042721486827,-2.758156059995857
5,3,9.999999999996183,0.09282598439497264,-1.7862439944034088
5,4,9.999940391986222,0.33325277528302305,-0.6737620787507366
5,5,8.40988970864678,0.4119136400796688,-1.825067976610401
5,6,4.287092180171606,0.6789246429014733,-0.6517367442016844
5,7,9.99994039198622,0.4763056624645762,-2.3170336430018117
5,8,4.921889915830287,0.6211487390772824,-2.1164862426164346
5,9,4.511248504023561,0.5834925843202253,-2.3617766220234273
6,0,3.887003925794201,0.172803334259886,-3.3023965347358493
6,1,6.048911188022099,0.14070248979485253,-3.256704156827233
6,2,9.99994039198622,0.5212527457610378,0.5926587254812041
6,3,9.999999877307937,0.04160035432160569,-0.038403053723886416
6,4,6.180378084100073,0.17177643375399632,-3.2739586713375157
6,5,9.99994039198622,0.622044850716712,-1.083880913284189
6,6,9.99994039198622,0.38814635113760404,-0.8120139103875652
6,7,3.4125421800031845,0.18372042001418226,-3.3251593626503038
6,8,8.418059181056309,0.855526427774359,-3.1997945738829574
6,9,9.974445720292442,0.10679098011104494,-3.211968778008611
7,0,9.99994039198622,0.42129166829563325,-2.343643369904016
7,1,5.078745097850053,0.6261978257498532,-3.3217654212671546
7,2,2.197950698966358,0.5758743031395266,-3.583423475802448
7,3,9.99994039198622,0.38814635113760404,0.9423745462068385
7,4,9.99994039198622,0.3894600949606224,-3.50468454987327
7,5,2.4561281198061535,0.2749410638451121,-2.853168363847726
7,6,9.999940391986222,0.388146351137604,-4.755343611694588
7,7,3.385223834577819,0.6715974474850914,-2.5969498280807746
7,8,9.999940391986222,0.6125425033174607,-0.6765783471209135
7,9,2.8825516701943354,0.4648328168055511,-4.066202970260155
8,0,5.0442832030377085,0.3881463511376041,-0.656868527238951
8,1,4.151814669167649,0.6216945555175017,-2.4495364722134347
8,2,9.155047681944046,0.10824157877608334,-3.5000160399403257
8,3,0.9944285551351936,0.3228980856438456,-3.6971204628005383
8,4,4.600562370147942,0.6112015999676536,-1.6204026372292264
8,5,9.40296785264205,0.10571592546597215,-3.4860710785375537
8,6,0.788178250017332,0.3660068268697671,-3.7451684713941154
8,7,4.199002472888746,0.2569088953569536,-3.9995492636191026
8,8,9.253413318901545,0.10692716249896406,-3.4757436182173316
8,9,3.81976416837355,0.5406847546419933,-3.8698703359335824
9,0,3.183441203189882,0.13764830002778247,-2.4093638517841907
9,1,4.892779524926124,0.8555609465871876,-3.0768695608042167
9,2,3.637917571590886,0.3887231007614808,-2.3474512256764126
9,3,0.4691555507121316,0.3650518959746862,-2.650762507584897
9,4,7.603347698770648,0.7629516827406236,-0.7969548864518832
9,5,7.612868857712199,0.288392435750026,-2.5337849678999533
9,6,5.122024773172381,0.6176691665077306,-0.6737620787507366
9,7,3.184008038864882,0.6388212532015214,-3.3311317013868664
9,8,9.99994039198622,0.7716149874402446,-3.3386585509568336
9,9,2.9000864941381717,0.38814635113760404,-3.73262336449682
10,0,8.649603068306876,0.7488303469594795,-4.845208472420446
10,1,3.8277738879613588,0.38814635113760404,-4.771415515038235
10,2,1.9524034647635626,0.203823229236399,-2.4681922455350844
10,3,9.407148388472786,0.32949894041851313,-4.723737081495634
10,4,3.819721915899926,0.18595369148907628,-2.698523222835589
10,5,6.103045424811944,0.28426762104423164,-4.663833865508202
10,6,3.819721915899926,0.17820113994786563,-2.586253556429161
10,7,3.7756896353031184,0.1452573561273725,-2.38871831596124
10,8,3.8214192210882945,0.7528612867113125,-3.977972713775648
10,9,6.1817827698144825,0.6117022554258569,-2.9216478131006314
11,0,9.99994039198622,0.388146351137604,-3.35161148205892
11,1,9.99994039198622,0.47786316826483044,-2.2937719083118044
11,2,9.782023991289595,0.3896850221170164,-3.9745228934434076
11,3,1.8081032154400785,0.20635969431310583,-3.1389614589277253
11,4,9.999940391986222,0.674792345975265,0.97663713177027
11,5,5.524109985745739,0.38814635113760404,-2.2497256554209817
11,6,2.9697952186029704,0.5246225521589822,-2.6957356847969187
11,7,2.4814107381175003,0.5957882026361282,-3.483534547944671
11,8,4.008865714498205,0.551528063190807,-3.965251640124925
11,9,7.1315224524879435,0.41753352314187053,-3.3521802914662318
12,0,4.884942851220664,0.6221463371718932,-3.3475241575014723
12,1,7.64590843376042,0.3660324889952177,-2.085202402825238
12,2,8.200458533755036,0.3920135962619476,-4.08360834185128
12,3,4.566285661450633,0.3876521596674361,-3.2891082023779323
12,4,1.6170642933438355,0.23669415555451356,-2.1297262621778663
12,5,1.0291260633265358,0.3636205347542694,-3.0561347503576237
12,6,5.3344529935679,0.6819167528812704,-0.2493413053279927
12,7,9.99994039198622,0.3450067416195622,-2.3262379212492643
12,8,9.99994039198622,0.7385349272101865,-0.6737620787507366
12,9,3.2930599814373642,0.20594671662093622,-2.6824350163559285
13,0,5.32692231974543,0.38814635113760404,-0.6737620787507366
13,1,3.7886660263105085,0.6237538338006405,-2.3262379212492643
13,2,1.7711706812332455,0.22916682330787708,-3.204126512013387
13,3,9.99994039198622,0.5975390853067818,-2.291062930064774
13,4,9.99994039198622,0.4170893334519113,-2.3245392211411877
13,5,3.817069675281984,0.23867824862087186,-3.5378628029065915
13,6,6.284571370681851,0.6168789001091607,0.2337977977181378
13,7,0.3748228960520472,0.3939932582070847,-3.044211395812326
13,8,1.2640297682017154,0.3618542023964295,-3.369543708557833
13,9,6.489404640413417,0.6248948721187383,-2.4760542461286774
14,0,9.999940391986222,0.38814635113760404,-2.4893797043990373
14,1,3.4827839480257827,0.38814635113760404,-3.9451655998116264
14,2,3.3081935922537866,0.39499962179420345,-1.9296844126687178
14,3,9.92078924808382,0.09348823016649396,-2.4254420060881756
14,4,3.8197431256179484,0.396627852977593,-2.3387130114308268
14,5,6.049784526476292,0.6220249884313909,-2.3262379212492643
14,6,2.6316553041483357,0.1579187564523667,-2.4777052176752457
14,7,1.5771015243187219,0.20309430189999592,-2.511895919296244
14,8,2.23050384542862,0.3105837562207456,-3.973718259460183
14,9,9.999940391986222,0.8134141988078155,-2.1086439069823983
15,0,7.952863260853748,0.3889200778376768,-0.6169309451040437
15,1,3.819721915899928,0.6218536488623958,-2.345571975481743
15,2,9.99994039198622,0.8764986701576859,-4.085086740519715
15,3,5.875180366543617,0.2440690684649452,-1.1904732503062048
15,4,7.24806397728282,0.36665120485502034,-2.4613051514323714
15,5,8.429290059930008,0.7414552172029545,0.36999498584745094
15,6,6.430218555532559,0.6150085800676504,-2.2561053061052085
15,7,9.870743721936151,0.09517038451184556,-2.069415307996352
15,8,9.999999994127148,0.09086605028376915,-2.030257113734492
15,9,0.7629586122322007,0.2904289201588281,-1.9008041759621153
16,0,5.858519897462031,0.11539410887528594,-3.548220737792615
16,1,6.17841080231628,0.686703222031201,0.4345370197684747
16,2,3.87645770727924,0.38814635113760404,-4.267146438999592
16,3,9.99994039198622,0.401235858350803,-2.2957277624825156
16,4,9.99994039198622,0.2741783973152779,-0.6830337823388586
16,5,9.99994039198622,0.6171468465350394,-2.3262379212492643
16,6,9.99994039198622,0.6073073667331617,-2.5126196780414327
16,7,6.36244659783457,0.6819992067164637,-1.6948229363651552
16,8,5.656654355623439,0.15501633177446955,-3.8879532506623735
16,9,4.777209769046576,0.6218536488623958,-3.1982815438554337
17,0,9.99994039198622,0.2903942996985364,-3.338619024627109
17,1,3.819721915899926,0.3303407286453755,-3.415758847424496
17,2,3.37875364010276,0.3879750115686089,-3.5184708144592487
17,3,7.639338508112561,0.6115929734436728,-2.5206588575522346
17,4,9.99994039198622,0.5648839253790429,-3.0309478028991315
17,5,9.589027779485518,0.07765215797526433,-1.9971188271134108
17,6,3.5987734520723733,0.38814635113760404,-4.153599495601073
17,7,3.3182626772598427,0.503731285663893,-2.858994751067623
17,8,1.363860196639068,0.21292482622977316,-2.185097689397279
17,9,4.207600088115036,0.6770244579632285,-4.129558227107258
18,0,6.1804115085945766,0.1548996594602392,-2.5757523865159446
18,1,8.862289665948712,0.38921822554047064,-0.6739233401877702
18,2,5.124772317742693,0.4961382644612542,-4.384354607315582
18,3,2.7367526014993007,0.6400693581382361,-2.3262379212492643
18,4,3.3748940491480655,0.5916486397691207,-2.3262379212492643
18,5,3.9368488502902697,0.26115653301674324,-4.365797402161778
18,6,6.753583034311522,0.388146351137604,-0.6192040145861237
18,7,9.99994039198622,0.3345353954693361,-3.363640013745241
18,8,3.8103771433488656,0.38710284433218917,-2.164698799591214
18,9,1.8525785798015877,0.20152907500987638,-2.2015928819498223
19,0,8.723662262461753,0.3879750115686089,-0.6737620787507366
19,1,8.57668257713646,0.3239690268970401,-2.323514976434724
19,2,4.000758493949228,0.34383504052840386,-4.101306980496181
19,3,9.291309596280042,0.3884740462686351,-2.4131036965367083
19,4,9.99994039198622,0.290101132704509,-3.6641813025171213
19,5,3.258266097091956,0.1291113025827296,-2.3017323815780055
19,6,9.99994039198622,0.38814635113760404,-2.1095110044474423
19,7,2.3824011324177246,0.38814635113760404,-2.3262379212492643
19,8,1.4125757281093407,0.1905678951990655,-2.3383420133421153
19,9,5.753546341091051,0.09788336024625323,-2.286739295293796
20,0,1.6714372291484345,0.19691912955016438,-2.226565942147808
20,1,6.170471919309504,0.3965013707571267,-4.413500565867652
20,2,4.994360358926096,0.5895462132152662,-0.6912202217518788
