simu_idx,session_idx,p_c,lamda
0,0,0.12441330650263464,6.610696052811642e-05
0,1,0.12404090407986966,2.3121958023785552e-15
0,2,0.12614114450136132,6.274654044876028e-15
0,3,0.12547380003278644,6.61069607097961e-05
0,4,0.12501367475570413,3.07515038299461e-14
0,5,0.12526931494393465,5.754433016880714e-14
0,6,0.12633899082607866,6.610696060774382e-05
0,7,0.12406513824478649,6.615447026131539e-05
0,8,0.12563662001542875,5.392953835561463e-14
0,9,0.12635613271174512,5.347220628723522e-07
1,0,0.134216129599092,1.0510053507294821e-13
1,1,0.13553107966571157,5.6510907157874794e-14
1,2,0.13392440143018366,5.596518516533839e-10
1,3,0.13334201934695863,3.108400806012967e-14
1,4,0.13575210240804653,6.610696047247435e-05
1,5,0.13486376297151897,1.1407545269316967e-14
1,6,0.13326325960199575,2.606778340464741e-14
1,7,0.13622573318935796,5.169792569110888e-14
1,8,0.13529807624306353,1.0505545929318087e-13
1,9,0.13166939018338036,4.0404716742113754e-09
2,0,0.11699901733853742,4.9978883294311973e-14
2,1,0.11754432497030431,6.610696026304456e-05
2,2,0.11731983404923976,8.654061004748209e-10
2,3,0.11842285880808587,7.609361364233602e-14
2,4,0.11641524241584811,8.35512645886458e-07
2,5,0.11832089544559539,6.610696155123286e-05
2,6,0.11808286128790367,6.345002143800005e-14
2,7,0.11746459302166927,1.2526256693617186e-06
2,8,0.11693646533648391,1.0916128730054552e-13
2,9,0.11760332817814906,3.869621561173405e-12
3,0,0.03030093906198775,5.7634379814269565e-06
3,1,0.02909610694947194,2.4856185896582843e-11
3,2,0.029196729701767017,5.51039454887608e-11
3,3,0.030284750350911084,6.616107942612852e-05
3,4,0.030165829800046094,3.992735270652325e-11
3,5,0.02909455104875455,1.2903573164274265e-10
3,6,0.029911409853625445,1.569134971313607e-10
3,7,0.030192571557171675,9.417706981516293e-13
3,8,0.030426233837208414,1.0330174027163178e-13
3,9,0.030171431796194567,2.1167382329864586e-06
