simu_idx,session_idx,lr
0,0,0.0433194830110717
0,1,0.04276990926547304
0,2,0.041773792688954224
0,3,0.04269992026536127
0,4,0.042610986106720816
0,5,0.04261606374967404
0,6,0.04253322185079393
0,7,0.04281101812527502
0,8,0.04319244000310129
0,9,0.04331266933337983
1,0,0.051011730710409174
1,1,0.04959259808227285
1,2,0.049836101450702164
1,3,0.05038050975964424
1,4,0.04943377155164303
1,5,0.05014130494086406
1,6,0.04937962120078653
1,7,0.05112865663078043
1,8,0.049340132672697816
1,9,0.05097140724807064
2,0,0.05391536577743204
2,1,0.05418330575159107
2,2,0.05320852751220943
2,3,0.05153227775488449
2,4,0.05445681720823488
2,5,0.05519106972910137
2,6,0.05285606324993676
2,7,0.054584819839131105
2,8,0.053552000330582834
2,9,0.05073777825893555
3,0,0.06607069992653213
3,1,0.07151086847688873
3,2,0.06929454601164212
3,3,0.06868028664452959
3,4,0.06841721985043935
3,5,0.0697242646089955
3,6,0.06889296798357321
3,7,0.06763031016660988
3,8,0.07146295067828377
3,9,0.06743145719868181
4,0,0.04094392497765172
4,1,0.04247740830296827
4,2,0.038736694755576805
4,3,0.04176937402431079
4,4,0.04299261655078316
4,5,0.04195255784835059
4,6,0.04089746006984767
4,7,0.04043055325446436
4,8,0.04155208950295927
4,9,0.04015788404121868
5,0,0.08145656004829269
5,1,0.08275352016069411
5,2,0.0832428721592197
5,3,0.08333284671699587
5,4,0.083426398974214
5,5,0.08422644478472328
5,6,0.0845800432392498
5,7,0.08242667657347795
5,8,0.08037914812277673
5,9,0.08248120396680611
6,0,0.0442269627455
6,1,0.043400159711475664
6,2,0.04242022789972504
6,3,0.04716390947174375
6,4,0.044798577388578176
6,5,0.045382754406037604
6,6,0.046177141493036165
6,7,0.045178539473704746
6,8,0.04599299378030435
6,9,0.043239942699993476
7,0,0.05930873787950758
7,1,0.05942042586923824
7,2,0.058531936600840696
7,3,0.058286692918827224
7,4,0.060909972186925856
7,5,0.05542131267741233
7,6,0.06174371035405603
7,7,0.05981310489218106
7,8,0.06190192272961885
7,9,0.06127028144134024
8,0,0.04315595790400388
8,1,0.04714149524593898
8,2,0.04750087130297956
8,3,0.047144221695656345
8,4,0.04427646338310564
8,5,0.04527380499376105
8,6,0.04769862793832564
8,7,0.047482304363095175
8,8,0.04372305928667202
8,9,0.04669123634740509
9,0,0.056669032209007604
9,1,0.059162706554966894
9,2,0.0555469169887172
9,3,0.05627254561664466
9,4,0.058296685672056224
9,5,0.05496764897526585
9,6,0.05639921129434697
9,7,0.05675981872537625
9,8,0.05807850865889667
9,9,0.05539915490301124
10,0,0.07659250577244678
10,1,0.07715970422184748
10,2,0.07750444803636332
10,3,0.07784051586722031
10,4,0.07432108086523068
10,5,0.07689541848756035
10,6,0.07606157134023366
10,7,0.07744341241403582
10,8,0.077817873377161
10,9,0.07229963571897703
11,0,0.055581403097364555
11,1,0.05369782662969259
11,2,0.05885040162891613
11,3,0.054222816980594064
11,4,0.05810900930105835
11,5,0.059225083091773816
11,6,0.05719984447997775
11,7,0.05472982054138389
11,8,0.05942514942887068
11,9,0.05897821552763228
12,0,0.050761599519639655
12,1,0.04909363040291788
12,2,0.052503046170653066
12,3,0.04926060566739771
12,4,0.049158909759962045
12,5,0.050869630975536456
12,6,0.0514815443750553
12,7,0.0511302749155889
12,8,0.04907126572189454
12,9,0.04935584622978656
13,0,0.06751627730177133
13,1,0.07101603115407165
13,2,0.07054826887210852
13,3,0.07081327746037146
13,4,0.07226441427073584
13,5,0.0720933692251175
13,6,0.0724264352393582
13,7,0.06946549358549181
13,8,0.07230991145333955
13,9,0.06711293155122722
14,0,0.03687231542884674
14,1,0.038776268363210735
14,2,0.03817078960235501
14,3,0.03766471461192761
14,4,0.03766667871375489
14,5,0.038191352292939636
14,6,0.03895536155030947
14,7,0.03958391552952472
14,8,0.039282138718284086
14,9,0.03813962682301853
15,0,0.04740458689392366
15,1,0.048020417296487934
15,2,0.048187622176171015
15,3,0.048193784219054604
15,4,0.0471153153046779
15,5,0.04885604976446184
15,6,0.048657357445602296
15,7,0.050537461734958204
15,8,0.0487762500207233
15,9,0.04666652232332508
16,0,0.04431650407541918
16,1,0.042443676063673476
16,2,0.045617559086183104
16,3,0.04228336425166117
16,4,0.04113721300029092
16,5,0.044545744226553705
16,6,0.04256103673827007
16,7,0.04400557604741466
16,8,0.04375103869979322
16,9,0.04310628273089318
17,0,0.04709673614888917
17,1,0.04780856966365306
17,2,0.050069359880187195
17,3,0.050607051528380964
17,4,0.047406561755080734
17,5,0.04702600841770031
17,6,0.04961135924611118
17,7,0.048868209124904784
