simu_idx,session_idx,p_c
0,0,0.025575460324937672
0,1,0.025165865783005587
0,2,0.02531255854006921
0,3,0.02391878156483798
0,4,0.02596307947196553
0,5,0.026041264494678643
0,6,0.02525765263884894
0,7,0.025827225458553347
0,8,0.025402393200983777
0,9,0.024473273698319347
1,0,0.06303353184797932
1,1,0.06215005021139931
1,2,0.06406031518918365
1,3,0.06397727829385993
1,4,0.06396876596675605
1,5,0.06140976268681675
1,6,0.06392596346641076
1,7,0.0632316825029494
1,8,0.062143592839013974
1,9,0.06266677172801549
2,0,0.016143635862434485
2,1,0.016223136478024702
2,2,0.016476831350040792
2,3,0.015656020729470938
2,4,0.015631477767496592
2,5,0.01627492145603181
2,6,0.016300201066108362
2,7,0.016577692603285392
2,8,0.016227958606974957
2,9,0.015139454969984926
3,0,0.04263386124005655
3,1,0.042003846788358
3,2,0.04253855401977434
3,3,0.041448835375494125
3,4,0.04249872893194519
3,5,0.042705361057683945
3,6,0.04310386406050308
3,7,0.04341662207290637
3,8,0.042110038000327865
3,9,0.043177516777131976
4,0,0.07675266278850397
4,1,0.07809592487496174
4,2,0.07676953535559808
4,3,0.0767101982907327
4,4,0.07601964440297981
4,5,0.0758483579784406
4,6,0.07423594398318248
4,7,0.07722636495035559
4,8,0.07630502336560141
4,9,0.07798668661334143
5,0,0.13262207455184713
5,1,0.12926758229589055
5,2,0.1378444067701317
5,3,0.13792480435007856
5,4,0.13411085767581576
5,5,0.13379580532627336
5,6,0.13554886558155058
5,7,0.13285625871609555
5,8,0.13371282930737743
5,9,0.13643200512709627
6,0,0.0765984198553099
6,1,0.07387676419609895
6,2,0.07713545607179123
6,3,0.07569995501014636
6,4,0.07598873756359774
6,5,0.07787193571832031
6,6,0.0731313467257946
6,7,0.07764939352283466
6,8,0.07703586454973213
6,9,0.07364364727730631
7,0,0.04570600090900804
7,1,0.04669465748832988
7,2,0.043916857591459156
7,3,0.045247634018840036
7,4,0.04516865700955055
7,5,0.04556032028428524
7,6,0.046567699512910635
7,7,0.04597910527158142
7,8,0.04485873226446291
7,9,0.044293199324253726
8,0,0.00010000000000005947
8,1,0.00010000393268029224
8,2,0.00010000000009644372
8,3,0.00010000393268029224
8,4,0.00010000393268029224
8,5,0.00010000393268029224
8,6,0.00010000000009592341
