simu_idx,session_idx,lr
0,0,0.13748430227493544
0,1,0.1374922250380209
0,2,0.13749238047536155
0,3,0.13748430227851877
0,4,0.13749289385038987
0,5,0.13749184934010503
0,6,0.13748430227617095
0,7,0.1374843022740538
0,8,0.1374843022756628
0,9,0.13748430227654831
1,0,0.247710928200007
1,1,0.24770274862406477
1,2,0.247700683685402
1,3,0.24771092819984705
1,4,0.2477109282008718
1,5,0.24771092819881968
1,6,0.24771092819934903
1,7,0.2476993173145081
1,8,0.24771092819847607
1,9,0.24770234854277617
2,0,0.10922462518592582
2,1,0.10924101045748356
2,2,0.10924135157550036
2,3,0.10920901525062926
2,4,0.10922462518639478
2,5,0.1092246251838925
2,6,0.10920911605156547
2,7,0.10922462518391034
2,8,0.10922462518535486
2,9,0.10921095189311622
3,0,0.1744696644630863
3,1,0.17446966445888343
3,2,0.1744597590386396
3,3,0.1744696644635789
3,4,0.17445918070113278
3,5,0.17446966445598294
3,6,0.17446966446086037
3,7,0.17446150940378963
3,8,0.17446966445665052
3,9,0.1744696644612112
4,0,0.2737789079037351
4,1,0.27377847220139007
4,2,0.2737859642491274
4,3,0.27378596424893203
4,4,0.27377816681424666
4,5,0.27377795908092406
4,6,0.27377837889061074
4,7,0.2737791605269343
4,8,0.2737859642486483
4,9,0.2737859642491627
5,0,0.41110219292722855
5,1,0.4110991741583645
5,2,0.4111021929303355
5,3,0.4111021929321823
5,4,0.41110219292785966
5,5,0.4110997822511531
5,6,0.4110997556443795
5,7,0.4111021929307799
5,8,0.41109955914628943
5,9,0.41110219293143907
6,0,0.2776859924860209
6,1,0.2776854623907812
6,2,0.27769505937871874
6,3,0.27768563866338164
6,4,0.27768575774977083
6,5,0.27769505938080463
6,6,0.27769505938146777
6,7,0.277695059378992
6,8,0.2776950593790681
6,9,0.2776849187848012
7,0,0.1971951404169482
7,1,0.19717858602937338
7,2,0.19720798470862025
7,3,0.19719514042281602
7,4,0.19719514042495173
7,5,0.19717934180978564
7,6,0.19717915452877433
7,7,0.19719514041952635
7,8,0.1972116386725696
7,9,0.19719514042492395
8,0,0.040869495254049336
8,1,0.04087962846165188
8,2,0.04086941625145219
8,3,0.04086846608641441
8,4,0.04087962846567272
8,5,0.04087075371466621
8,6,0.04087962846391276
8,7,0.040879628460468775
8,8,0.04087962846605413
8,9,0.04087962846179709
9,0,0.43712252138936586
9,1,0.4371231468829625
9,2,0.43712268838167284
9,3,0.437122641163944
9,4,0.4371231468837384
9,5,0.43712314688458975
9,6,0.43712246200046934
9,7,0.4371225780776571
9,8,0.43712255723025717
9,9,0.4371225664264044
10,0,0.06509010597308969
10,1,0.06508881085962634
10,2,0.06507355235443117
10,3,0.06508977322757536
10,4,0.06508808456308267
10,5,0.0650735523538601
10,6,0.06508831716914441
10,7,0.0650889056451541
10,8,0.06507355235433288
10,9,0.065089549784199
11,0,0.44117839832151257
11,1,0.44117839832045513
11,2,0.4411783983227631
11,3,0.4411777525583103
11,4,0.4411783983221438
11,5,0.4411783983256597
11,6,0.44117839832079975
11,7,0.44117839832053407
11,8,0.4411776562190358
11,9,0.4411775117382476
12,0,0.3872288673780824
12,1,0.3872253978180456
12,2,0.38722886738020745
12,3,0.38722599616898046
12,4,0.3872257110305523
12,5,0.387228867387751
12,6,0.38722567175249567
12,7,0.38722570663374584
12,8,0.38722886738469603
12,9,0.3872253719118559
13,0,0.4493227820260493
13,1,0.44932706494559976
13,2,0.4493227820257602
13,3,0.4493227820256027
13,4,0.44933182115935566
13,5,0.4493277120325947
13,6,0.44932278202593
13,7,0.44932278202602305
13,8,0.44932278202610904
13,9,0.44932278202539183
14,0,0.07679199564224266
14,1,0.07678793246933026
14,2,0.07679199564282733
14,3,0.07678783742017808
14,4,0.07679199564289575
14,5,0.07678795052036515
14,6,0.07678762472071758
14,7,0.0767877638224705
14,8,0.07678746239842882
14,9,0.07678780520147065
15,0,0.3779635500769929
15,1,0.37796307140596974
15,2,0.37796301783608355
15,3,0.3779636231230775
15,4,0.37796671690368516
15,5,0.3779667169137385
15,6,0.37796338118712475
15,7,0.3779667169137397
15,8,0.3779667169137357
15,9,0.3779633072913407
16,0,0.4286365264396312
16,1,0.4286377425355432
16,2,0.4286364437771539
16,3,0.42863774253779835
16,4,0.4286367044644913
16,5,0.42863774253783826
16,6,0.428636632631009
16,7,0.4286366875452588
16,8,0.4286364269639373
16,9,0.42863651491353755
17,0,0.14561732185842494
17,1,0.14561730638145867
17,2,0.14561734125252596
17,3,0.14561570145020492
17,4,0.14561736115232138
17,5,0.14561570145023053
17,6,0.14561570145024533
17,7,0.14561570145017738
17,8,0.14561739632830192
17,9,0.145617341369911
18,0,0.2404807186094812
18,1,0.24048131989778748
18,2,0.24048071860947995
18,3,0.24048125676612309
18,4,0.24048129584187006
18,5,0.2404807186094796
18,6,0.2404807186094805
18,7,0.2404807186094794
18,8,0.24048071860947987
18,9,0.24048071860947948
19,0,0.256204191259935
19,1,0.2562041914513946
19,2,0.2561958450194758
19,3,0.25620419128121297
19,4,0.25619052095970773
19,5,0.2562041915594663
19,6,0.2562041914514652
19,7,0.2561963676117634
19,8,0.2561938156561383
19,9,0.2561980915483121
20,0,0.4562126431207672
20,1,0.456211354708542
20,2,0.4562117586963948
20,3,0.4562117586971658
20,4,0.4562113227974291
20,5,0.456211758696715
20,6,0.45621136545557617
20,7,0.4562117586965299
20,8,0.4562127588124584
20,9,0.456211758696658
21,0,0.19188088447876833
21,1,0.1918808844786827
21,2,0.19188088447885368
21,3,0.1918845415111166
21,4,0.19188088447869994
21,5,0.19188504294422695
21,6,0.1918842683983972
21,7,0.19188375146900685
21,8,0.19188088447896948
21,9,0.19188088447869453
22,0,0.16647862327490928
22,1,0.16647645144011208
22,2,0.16647580562548292
22,3,0.1664766076731247
22,4,0.1664759521381869
22,5,0.16647862327496188
22,6,0.16647660768800868
22,7,0.16647618975504963
22,8,0.1664786232751809
22,9,0.16647862327465152
23,0,0.2786534231123745
23,1,0.27866095162707716
23,2,0.2786609516269172
23,3,0.27865352191504733
23,4,0.27865396197854897
23,5,0.2786527622651401
23,6,0.27866095162620297
23,7,0.2786609516275492
23,8,0.2786532133945314
23,9,0.27865321758734285
24,0,0.14697398554400676
24,1,0.14697236179256268
24,2,0.1469723617924371
24,3,0.14697236179247455
24,4,0.1469723617925017
24,5,0.14697395900653445
24,6,0.14697397790386627
24,7,0.14697398670599415
24,8,0.14697236179248055
24,9,0.1469723617924522
25,0,0.3838677727245083
25,1,0.38386395319393213
25,2,0.38386777272045136
25,3,0.38386777272307665
25,4,0.3838677727154429
25,5,0.3838677727245097
25,6,0.3838677727245131
25,7,0.38386418869728367
25,8,0.3838638576869536
25,9,0.3838643040236403
26,0,0.3337147091520204
26,1,0.3337084541395574
26,2,0.3337147091652674
26,3,0.3337082975060517
26,4,0.3337147091688783
26,5,0.33370797807120417
26,6,0.3337147091504631
26,7,0.33371470915043155
26,8,0.3337147091522856
26,9,0.33370829210362635
27,0,0.03374805230348307
27,1,0.033751327329780124
27,2,0.033751842855501694
27,3,0.033751424128572405
27,4,0.033748052306579575
27,5,0.033751298145509555
27,6,0.03374805230330996
27,7,0.03375120570499075
27,8,0.03374805230201874
27,9,0.03374805230636304
28,0,0.08554437323095852
28,1,0.08554236505726993
28,2,0.08554505346391245
28,3,0.0855330876700725
28,4,0.08553308770383918
28,5,0.08554451132709742
28,6,0.0855443064157956
28,7,0.08553308810372481
28,8,0.08553308811179611
28,9,0.08553308780100563
29,0,0.29278246315653317
29,1,0.29278270474045276
29,2,0.29279507736923066
29,3,0.29278321261809725
29,4,0.29279507736849414
29,5,0.29278247368345234
29,6,0.2927824013976425
29,7,0.29278194393314466
29,8,0.29278244035230766
29,9,0.29279507736860155
30,0,0.2122938353803438
30,1,0.21229383538038493
30,2,0.21229383538032431
30,3,0.21229007130482822
30,4,0.21229383538036709
30,5,0.21229383538045762
30,6,0.21229383538038385
30,7,0.21229383538021748
30,8,0.21229383538036808
30,9,0.21229383538030488
31,0,0.43891599193267394
31,1,0.4389159919359378
31,2,0.4389150482453738
31,3,0.4389159919320529
31,4,0.4389159919315581
31,5,0.4389159919350852
31,6,0.4389159919329589
31,7,0.43891525070820187
31,8,0.43891599193255054
31,9,0.43891599193249536
32,0,0.3006410754909567
32,1,0.3006564989058814
32,2,0.30065649890535445
32,3,0.3006423004963158
32,4,0.3006413545053169
32,5,0.3006564989049177
32,6,0.30064196164279555
32,7,0.30064168823967097
32,8,0.30065649890392365
32,9,0.30064245508366766
33,0,0.3017482643905571
33,1,0.3017579967314203
33,2,0.30174913855391294
33,3,0.301757996731305
33,4,0.301757996731103
33,5,0.30175799673141984
33,6,0.3017579967308371
33,7,0.3017489628362693
