simu_idx,session_idx,p_c
0,0,0.04229241577861315
0,1,0.042628024431569406
0,2,0.042857183621151276
0,3,0.0421687805433226
0,4,0.04300450870631507
0,5,0.04301895478783065
0,6,0.04217560622453846
0,7,0.04187203101205029
0,8,0.041722121808777865
0,9,0.04116304056081222
1,0,0.07519897215320039
1,1,0.0739691775186502
1,2,0.07563868074918143
1,3,0.07742140412180067
1,4,0.07907501845590104
1,5,0.07707422113253952
1,6,0.07754898082439952
1,7,0.07830313982758483
1,8,0.07567082909165466
1,9,0.07794632246934598
2,0,0.03762741459722327
2,1,0.03709904422393701
2,2,0.03651848193192558
2,3,0.036923891169354045
2,4,0.03782210804945729
2,5,0.03827289555774682
2,6,0.03756564189175681
2,7,0.03736897360975873
2,8,0.03809078411612701
2,9,0.037205567733925284
3,0,0.06008597210786201
3,1,0.0595397467678328
3,2,0.059308351030799004
3,3,0.05895140969350733
3,4,0.05989434177342957
3,5,0.0588016475817638
3,6,0.05860255900187652
3,7,0.060815954500248556
3,8,0.05916661531762382
3,9,0.06010074077244715
4,0,0.08987742477157369
4,1,0.0902479013533062
4,2,0.09014195437195043
4,3,0.09036268158859147
4,4,0.0894180850794004
4,5,0.09069808564299865
4,6,0.08903906605355554
4,7,0.08956722719045097
4,8,0.08995015931679791
4,9,0.09102162771390612
5,0,0.12435089090057126
5,1,0.12355711105935928
5,2,0.12468708421918119
5,3,0.12381605956809923
5,4,0.1243821791884685
5,5,0.12389618583878562
5,6,0.12498150884836029
5,7,0.123896684867169
5,8,0.12334507333053608
5,9,0.12519212439810073
6,0,0.09045577345270299
6,1,0.08973562740523737
6,2,0.09353572074946356
6,3,0.0888230825999667
6,4,0.0898543183328478
6,5,0.09008223942311172
6,6,0.0887414630871927
6,7,0.08975336951776981
6,8,0.08972218258256805
6,9,0.08924842910480384
7,0,0.0643313482773983
7,1,0.0639614001184885
7,2,0.06131684343888789
7,3,0.06401449294351629
7,4,0.0603629922664876
7,5,0.06262728148600578
7,6,0.06505102738254592
7,7,0.06385521638854204
7,8,0.06273373073595015
7,9,0.060825537202139006
8,0,0.016670427214039524
8,1,0.016731850307967786
8,2,0.016654662006063334
8,3,0.016696667463552396
8,4,0.01678923605996488
8,5,0.016714312277831166
8,6,0.016690639238618
8,7,0.01673903332829325
8,8,0.016712201520582635
8,9,0.016816508519418037
9,0,0.13859853172775355
9,1,0.13941358305266938
9,2,0.13696342334570627
9,3,0.13785561019066542
9,4,0.13676597197729717
9,5,0.13667798276489604
9,6,0.13620622823445572
9,7,0.13673228472966664
9,8,0.1384516600092146
9,9,0.13631614535265651
10,0,0.025509482743214646
10,1,0.026566752054485346
10,2,0.025298994966062832
10,3,0.02552048377331422
10,4,0.025913376934090845
10,5,0.025406091180844855
10,6,0.024981018416597642
10,7,0.025900538426578117
10,8,0.025611307804711367
10,9,0.025077984959501802
11,0,0.13778555659306777
11,1,0.1368847957710264
11,2,0.13715537941835593
11,3,0.13704036534465655
11,4,0.1370355284887598
11,5,0.13680835667699784
11,6,0.13767349122172617
11,7,0.13861172214794132
11,8,0.13783417717370988
11,9,0.13681815082961982
12,0,0.12973909926095503
12,1,0.12916435758209768
12,2,0.1293902512053929
12,3,0.13045739749018476
12,4,0.12914244875922767
12,5,0.1282631784711655
12,6,0.12988980185472307
12,7,0.12832314615744037
12,8,0.12891389268118683
12,9,0.12875669531070286
13,0,0.13944316205325497
13,1,0.1377474585079325
13,2,0.1381045230914211
13,3,0.13740574313225215
13,4,0.13975408788206248
13,5,0.1380439638809115
13,6,0.14111334991020968
13,7,0.1372761671035708
13,8,0.14305569987132818
13,9,0.13793094093842448
14,0,0.027369742554105413
14,1,0.027122407236075365
14,2,0.027043189685603545
14,3,0.027155658649251405
14,4,0.026344451488222696
14,5,0.02743246012953395
14,6,0.02705558404586506
14,7,0.026821439683119334
14,8,0.026718021737205465
14,9,0.026900004488799086
15,0,0.11694161749334933
15,1,0.11983681784983527
15,2,0.11758866539336363
15,3,0.11855756344405381
15,4,0.12418366316613211
15,5,0.11737542661452763
15,6,0.11835256090495229
15,7,0.11734697644009152
15,8,0.11658150163040876
15,9,0.11835423664974964
16,0,0.13754722055939372
16,1,0.1366152287813299
16,2,0.1367565992234957
16,3,0.13633660540409795
16,4,0.13787433991131004
16,5,0.13692311575623278
16,6,0.1382763251772612
16,7,0.13768214631454126
16,8,0.13925467853233675
