simu_idx,session_idx,p_c,lamda
0,0,0.07335957024047761,0.004738357067801826
0,1,0.0733693534287226,0.0043801787895467684
0,2,0.07330554489412,0.0044324053208465546
0,3,0.07331616249086141,0.004308852095214039
0,4,0.07333770934866903,0.004388347810861349
0,5,0.07330835296098867,0.004723651647841603
0,6,0.07331658653839408,0.0041142857514206
0,7,0.07330459733706626,0.004076705830186502
0,8,0.0733055754198056,0.003794342673635292
0,9,0.07330647190335814,0.004561354517226391
1,0,0.14091964716081018,0.001883055954268428
1,1,0.14088072696943135,0.0009573387651768721
1,2,0.14088541525669676,0.0009735235750460966
1,3,0.14088732537583157,0.0010244790766131093
1,4,0.14088977802589853,0.0009846200938265692
1,5,0.14089119381262719,0.000961732163246798
1,6,0.1408859897088991,0.0010116444639412029
1,7,0.14087993904409413,0.0009476789720675163
1,8,0.14091488792820633,0.0009447656219261974
1,9,0.14115749373289055,0.000842967911234848
2,0,0.05727336369296113,0.006472274940013606
2,1,0.05726027018647221,0.006353113095059191
2,2,0.057266610763487304,0.005911168615056451
2,3,0.05727107100730327,0.006513076903365381
2,4,0.057272264028108054,0.006593331060878596
2,5,0.05729644870450505,0.006498131479122257
2,6,0.05729079740198225,0.006028155149658888
2,7,0.057284071246823415,0.006259855145932774
2,8,0.057293597582335445,0.006250655927808535
2,9,0.057300198262129544,0.006206555678938952
3,0,0.09507826896371795,0.0025532533457982023
3,1,0.0950492806146895,0.002434218387782681
3,2,0.09506161764375351,0.0024366496337585516
3,3,0.09506610853700546,0.0026420702102935246
3,4,0.09505397852699983,0.002809447852767499
3,5,0.09507691418746574,0.002771045440138686
3,6,0.09506644098397464,0.0027428949218893223
3,7,0.09508976051534028,0.002670253412302172
3,8,0.09505247044924565,0.0025839291463362365
3,9,0.09506636023331624,0.0025445911931827295
4,0,0.1581351752867485,0.0008355687047450883
4,1,0.15814565721136306,0.0006908039606639536
4,2,0.15813426678960418,0.0007457154849212138
4,3,0.15816056407870274,0.0007490079467431816
4,4,0.1581328202967881,0.0007138267554555183
4,5,0.1581522934984646,0.000754350389507986
4,6,0.1583954639955659,0.0007099885599168919
4,7,0.15813351579476462,0.0007331603542503784
4,8,0.15812959286240422,0.0007191084920351793
4,9,0.15814814556509918,0.0007492075956569627
5,0,0.2583548590535547,0.00022983248709990288
5,1,0.2583468439136294,0.00022814655634413987
5,2,0.25835790031038297,0.0002301225860189167
5,3,0.2583576426898447,0.00021590638315627085
5,4,0.2583513304303724,0.00022944230151134267
5,5,0.25834136798162993,0.00017963551394983523
5,6,0.25835524489302575,0.00019188295139585608
5,7,0.258350802416239,0.00022034282140209467
5,8,0.2583530991443512,0.00022052545047148014
5,9,0.25834877774000387,0.00022766324910579455
6,0,0.1607748672119502,0.000849094239645309
6,1,0.16075067338104457,0.0009445841443446147
6,2,0.16076790934589047,0.0008846837358396915
6,3,0.16076383537727496,0.0008310591305029759
6,4,0.16076356955814092,0.0008567807736594516
6,5,0.16078540454272844,0.0007206125788861979
6,6,0.1607601219073618,0.0008508493152893143
6,7,0.16076826476305828,0.0008433949757929342
6,8,0.160767397601392,0.0008468283980306775
6,9,0.16076305174433164,0.0008317442981587923
7,0,0.10884105506057772,0.0016116823771174962
7,1,0.10885798925557007,0.001640245768262601
7,2,0.10882989081289703,0.0012821381658444284
7,3,0.10883507868960839,0.0017198281202341745
7,4,0.10883470351795309,0.0017063340570436499
7,5,0.10883771474753394,0.0016918995346521816
7,6,0.10885319925399539,0.0015781130238385706
7,7,0.10888517123905855,0.0015749366129038987
7,8,0.10883087902595988,0.0017399941921593706
7,9,0.10884041160927015,0.0015752284923728527
8,0,0.020570439790811513,0.026644523485039123
8,1,0.020576225359584397,0.028204703857112524
8,2,0.020562195053898485,0.03005991487957772
8,3,0.02057102962162538,0.03234967585657759
8,4,0.020663077859458298,0.02982965896579924
8,5,0.02057066088302165,0.030875174450136444
8,6,0.02058310698044378,0.029749152871278935
8,7,0.02055585801729585,0.03186150944619396
8,8,0.020582343768392776,0.02751186027374871
8,9,0.02057470637924556,0.02773679705242116
9,0,0.27935049952690894,0.00014810705920454293
9,1,0.27935524262670947,0.00014296618478059313
9,2,0.27934268911325466,0.00014634941360737168
9,3,0.2793796482099061,0.0001931136293622254
9,4,0.27934180957404997,0.00014463474351795563
9,5,0.2793529034414006,0.00014317860997559807
9,6,0.279352666097412,0.0001457089860342758
9,7,0.2793457925328978,0.00014551634244019138
9,8,0.27935918335691423,0.00014367258340200164
9,9,0.27935419133818284,0.00012987656194555952
10,0,0.033305087950025236,0.009001480935787802
10,1,0.03326984068114477,0.009347210998107877
10,2,0.03324220148064329,0.010439063896440162
10,3,0.03325175357070038,0.010103198361019266
10,4,0.03325144512050208,0.0079301752044134
10,5,0.03324740464544757,0.008950094614608632
10,6,0.033270947005425704,0.009201835687411408
10,7,0.03325004807203188,0.00934853082840611
10,8,0.03328564313360965,0.009500830258500213
10,9,0.03323165184658942,0.010576876072609527
11,0,0.2826229222862103,0.00015393724977626671
11,1,0.28262803970571176,0.0001552941739779008
11,2,0.28263261203535284,0.00015427008999962873
11,3,0.2826242840172653,0.00014305592978011483
11,4,0.28261919869461255,0.00021943110834212785
11,5,0.28263841256619726,0.00014317155172717815
11,6,0.2826552402577388,0.0002015511616150278
11,7,0.28262771157993727,0.00016471089510739057
11,8,0.2826264740327827,0.00015494784165673596
11,9,0.2826246495396036,0.00015592247643430438
12,0,0.2397016015717295,0.00035387423048368537
12,1,0.2397076085510894,0.00033839475300151997
12,2,0.23970851732755952,0.00035601277536668753
12,3,0.23970473171169462,0.00023045366674049266
12,4,0.23970549554989132,0.0003480885299862055
12,5,0.2397060071342689,0.00035511478436085504
12,6,0.23970786352133674,0.0003494040427343693
12,7,0.23971839172970524,0.00032539253429399856
12,8,0.23971794271800334,0.0003586207977276809
12,9,0.2397115964595964,0.0003215599920806611
13,0,0.2893975281290139,0.00014119676597087457
13,1,0.28938316332742603,0.00014380203480237472
13,2,0.289405371073761,0.00013846278637140715
13,3,0.2894163018129101,0.00026538365337991365
13,4,0.2894178450953754,0.0002606075439412757
13,5,0.2893963835829795,0.00014637462840205314
