simu_idx,session_idx,p_c
0,0,0.1452645610082011
0,1,0.14413397567893543
0,2,0.14415086863903792
0,3,0.14514765023569678
0,4,0.14703577792283426
0,5,0.14548509817697258
0,6,0.14453597544040644
0,7,0.14458757238415548
0,8,0.14709593484759165
0,9,0.1561892574872617
1,0,0.1783702387117014
1,1,0.17934670030537114
1,2,0.17891977772168832
1,3,0.17861604847701065
1,4,0.17577934023158848
1,5,0.1787911249689273
1,6,0.18040912911731816
1,7,0.17557816781396057
1,8,0.17837329643062158
1,9,0.1765412748380507
2,0,0.10193547230786298
2,1,0.10326849736518798
2,2,0.10059807376270108
2,3,0.10417289330388904
2,4,0.09952905233282701
2,5,0.10478765175999313
2,6,0.09854372539364871
2,7,0.10028049445800027
2,8,0.10482765933386125
2,9,0.10122988434330239
3,0,0.16162360963822642
3,1,0.16557559950986694
3,2,0.1654813658985842
3,3,0.16413240499178777
3,4,0.16714266147131693
3,5,0.16831331819413659
3,6,0.1646815216151684
3,7,0.16569562179525338
3,8,0.1671987999816166
3,9,0.16719265178127057
4,0,0.1220528464073926
4,1,0.12263319629682817
4,2,0.13261295358988467
4,3,0.12602766582768296
4,4,0.12551490944192006
4,5,0.12405137657415369
4,6,0.1260273348493668
4,7,0.12587189495872267
4,8,0.12585623695190082
4,9,0.13446683878286733
5,0,0.15739394449990368
5,1,0.14758151862905847
5,2,0.14831411377597706
5,3,0.14664613337879445
5,4,0.1464540152883771
5,5,0.1445064188878889
5,6,0.14923565046168502
5,7,0.14768143404839132
5,8,0.148513336967863
5,9,0.1474285882661093
6,0,0.14618310415703917
6,1,0.1502687177427511
6,2,0.14409005020424223
6,3,0.14252628452706623
6,4,0.1472920687894961
6,5,0.1452890851651833
6,6,0.1445478759479507
6,7,0.14457628297900163
6,8,0.14769917535249721
6,9,0.14687055811340513
7,0,0.11467870915895999
7,1,0.12457010330889016
7,2,0.11666646495041354
7,3,0.12093274363423287
7,4,0.12091762703702594
7,5,0.11720039163907069
7,6,0.11760287345686116
7,7,0.11863871820807022
7,8,0.11879347168564444
7,9,0.11635021042090515
8,0,0.2063807726056087
8,1,0.20984962631692614
8,2,0.20668455906402688
8,3,0.2090820470453762
8,4,0.20817773378193064
8,5,0.20825926766321515
8,6,0.21019276947237595
8,7,0.21141252291160145
8,8,0.20820675180199838
8,9,0.20587719549623648
9,0,0.12791591381212067
9,1,0.12429245516237143
9,2,0.13149512285243875
9,3,0.1279594807059797
9,4,0.1280112898499844
9,5,0.12469309097451108
9,6,0.12801863714427344
9,7,0.116166533379068
9,8,0.12260529460252978
9,9,0.12578420647876024
10,0,0.1398185477754481
10,1,0.14144344217792462
10,2,0.14554317241950265
10,3,0.1398374523663105
10,4,0.145546052332157
10,5,0.14250399509391648
10,6,0.14252813608649573
10,7,0.13868613621376202
10,8,0.14520625972506765
10,9,0.15107901918716862
11,0,0.18970335380290665
11,1,0.19004024296083905
11,2,0.19416790265975903
11,3,0.19146639899561493
11,4,0.18891256866520245
11,5,0.1934960682381742
11,6,0.19147738632094305
11,7,0.1943364096368051
11,8,0.19137314857879245
11,9,0.1935425003861092
12,0,0.13264240357791024
12,1,0.13260028215948336
12,2,0.15575332120116905
12,3,0.13264330070420552
12,4,0.13262597635855233
12,5,0.13261751411026365
12,6,0.13260222938445723
12,7,0.13263502853835515
12,8,0.13262761226426348
12,9,0.15666731832881325
13,0,0.13825185156118253
13,1,0.1418244025611428
13,2,0.1390324476768376
13,3,0.1420483083818302
13,4,0.14044394495763038
13,5,0.1400259080337178
13,6,0.13821402354663684
13,7,0.14094089539997398
13,8,0.14788498576121206
13,9,0.13921560041210823
14,0,0.17998935956489762
14,1,0.17939337863540078
14,2,0.18270168287354388
14,3,0.18056613736549576
14,4,0.18141103161483438
14,5,0.180941468966495
14,6,0.18094363351155185
14,7,0.1817416720723944
14,8,0.1809120017138767
14,9,0.18231791003513603
15,0,0.1292118592904132
15,1,0.12551250280433127
15,2,0.12409073990249059
15,3,0.1275551216402978
15,4,0.12558890929661776
15,5,0.12370634978115974
15,6,0.12469942004673651
15,7,0.12523094977255989
15,8,0.12239211154724988
15,9,0.1288430815314816
16,0,0.19602901246051843
16,1,0.2035089719580629
16,2,0.20217943160887683
16,3,0.20178586057329737
16,4,0.19835418401520852
16,5,0.20311554926038963
16,6,0.19695095485961786
16,7,0.19693985749162826
16,8,0.19597917666661863
16,9,0.20564738055265794
17,0,0.1533887651066135
17,1,0.15345051383714453
17,2,0.15338580047778808
17,3,0.15338715930762767
17,4,0.15343445605222295
17,5,0.16588497143970687
17,6,0.1533959459041388
17,7,0.15333161438729337
17,8,0.15339182809815563
17,9,0.15345302327950777
18,0,0.183762251656413
18,1,0.18040697985818024
18,2,0.1945771610302993
18,3,0.19006550222973062
18,4,0.17093926593090375
18,5,0.1811075099833445
18,6,0.18265082926365217
18,7,0.1807085279914459
