simu_idx,session_idx,p_c
0,0,0.010898441737965094
0,1,0.01048673233941182
0,2,0.010277532226014345
0,3,0.011206871477311621
0,4,0.010924033039549431
0,5,0.011518676223981795
0,6,0.010027108920064247
0,7,0.009829437514871326
0,8,0.010930817042679836
0,9,0.01381622584851208
1,0,0.11142048065688678
1,1,0.10989189421622114
1,2,0.1124985254362001
1,3,0.11249948568538501
1,4,0.11333285111066764
1,5,0.11456728645031342
1,6,0.11275920730086306
1,7,0.1138370393711869
1,8,0.11260174174926006
1,9,0.11243084342132137
2,0,0.11885746485427442
2,1,0.11866812624248872
2,2,0.11882677689090852
2,3,0.11898025765448482
2,4,0.12095495837937956
2,5,0.12092983273831408
2,6,0.11756240617354355
2,7,0.12014094861590027
2,8,0.11977504482019168
2,9,0.1198777746064122
3,0,0.09031434436484641
3,1,0.08987927613798259
3,2,0.08690751447552547
3,3,0.08725685093617092
3,4,0.08782725283278264
3,5,0.09039897838075765
3,6,0.08996053052001762
3,7,0.08859002990445634
3,8,0.08955849250709734
3,9,0.08858793220325621
4,0,0.01001426710507279
4,1,0.010248778999189767
4,2,0.009368673340521626
4,3,0.010289414247633763
4,4,0.012017601077070549
4,5,0.008510135083563039
4,6,0.009733052043152716
4,7,0.010220448889825403
4,8,0.01142711891022582
4,9,0.009020780856925956
5,0,0.1587318899543182
5,1,0.15359503217222759
5,2,0.15620038957384064
5,3,0.15756617653298982
5,4,0.15545871242101245
5,5,0.15320576755697587
5,6,0.15411630519231007
5,7,0.15366412701543788
5,8,0.15590855110127785
5,9,0.15647217187159895
6,0,0.11652101019886926
6,1,0.1169011626663007
6,2,0.12021522657386687
6,3,0.11837611015778284
6,4,0.12161724099806376
6,5,0.11801902451702305
6,6,0.11865459573779093
6,7,0.11835729324774161
6,8,0.11715934700513361
6,9,0.11990789691655461
7,0,0.12579421744186864
7,1,0.12630911013652044
7,2,0.12727831002757853
7,3,0.12690079734173415
7,4,0.13069571412599626
7,5,0.12412852705310766
7,6,0.1259581110680247
7,7,0.12548363138472135
7,8,0.12755159771215063
7,9,0.12450152819364677
8,0,0.046075414278345384
8,1,0.04276627429810109
8,2,0.0457147303157561
8,3,0.04344953699342086
8,4,0.043651596434449755
8,5,0.042597085199248576
8,6,0.044918781750337665
8,7,0.04417547998557892
8,8,0.045506283296735325
8,9,0.043724487814715975
9,0,0.16302477986957167
9,1,0.15996094027302551
9,2,0.16584389256963572
9,3,0.16336559767136494
9,4,0.1646625626456241
9,5,0.16094452976177734
9,6,0.16173351966645103
9,7,0.1620698807683791
9,8,0.1603665584196861
9,9,0.16329256190136798
10,0,0.1536990742112713
10,1,0.15415051491018372
10,2,0.15552445761358427
10,3,0.15578548030120537
10,4,0.1551737021539075
10,5,0.15334720473061295
10,6,0.15336152877949374
10,7,0.15732108718318916
10,8,0.15709659878477156
10,9,0.15876108112436096
11,0,0.0379654081795651
11,1,0.03481602540995556
11,2,0.033042875585105325
11,3,0.035411675293711295
11,4,0.03592445717989929
11,5,0.0385987200628764
11,6,0.036982535326430005
11,7,0.03778901455152811
11,8,0.03731439980739283
11,9,0.03431512583138969
12,0,0.12206868176573879
12,1,0.12208469955369972
12,2,0.12135967295512023
12,3,0.12441317873437278
12,4,0.12377743896164939
12,5,0.12174736668860464
12,6,0.12307815555243082
12,7,0.12068218792487521
12,8,0.12100438285452975
12,9,0.12699171579651924
13,0,0.09154993971126031
13,1,0.09080779600748683
13,2,0.09185058873329181
13,3,0.09207795532437653
13,4,0.09330347008339267
