simu_idx,session_idx,p_c
0,0,0.028220691470799836
0,1,0.028735720613030757
0,2,0.02830424894792437
0,3,0.028093210988047373
0,4,0.027545715988870283
0,5,0.027638736343378406
0,6,0.02747971288191734
0,7,0.028057006268570044
0,8,0.027673409672712916
0,9,0.027034337210925886
1,0,0.042687980458275994
1,1,0.04064043628207808
1,2,0.0401728862733944
1,3,0.041491370061659136
1,4,0.041917875184452356
1,5,0.04216286743454359
1,6,0.04141892942307114
1,7,0.04210865648990458
1,8,0.04075517278792336
1,9,0.04171275801801287
2,0,0.0640186064955153
2,1,0.06178253286287712
2,2,0.06288605769205975
2,3,0.06391414682829842
2,4,0.06338933469608132
2,5,0.06329908024898519
2,6,0.06284504465304055
2,7,0.06312842397833257
2,8,0.06402449259800344
2,9,0.06126227999149469
3,0,0.030387663633629065
3,1,0.031076614044082202
3,2,0.0312610034747482
3,3,0.030835740487028036
3,4,0.031090208588842837
3,5,0.030767925339907055
3,6,0.031184768234586217
3,7,0.03048045790757914
3,8,0.030934537352791332
3,9,0.03025892771592658
4,0,0.09623452536261068
4,1,0.09682392211104753
4,2,0.09666765521636697
4,3,0.09690636229596047
4,4,0.09683811730607002
4,5,0.09833051414028678
4,6,0.09415669123546642
4,7,0.09650184643185222
4,8,0.09396562947820977
4,9,0.09795752932029052
5,0,0.04333252285567357
5,1,0.043791186556192456
5,2,0.04337408057939407
5,3,0.0421292749865133
5,4,0.04313850584363863
5,5,0.0439193781575426
5,6,0.043019814424402524
5,7,0.043071618983436755
5,8,0.04284726219315439
5,9,0.043785437427488104
6,0,0.051607248258645995
6,1,0.052954924866246006
6,2,0.05262545256528896
6,3,0.05263560509937746
6,4,0.053110927588439535
6,5,0.053124300181776773
6,6,0.05293920219184804
6,7,0.05177510921548936
6,8,0.052658760679553634
6,9,0.051967491560572156
7,0,0.00010000393268029224
7,1,0.00010000393268029224
7,2,0.00010000197299527164
7,3,0.00010000393268029224
7,4,0.0001000000000958003
7,5,0.0001445639405922094
7,6,0.00010000393268029224
7,7,0.0001042592855268637
7,8,0.00010000393268029224
7,9,0.00010000197443101375
8,0,0.017675524772350015
8,1,0.016347864161565306
8,2,0.018007683193037697
8,3,0.01604631644986795
8,4,0.015842962864998037
8,5,0.016680641559635893
8,6,0.014543280641957776
8,7,0.01461699129390464
8,8,0.015984712618059775
8,9,0.01589485411882057
9,0,0.18369925143453725
9,1,0.18052851996053929
9,2,0.18225379103510211
9,3,0.1806799497619685
9,4,0.1812992653605502
9,5,0.18020632922698326
9,6,0.18305201241559801
9,7,0.18273358965613126
9,8,0.18501981984054006
9,9,0.18132921981541533
10,0,0.05614807449241732
10,1,0.05528135402658286
10,2,0.05645236837854034
10,3,0.0564032479563924
10,4,0.054697675123166395
10,5,0.05685439279169569
10,6,0.05495418162529838
10,7,0.054553925573940364
10,8,0.05489362818282031
10,9,0.05604600540441265
11,0,0.00010000393268029224
11,1,0.00010000000000005947
11,2,0.00010000393268029224
11,3,0.00010000393268029224
11,4,0.00010000393268029224
11,5,0.00010000000009527503
11,6,0.00010000393268029224
11,7,0.00010000000000005947
11,8,0.00010000000009592341
11,9,0.00010000000000005947
12,0,0.017669904109830124
12,1,0.017390687469680147
12,2,0.017284865721898864
12,3,0.016935399310143942
12,4,0.016673707933762
12,5,0.018245060620744203
12,6,0.01763703448956157
12,7,0.01761892780269748
12,8,0.01737873444665156
12,9,0.017605368646659073
13,0,0.0563081895017262
13,1,0.054905522924648724
13,2,0.055570355389996676
13,3,0.056455464368131016
13,4,0.055322605424888815
13,5,0.05735838683777398
13,6,0.056948521911587356
13,7,0.05670637305278678
13,8,0.057166585376002915
13,9,0.057380384534780574
14,0,0.14944429981707902
14,1,0.14737299082618552
14,2,0.1492809751714826
14,3,0.14871929665895767
14,4,0.1483381120732685
14,5,0.1476158491957358
14,6,0.14651653730466602
14,7,0.15163526682383016
14,8,0.15108547594060798
14,9,0.15247094803913466
15,0,0.07912841829136937
15,1,0.07483063092910967
15,2,0.07959281997680023
15,3,0.07810223712517178
15,4,0.07809050347394099
15,5,0.07733733881531574
15,6,0.07807687221530622
15,7,0.07701625133051473
15,8,0.07638235752257869
15,9,0.07552125322880898
16,0,0.00010000000000005947
16,1,0.00010000393268029224
16,2,0.00010000393268029224
16,3,0.0001000000000957798
16,4,0.00010000393268029224
16,5,0.00010000000009592341
16,6,0.00010000000009577342
16,7,0.00010000000000005947
16,8,0.00010000000009522864
16,9,0.00010000393268029224
17,0,0.09658245773698525
17,1,0.09603268725020928
17,2,0.09718093644071159
17,3,0.09602648749134374
17,4,0.0962905519119751
17,5,0.09484466287973455
17,6,0.09545460930566128
17,7,0.09727296349053982
17,8,0.09542287983297214
17,9,0.09604296165666504
18,0,0.025508067746293894
18,1,0.02521376469365904
18,2,0.025285600569109112
18,3,0.025343934004222322
18,4,0.02343425471878498
18,5,0.023118104691184988
18,6,0.025769118692683245
18,7,0.024617712400416034
18,8,0.02427395370770726
18,9,0.025552712723048626
19,0,0.00010000000009538621
19,1,0.00010000393268029224
19,2,0.00010000393268029224
19,3,0.00010000393268029224
19,4,0.00010000393268029224
19,5,0.0001000000000967926
19,6,0.00010000393268029224
19,7,0.00010000000000005947
19,8,0.00010000000009592341
19,9,0.00010000000000005947
20,0,0.012547519554455258
20,1,0.011561771109277986
20,2,0.012631533821117532
20,3,0.0123136689340036
20,4,0.012241817320862127
20,5,0.011150037523479997
20,6,0.012323707183129248
20,7,0.011248439791926306
20,8,0.012016045040426363
20,9,0.011885594580296
21,0,0.017808199358330428
21,1,0.01711714560506666
21,2,0.018413626173285094
21,3,0.01747173660389516
21,4,0.018157253769828557
21,5,0.017600856393472534
21,6,0.016450611993056412
21,7,0.017591882435205056
21,8,0.01705153192252898
21,9,0.01673871143469999
22,0,0.03784825751815964
22,1,0.03782999322278095
22,2,0.03791231830540732
22,3,0.03800453891689667
22,4,0.03777369974189659
22,5,0.038006052945298935
22,6,0.03791266868019594
22,7,0.03732976247483255
22,8,0.037213921635160185
22,9,0.037381194956108456
23,0,0.06315821579615656
23,1,0.06442280614528224
23,2,0.0651902599421551
23,3,0.06213592853377173
23,4,0.06114043663801622
23,5,0.06262568319800073
23,6,0.06295147780791432
23,7,0.0629754049177395
23,8,0.06337308415233615
23,9,0.06186477173324554
24,0,0.01982934705752491
24,1,0.020084931677190686
24,2,0.020297393853299376
24,3,0.020040784807508056
24,4,0.02013739457114456
24,5,0.02063133703418909
24,6,0.020152753911361575
24,7,0.019879274627713106
24,8,0.02036019556576464
24,9,0.019320184679786582
25,0,0.0166585930276677
25,1,0.016945361833116998
25,2,0.017162939878341537
25,3,0.017825169794979223
25,4,0.016255979939240113
25,5,0.016735660080283255
25,6,0.01599031273161707
25,7,0.016951200705648463
25,8,0.017088072094434404
25,9,0.016500620574869757
26,0,0.01393860435771789
26,1,0.01382077740970466
26,2,0.015002180728814799
26,3,0.013750846109304339
26,4,0.014716504713893935
26,5,0.0150236857025043
26,6,0.01382684169275451
26,7,0.013896986270400761
26,8,0.013665345512459258
26,9,0.013886846464555333
27,0,0.061614061320726624
27,1,0.05978589396768035
27,2,0.062396800289044936
27,3,0.061695171753573176
27,4,0.06247621449153394
27,5,0.06020481730669847
27,6,0.06181187124318997
27,7,0.06019959980896262
27,8,0.061710640784946764
27,9,0.06197501048072595
28,0,0.00010000000000005947
28,1,0.00010000000009538621
28,2,0.00010000000000005947
28,3,0.00010000393268029224
28,4,0.00010000000000005947
28,5,0.00010000393268029224
28,6,0.00010000000000005947
28,7,0.00010000393268029224
28,8,0.00010000000009801576
28,9,0.00010000393268029224
29,0,0.053712466136628764
29,1,0.05365100695264922
29,2,0.053150898359245705
29,3,0.0542125842070704
29,4,0.05248140834964822
29,5,0.05249556201884008
29,6,0.05495301613235386
29,7,0.052517151859062014
29,8,0.05155254219767879
