simu_idx,session_idx,lr
0,0,0.14199324278249256
0,1,0.1413571961335934
0,2,0.14182049914723777
0,3,0.13983665118487737
0,4,0.14146502738007646
0,5,0.1415937086504188
0,6,0.14177350790480633
0,7,0.14130747447955586
0,8,0.14157068012436258
0,9,0.14179222606212064
1,0,0.17038600401654963
1,1,0.1704865488309131
1,2,0.1706000102090148
1,3,0.17047907517733626
1,4,0.17061267297524318
1,5,0.1704772233292846
1,6,0.17057483029404708
1,7,0.17048126853107187
1,8,0.17060766665591284
1,9,0.17023538040186117
2,0,0.21959380567146303
2,1,0.22069016137779468
2,2,0.22024024656173227
2,3,0.22013020698509303
2,4,0.22022454551143747
2,5,0.22064295240917955
2,6,0.22053606423127708
2,7,0.22050143923274754
2,8,0.21989909829283838
2,9,0.21996483006643688
3,0,0.1253218092685103
3,1,0.12525069640374425
3,2,0.12470088317838361
3,3,0.12371090189387386
3,4,0.12513321200143826
3,5,0.12558079867206046
3,6,0.12500506193312033
3,7,0.12458940576180634
3,8,0.12479683626239366
3,9,0.12431646569308967
4,0,0.19960680260737781
4,1,0.19796079557837679
4,2,0.20340482249043174
4,3,0.20202598776640207
4,4,0.1992982560003412
4,5,0.20076003444868537
4,6,0.20069606530552414
4,7,0.20207724754243983
4,8,0.19980011439636058
4,9,0.20150001911708706
5,0,0.18441428150793374
5,1,0.18457132040642407
5,2,0.18430506590994902
5,3,0.18459432824496094
5,4,0.18447596056573523
5,5,0.18417878755942738
5,6,0.18459768195036133
5,7,0.18455031969488175
5,8,0.18456550378341413
5,9,0.18447942549173146
6,0,0.20997133412731275
6,1,0.2095508392635188
6,2,0.20873587443066163
6,3,0.20986873318234078
6,4,0.2094230359471179
6,5,0.20874575625569328
6,6,0.20950389012733156
6,7,0.20968109753136321
6,8,0.20851546946509222
6,9,0.20995783326495285
7,0,0.0424859847761962
7,1,0.04300355294417952
7,2,0.042311443796305095
7,3,0.042593053993725656
7,4,0.042413517944120294
7,5,0.04315535017506061
7,6,0.04270712063142296
7,7,0.04261874699337113
7,8,0.04264973385873138
7,9,0.04223318923707833
8,0,0.05603969710792514
8,1,0.05600351906991275
8,2,0.05496759319168671
8,3,0.05552302793861357
8,4,0.05426669278938795
8,5,0.0558051738844189
8,6,0.05571510770539043
8,7,0.055308265781137636
8,8,0.05581350012832289
8,9,0.05548425322558091
9,0,0.406117731555896
9,1,0.407434230965644
9,2,0.40928363494172665
9,3,0.4110374285716407
9,4,0.40241322829915505
9,5,0.40706687531265784
9,6,0.4071903405762539
9,7,0.40765979535506724
9,8,0.40143184960485384
9,9,0.4078575794704792
10,0,0.13915148442829936
10,1,0.1397995032487877
10,2,0.14098760072177205
10,3,0.1387493002287073
10,4,0.13627147934662853
10,5,0.14099469214949786
10,6,0.13969243323847738
10,7,0.13689470322736189
10,8,0.1388354688054413
10,9,0.1405981574879434
11,0,0.02749765766703675
11,1,0.0274353426758603
11,2,0.027463499250277943
11,3,0.027306883670728414
11,4,0.02776225288028309
11,5,0.027548209237901584
11,6,0.027405010512456807
11,7,0.027433151014522317
11,8,0.027451131411554596
11,9,0.027323461141916913
12,0,0.10509306256998041
12,1,0.10495750320871573
12,2,0.10532729223039823
12,3,0.105477012790391
12,4,0.10548732179277993
12,5,0.1052379769705352
12,6,0.10550717660413052
12,7,0.10516793579657245
