simu_idx,session_idx,p_c
0,0,0.045256347282104696
0,1,0.04612647774228377
0,2,0.04561905607655684
0,3,0.0473687625829447
0,4,0.04637067902484748
0,5,0.04592701152425838
0,6,0.04575031217471746
0,7,0.04621710602956617
0,8,0.045828768462881114
0,9,0.04533901159186257
1,0,0.05587250244439021
1,1,0.05355097044915489
1,2,0.054057412065158725
1,3,0.054817272142656075
1,4,0.055273098226151826
1,5,0.056267742220584255
1,6,0.05528656621090052
1,7,0.055868750981902894
1,8,0.05418884737947553
1,9,0.055531071836299885
2,0,0.07077893813438399
2,1,0.0693751354987875
2,2,0.07015438653761646
2,3,0.07088636473430561
2,4,0.06969112109772035
2,5,0.06988520763227749
2,6,0.06981620803165219
2,7,0.06992340138067357
2,8,0.07062787724510737
2,9,0.06952884626224076
3,0,0.040620187779693145
3,1,0.040954294410669334
3,2,0.041432837451115444
3,3,0.04139517752705902
3,4,0.040904015303841905
3,5,0.040540135000312096
3,6,0.040983203482137076
3,7,0.0411603537086667
3,8,0.040707965642409485
3,9,0.041056655989290224
4,0,0.06979150320029386
4,1,0.06955462023392638
4,2,0.06944587201233116
4,3,0.06954463951950321
4,4,0.06946673076500078
4,5,0.06959300950428138
4,6,0.06943646451629659
4,7,0.06946327145921993
4,8,0.06944295107620842
4,9,0.07010176652868748
5,0,0.06077972113022519
5,1,0.05836165010603014
5,2,0.06002562598965255
5,3,0.059682920717099644
5,4,0.0598905799543859
5,5,0.06054589004854266
5,6,0.059793534482727326
5,7,0.05930564231006294
5,8,0.05990258774327074
5,9,0.05986303536467993
6,0,0.06341498872218587
6,1,0.06379484580664502
6,2,0.0640960196417742
6,3,0.06372074574459581
6,4,0.06368025667362155
6,5,0.06384490525835883
6,6,0.06380314415250689
6,7,0.06421514784658822
6,8,0.06463298608035656
6,9,0.06372805237434878
7,0,0.016135979164690808
7,1,0.01598336735816727
7,2,0.01616412214860471
7,3,0.016205528671372135
7,4,0.016137824003579868
7,5,0.015918300733968684
7,6,0.01608007318845047
7,7,0.016332953168466093
7,8,0.01607011423469165
7,9,0.016686465430458687
8,0,0.023068104830437905
8,1,0.023094284667118107
8,2,0.02321539122677719
8,3,0.023141258306158135
8,4,0.023301612784167824
8,5,0.023167073306280962
8,6,0.023091972332870428
8,7,0.023166089957569476
8,8,0.023086536258154846
8,9,0.0231262500225417
9,0,0.12699149811423488
9,1,0.12591551773051662
9,2,0.1267899671991416
9,3,0.12627593899551848
9,4,0.12563005637087438
9,5,0.12606386618670207
9,6,0.12677375121130435
9,7,0.12617068207354581
9,8,0.12687015637982643
9,9,0.12698957458667112
10,0,0.04849777688369645
10,1,0.04816053428182619
10,2,0.04803901068625945
10,3,0.048138957478002474
10,4,0.04856778189595161
10,5,0.04811911271543814
10,6,0.04809717025453752
10,7,0.048199787437793226
10,8,0.04871723999844144
10,9,0.048109460058265704
11,0,0.012267598092793985
11,1,0.012275857079025492
11,2,0.012294760022249105
11,3,0.012264686710923968
11,4,0.012228680528257346
11,5,0.012246237942869699
11,6,0.012304121972179201
11,7,0.012276688569888766
11,8,0.012252358893211548
11,9,0.012250164939077662
12,0,0.03634210075764179
12,1,0.03623487520408843
12,2,0.03621355097040673
12,3,0.03539372074234619
12,4,0.03542802279455156
12,5,0.0363381002653621
12,6,0.035693389585685166
12,7,0.036150689176361446
12,8,0.0357245233950641
12,9,0.03623663926993892
13,0,0.06665629192840293
13,1,0.06621067814223977
13,2,0.06570678615460196
13,3,0.06676849586915035
13,4,0.06590221185721855
13,5,0.06713119447694661
13,6,0.06710278559936309
13,7,0.06725427584129608
13,8,0.06582228745136351
13,9,0.06729455582109443
14,0,0.10440473532895024
14,1,0.10421502931542453
14,2,0.1044455359522977
14,3,0.10446033779080405
14,4,0.10437298034321665
14,5,0.10429797534942092
14,6,0.10435833049656491
14,7,0.10576996618968619
14,8,0.10450664445141421
14,9,0.10500560902988382
15,0,0.07972982663917236
15,1,0.078922752020789
15,2,0.08223601016427869
15,3,0.07914118803025337
15,4,0.0815243463446058
15,5,0.07963292506797746
15,6,0.08107810409037608
15,7,0.07987348710586128
15,8,0.0792925848848944
15,9,0.07872249450378903
16,0,0.014564181829928297
16,1,0.013496076246293273
16,2,0.013423010574707659
16,3,0.013487798509738644
16,4,0.013573198904159537
16,5,0.013476390888024478
16,6,0.013513774901681047
16,7,0.013537533570376965
16,8,0.013577632618721
16,9,0.01353846893240917
17,0,0.09318832476545333
17,1,0.09066468879696056
17,2,0.09129416216164024
17,3,0.09173707094483265
17,4,0.0906706490768246
17,5,0.09167078700338725
17,6,0.0909723346128009
17,7,0.0929552197481559
17,8,0.09130014993880194
17,9,0.09089812211984878
18,0,0.029690455913640643
18,1,0.0295637599925593
18,2,0.029717995978811907
18,3,0.02964437525416577
18,4,0.02970969587814563
18,5,0.02953432168308209
18,6,0.029654407249378286
18,7,0.029685656793219068
18,8,0.029570600849112522
18,9,0.029626041238495448
19,0,0.008699558455245532
19,1,0.00872783431836594
19,2,0.008847657534408788
19,3,0.008653792569676754
19,4,0.008643039129821657
19,5,0.008764374165686819
19,6,0.008621500991159195
19,7,0.00868882519380344
19,8,0.008649114172241384
19,9,0.008743746616341879
20,0,0.0280078079792135
20,1,0.02849428133071486
20,2,0.028353951335290655
20,3,0.02814505390289737
20,4,0.027630207014353272
20,5,0.028540302955967312
20,6,0.027700770176216367
20,7,0.028106395882552062
20,8,0.02791125088999051
20,9,0.027558331306183143
21,0,0.02703863320536736
21,1,0.02712534785222087
21,2,0.02701805296445634
21,3,0.026904760288812918
21,4,0.026935177147215446
21,5,0.02695626321791793
21,6,0.027495477222738304
21,7,0.027136231093514013
21,8,0.02702937132926073
21,9,0.026984945494887554
22,0,0.04588411514959881
22,1,0.04584927002925358
22,2,0.04560456154993564
22,3,0.04637204153552951
22,4,0.04792541482088377
22,5,0.045713866756177494
22,6,0.04566753100456618
22,7,0.04538384524497688
22,8,0.04534157365439047
22,9,0.046001046314075734
23,0,0.07256845623763299
23,1,0.07369212866039515
23,2,0.07425887992551633
23,3,0.07218109331351083
23,4,0.07201240698298005
23,5,0.07268669213968112
23,6,0.07331778165709803
23,7,0.07440571279208502
