simu_idx,session_idx,p_c,lamda
0,0,0.07136108057961227,0.11650371656503794
0,1,0.07136107557372696,0.11650371945564773
0,2,0.07136108031901708,0.11650372269232358
0,3,0.07136108007130146,0.11650408203030783
0,4,0.07136108168499151,0.11650371278656968
0,5,0.07136108171637343,0.11650371312730085
0,6,0.07136107888881332,0.11650355583657811
0,7,0.0713610802360392,0.11650371657215643
0,8,0.07136112723332536,0.11650356870086864
0,9,0.07136107698508891,0.11650373371743487
1,0,0.09080883830202784,0.03131096183314942
1,1,0.09080883692199858,0.03131024428476467
1,2,0.09080881668439317,0.03131072867234799
1,3,0.09080882565217599,0.03130862593638167
1,4,0.09080882114608609,0.03131099129122974
1,5,0.09080882769815327,0.03130862322607034
1,6,0.09080882754509884,0.031310793141148985
1,7,0.09080881216537262,0.03130885352778806
1,8,0.09080881109672391,0.03131108600923654
1,9,0.09080882740263443,0.031308623248096225
2,0,0.11501909817920582,0.1132437045278461
2,1,0.11501908115471635,0.1132437441982695
2,2,0.11501908204853921,0.11324375546839642
2,3,0.11501907803423976,0.11324158648779806
2,4,0.11501910370143101,0.11324368998964902
2,5,0.11501911036521487,0.11324367509145454
2,6,0.11501908355605245,0.11324373853739872
2,7,0.1150191059193178,0.11324367707956326
2,8,0.11501908446309732,0.11324373690551638
2,9,0.11501910144319828,0.11324369676782747
3,0,0.0585432649938387,0.28515297547092266
3,1,0.058543267482351856,0.28516122557412066
3,2,0.05854325412374928,0.28515306886734004
3,3,0.058543263409070206,0.2851552892763287
3,4,0.05854326344275026,0.28515298631368674
3,5,0.05854326203673096,0.2851529959482218
3,6,0.05854324466231918,0.28516140658840716
3,7,0.05854324992682775,0.28515743346628647
3,8,0.05854324087429313,0.28516119250941524
3,9,0.05854322718254974,0.2851533908794444
4,0,0.07387066001048642,0.9119199375309748
4,1,0.07387066906892115,0.9119198384989994
4,2,0.07387065930729758,0.9119199535123832
4,3,0.07387065640364633,0.9119199721448195
4,4,0.07387042217877599,0.9119306272734922
4,5,0.0738706719902186,0.9119197814728993
4,6,0.07387062708052107,0.9119202946155525
4,7,0.07387062721195424,0.9119202917684903
4,8,0.07387066014266437,0.9119199488093324
4,9,0.07387071839439209,0.9119194844343023
5,0,0.09860976935700883,0.04419558861971074
5,1,0.09860994784364936,0.044188381320319756
5,2,0.0986099613320772,0.044188352294564616
5,3,0.09860996613299815,0.04419747321899719
5,4,0.09860994884691814,0.044188380540650676
5,5,0.09860994857071748,0.04419093803409359
5,6,0.09860998945502078,0.04419676697445391
5,7,0.0986099635430981,0.04419439086521712
5,8,0.09860995124983958,0.04419657276384827
5,9,0.09860994296978678,0.044188398843621864
6,0,0.1092650665338446,0.08884101437144892
6,1,0.10926506673207213,0.08884101405456311
6,2,0.10926506086454918,0.08884102738935863
6,3,0.1092650667961615,0.08884101395836728
6,4,0.10926508185436432,0.08884098337432214
6,5,0.10926505523456537,0.08883783098020191
6,6,0.10926501909129205,0.0888411855439106
6,7,0.10926506754464921,0.08883743986885052
6,8,0.10926506947744985,0.08884100683305596
6,9,0.10926497923490948,0.08884124708072165
7,0,0.019655472604806996,0.3700385309458323
7,1,0.01965547558706209,0.37004188583807646
7,2,0.019665717461973948,0.37011594851418894
7,3,0.01965547162970554,0.37004195587633587
7,4,0.01965547253842521,0.37004194080672637
7,5,0.019655474701452284,0.37004190050823255
7,6,0.019665714777366214,0.3698687466557266
7,7,0.01965547166354639,0.37004195529863537
7,8,0.019655472257668578,0.37004194600449675
7,9,0.019655472263772525,0.3700419459054123
8,0,0.02503749623640391,0.7626209034070742
8,1,0.025037495308623824,0.7626209622405734
8,2,0.025037495880435696,0.7626205859044547
8,3,0.025037495867706493,0.7626210403463571
8,4,0.02503749654986709,0.7626185656180287
8,5,0.025037496273420872,0.7626209486232113
8,6,0.025037495468340804,0.7626208863694575
8,7,0.02503749432713751,0.7626210983509528
8,8,0.02503749553575017,0.7626208254822578
8,9,0.025037496505871035,0.7626185742048669
9,0,0.14562972528163795,0.8743291723706721
9,1,0.1456294562438488,0.87433925302642
9,2,0.14562942641807763,0.8743393719429606
9,3,0.1456294563517695,0.8743392515323422
9,4,0.14562945619049647,0.8743392528809306
9,5,0.1456294723040658,0.8743391838952851
9,6,0.14562936320608874,0.8743397457376578
