simu_idx,session_idx,p_c
0,0,0.018568428920289082
0,1,0.018576381254815897
0,2,0.018571273775084225
0,3,0.0185657849787848
0,4,0.018565792909220776
0,5,0.01855781718291985
0,6,0.01857127382987735
0,7,0.01857537649874044
0,8,0.018560996265107408
0,9,0.018565789497312343
1,0,0.07970074382128998
1,1,0.0797056083973747
1,2,0.07970560838468392
1,3,0.07970436143442126
1,4,0.0797056083873763
1,5,0.07970140346301412
1,6,0.07970560838584625
1,7,0.07970560838414997
1,8,0.07970560838509551
1,9,0.07970560838575269
2,0,0.08803101038632023
2,1,0.08803053493144444
2,2,0.08803114476118361
2,3,0.08803119111382325
2,4,0.08803240342421968
2,5,0.08803053492919274
2,6,0.08803053494670769
2,7,0.08803127089690686
2,8,0.08803053492649035
2,9,0.08803201318541184
3,0,0.062367171675144675
3,1,0.06237561749125422
3,2,0.062367171671337505
3,3,0.06236717167097232
3,4,0.06235322636612831
3,5,0.06236495846064956
3,6,0.062358890313757145
3,7,0.062367171677550425
3,8,0.06235895794846743
3,9,0.062351296925420394
4,0,0.017171796739278797
4,1,0.01717200475197837
4,2,0.017182188442439603
4,3,0.01716637579084534
4,4,0.017170344455462574
4,5,0.017171418772748824
4,6,0.017172313127099385
4,7,0.017170299905076795
4,8,0.01717193703201749
4,9,0.01717222602242598
5,0,0.11275116988570341
5,1,0.11274740721084907
5,2,0.11275117009713549
5,3,0.11275117011632857
5,4,0.11275117012750603
5,5,0.11275430943237665
5,6,0.11275117010744885
5,7,0.11275117010603795
5,8,0.11273698474588814
5,9,0.1127537141497538
6,0,0.08669737645109062
6,1,0.08670206886328767
6,2,0.08670206884410538
6,3,0.08671808512060718
6,4,0.08670206879960576
6,5,0.08670206886159368
6,6,0.08670206885705319
6,7,0.0867020688420782
6,8,0.0867020688820456
6,9,0.08670308858417071
7,0,0.09780573504726928
7,1,0.09780573509636442
7,2,0.09780573522853378
7,3,0.09780573509445158
7,4,0.09780573515957114
7,5,0.09781183624134723
7,6,0.09780573506807454
7,7,0.09780573512882099
7,8,0.09780974317434131
7,9,0.0978057350644475
8,0,0.03389272339772723
8,1,0.03389072803116081
8,2,0.033892095463450254
8,3,0.0338904832026564
8,4,0.03389236335068181
8,5,0.03389854353808721
8,6,0.03390178163269451
8,7,0.033901781623331975
8,8,0.03391142795129702
8,9,0.033893241933500476
9,0,0.11703116705026731
9,1,0.11702631592195879
9,2,0.11702631590556949
9,3,0.11702631594005458
9,4,0.11701135978247709
9,5,0.11702218853903966
9,6,0.11702631594912163
9,7,0.1170257868024098
9,8,0.11702631593306485
9,9,0.1170263159633536
10,0,0.11399049359977133
10,1,0.11399051100289832
