,0,1,2,3,4,5,6,7,8,9
0,69,78,98,28,117,65,11,128,4,83
1,20,29,44,123,9,143,73,58,47,85
2,118,68,40,138,107,86,122,48,12,149
3,50,39,84,28,113,112,19,97,43,64
4,20,137,4,57,29,59,67,121,110,90
5,80,109,123,103,95,5,106,129,92,25
6,98,130,76,30,32,46,67,136,128,33
7,34,60,75,54,21,118,103,1,92,132
8,42,60,12,134,78,123,15,124,82,77
9,13,136,87,142,88,42,109,19,46,108
10,33,97,55,31,19,54,71,118,139,3
11,61,98,17,79,11,7,142,97,104,113
12,5,135,99,58,101,75,11,52,31,51
13,104,84,54,51,9,56,65,132,72,59
14,13,145,18,19,146,102,85,122,79,141
15,30,2,135,112,26,116,129,31,33,147
16,88,105,63,115,79,109,58,146,124,69
17,103,69,104,31,117,81,73,133,63,92
18,146,59,8,104,7,36,24,55,100,83
19,126,137,108,128,16,93,145,139,8,101
20,118,53,17,41,108,142,140,129,87,20
21,4,70,53,112,1,140,125,148,133,35
22,52,62,114,78,105,108,70,120,50,98
23,44,124,143,98,26,87,22,114,30,60
24,144,102,27,49,57,86,78,103,19,21
25,28,29,128,21,148,46,47,103,133,126
26,102,111,15,122,38,93,113,14,119,145
27,0,78,65,46,126,73,143,108,80,72
28,32,115,38,40,77,98,117,134,45,64
29,54,119,6,141,125,147,83,63,77,40
30,138,37,17,11,145,72,112,115,25,132
31,132,113,27,86,89,92,65,39,99,24
32,130,39,102,141,84,95,43,138,26,111
33,114,51,4,29,82,109,70,31,1,49
34,127,62,120,89,84,79,149,110,40,60
35,146,30,131,100,83,149,17,80,28,63
36,9,60,70,19,126,86,62,145,11,74
37,141,70,39,43,134,147,46,105,40,75
38,44,91,66,63,0,137,32,122,94,87
39,21,31,110,15,88,65,1,145,32,140
40,116,35,88,5,48,22,51,3,132,121
41,149,38,89,71,123,117,49,97,55,99
42,107,1,137,99,56,135,82,21,121,52
43,62,22,134,67,43,122,142,139,23,90
44,91,34,55,120,27,137,114,80,49,138
45,22,87,47,29,117,136,119,9,2,122
46,143,119,16,68,70,49,6,126,54,62
47,118,100,85,72,149,123,56,33,93,63
48,132,11,45,60,121,26,50,52,30,128
49,85,31,49,130,109,73,127,145,112,71
50,91,92,104,46,29,90,4,52,134,16
51,78,57,116,73,131,118,67,72,91,101
52,46,139,64,71,57,145,16,88,91,39
53,17,12,95,37,132,138,16,30,35,91
54,83,88,137,5,95,55,97,93,74,27
55,1,41,34,67,133,108,120,3,59,130
56,61,14,97,77,20,67,130,80,112,43
57,65,34,94,54,14,148,132,48,27,40
58,44,117,67,53,87,65,5,38,27,47
59,37,117,149,8,100,50,94,112,129,64
60,75,70,85,97,61,114,68,8,6,19
61,143,12,98,25,40,92,79,45,137,63
62,15,9,47,87,85,18,134,140,54,48
63,28,142,120,75,54,48,138,47,65,13
64,23,43,46,72,144,58,35,123,97,127
65,123,148,89,131,96,16,32,81,142,63
66,122,149,3,133,90,123,111,109,60,24
67,5,116,82,29,142,83,135,42,53,67
68,36,39,43,110,94,84,96,47,75,45
69,122,97,98,43,76,136,129,69,34,82
70,72,44,80,63,52,6,8,4,132,108
71,144,11,148,113,2,4,63,53,129,30
72,144,123,49,146,78,7,27,127,96,69
73,121,109,22,131,34,119,23,128,144,36
74,116,122,70,6,11,117,24,44,102,41
75,74,98,52,30,39,45,68,72,105,104
76,48,3,127,63,104,56,136,139,89,15
77,64,33,144,80,83,105,84,39,96,35
78,119,48,104,128,117,41,60,85,17,100
79,133,95,116,118,104,30,148,64,45,72
80,119,56,38,135,129,142,55,61,124,13
81,63,120,130,87,143,5,121,57,98,65
82,134,90,16,49,43,1,144,86,6,94
83,129,149,7,105,53,20,82,71,131,6
84,36,23,49,135,114,124,13,97,121,19
85,55,56,97,112,84,6,13,99,103,33
86,25,93,66,9,38,22,57,31,49,61
87,96,45,52,141,17,85,149,71,24,128
88,113,121,20,94,86,45,66,25,112,43
89,145,107,91,27,86,40,12,128,71,100
90,122,109,24,93,67,137,74,127,125,120
91,83,103,131,144,114,146,115,11,37,129
92,130,120,15,118,122,140,68,98,85,43
93,40,115,12,101,28,83,96,73,127,44
94,25,98,127,147,38,102,135,101,118,65
95,130,63,94,82,61,140,51,85,46,81
96,79,60,44,120,4,25,133,32,76,132
97,111,136,104,139,91,9,19,52,84,74
98,75,78,31,73,100,126,135,111,138,80
99,34,30,101,26,98,107,75,67,95,99
