,0,1,2,3,4,5,6,7,8,9
0,50,3,145,140,30,99,104,33,108,41
1,8,13,109,148,133,73,115,37,147,110
2,130,46,141,148,85,120,71,56,113,6
3,71,30,19,85,136,0,34,91,15,11
4,142,145,148,47,66,33,0,75,58,146
5,97,127,52,116,50,142,15,54,136,39
6,57,73,48,142,107,13,133,67,98,109
7,13,146,91,11,61,103,24,111,58,37
8,142,135,2,126,68,19,120,109,110,43
9,31,10,117,5,12,89,0,21,84,63
10,94,93,26,84,120,20,9,131,25,139
11,138,144,147,137,43,9,100,36,56,81
12,147,140,139,10,114,39,19,8,77,146
13,49,74,116,51,92,108,22,15,148,13
14,131,71,80,109,76,117,84,45,92,64
15,28,95,88,34,63,144,143,10,22,148
16,144,78,72,40,68,36,110,139,140,123
17,112,124,119,84,130,26,20,92,101,33
18,45,54,51,52,134,47,89,24,106,116
19,94,108,41,66,142,6,78,43,3,77
20,49,139,85,122,9,4,74,134,108,90
21,55,33,108,119,71,125,131,21,129,12
22,112,133,125,39,50,30,146,41,85,14
23,84,92,16,48,72,81,24,108,91,90
24,128,140,111,114,98,95,107,28,44,133
25,111,70,142,147,90,79,71,59,73,24
26,145,61,41,125,49,5,21,67,109,63
27,9,147,69,37,27,12,110,13,61,52
28,133,146,64,142,25,58,14,70,138,31
29,108,39,82,127,4,91,89,142,6,41
30,21,130,82,138,49,87,106,67,63,135
31,49,91,23,128,44,121,94,96,40,30
32,43,50,75,71,144,84,41,101,121,80
33,60,70,95,93,140,0,13,7,26,48
34,61,22,94,33,140,11,40,144,82,7
35,134,94,143,120,90,147,24,101,31,38
36,113,20,137,104,3,22,143,37,119,48
37,16,5,140,145,70,13,143,99,7,105
38,147,1,67,63,19,41,16,11,15,55
39,30,119,62,47,95,48,133,98,18,117
40,22,3,1,44,127,35,138,149,49,111
41,21,91,80,143,108,145,138,113,139,17
42,59,125,67,87,50,74,88,109,108,112
43,58,86,51,44,22,85,69,25,32,139
44,33,35,2,31,100,76,98,53,123,81
45,18,99,107,28,116,77,138,5,142,48
46,50,39,7,118,13,79,85,105,29,136
47,27,71,106,67,52,69,94,108,68,126
48,143,57,42,111,106,8,0,125,22,49
49,117,149,63,37,83,97,66,121,109,135
50,24,63,30,20,29,51,33,65,98,92
51,118,78,144,111,105,56,140,48,124,59
52,50,139,128,77,53,120,57,46,81,31
53,135,47,21,99,30,15,62,36,115,96
54,34,68,104,42,127,19,45,60,86,135
55,132,114,89,69,93,95,87,36,81,148
56,138,142,82,44,63,16,74,89,85,112
57,131,99,122,143,92,85,96,19,129,115
58,143,116,57,101,118,145,52,15,9,11
59,99,17,93,146,55,131,65,96,115,38
60,67,22,78,126,99,72,51,145,104,108
61,42,55,122,85,30,62,93,141,6,52
62,11,127,96,48,77,51,114,19,112,79
63,73,103,12,51,119,85,56,143,77,114
64,18,140,141,76,95,124,28,120,128,10
65,114,109,146,20,46,118,139,25,62,0
66,37,35,14,25,49,135,127,107,51,47
67,6,8,131,115,119,91,103,111,27,14
68,61,7,81,146,6,13,32,90,48,133
69,21,2,106,6,13,68,132,98,43,114
70,140,79,60,47,6,123,65,35,54,25
71,68,129,100,50,61,139,124,136,118,120
72,67,70,92,120,106,65,103,1,90,94
73,66,92,113,86,142,83,32,147,12,124
74,52,38,23,11,119,28,90,97,32,0
75,108,124,144,16,4,140,39,116,118,112
76,14,30,84,93,110,55,42,72,86,20
77,12,146,125,58,93,57,61,76,112,118
78,78,63,110,56,34,74,119,98,0,30
79,100,26,63,126,115,62,72,73,77,128
80,34,109,106,125,133,6,90,72,3,64
81,147,80,41,22,62,92,105,129,19,48
82,44,138,115,136,99,67,104,32,50,114
83,17,61,67,94,35,59,6,128,147,54
84,12,30,123,97,74,88,71,0,143,148
85,143,127,6,1,29,111,58,35,70,80
86,56,74,41,7,40,133,143,88,46,49
87,105,59,78,32,67,146,36,22,83,81
88,48,132,61,79,53,66,4,10,94,130
89,125,68,99,137,5,98,144,100,112,0
90,95,50,91,113,63,74,7,114,12,33
91,47,55,67,77,132,106,137,133,12,147
92,38,122,24,14,55,103,94,62,144,25
93,53,29,69,74,34,104,9,79,109,50
94,42,85,37,13,126,139,18,34,116,103
95,37,93,49,65,13,64,75,121,80,14
96,92,149,79,80,135,54,89,104,14,56
97,148,62,23,122,112,137,128,64,107,1
98,43,76,75,69,5,127,66,98,68,23
99,16,93,115,99,141,37,104,101,4,129
