,0,1,2,3,4,5,6,7,8,9
0,48,4,60,53,64,58,85,21,9,75
1,93,47,31,122,114,35,69,64,34,51
2,103,47,105,125,5,112,122,8,33,118
3,47,56,113,13,90,85,37,28,96,118
4,35,145,143,105,32,29,136,41,139,82
5,99,117,54,148,23,71,112,147,143,1
6,84,125,19,85,88,145,94,138,146,77
7,42,85,105,91,17,60,4,71,129,50
8,9,108,35,0,111,38,93,21,101,6
9,140,147,135,38,2,63,121,109,27,138
10,140,93,117,74,55,148,121,39,28,141
11,63,34,81,9,136,108,14,93,31,3
12,21,29,135,77,45,4,1,76,61,6
13,92,118,52,107,47,136,54,140,117,130
14,97,139,105,20,147,2,99,76,71,91
15,89,148,3,6,142,61,145,29,77,119
16,116,59,85,64,16,145,63,124,68,38
17,35,42,2,5,48,46,102,86,72,81
18,29,45,116,120,13,60,35,32,77,132
19,37,118,111,137,45,70,15,30,55,142
20,4,49,35,33,1,126,66,110,78,8
21,70,51,117,22,102,79,55,127,96,66
22,74,139,71,43,30,37,93,122,109,129
23,85,10,43,40,80,131,140,91,32,119
24,105,36,102,23,136,141,6,42,15,126
25,82,124,103,32,126,51,118,144,23,18
26,101,52,143,31,133,102,115,15,82,24
27,50,7,10,142,15,52,1,34,128,136
28,126,97,138,101,89,140,23,48,119,22
29,147,41,42,127,125,82,11,111,57,48
30,125,89,119,24,87,74,45,127,140,49
31,116,68,30,93,9,137,113,131,37,134
32,118,112,37,34,19,80,91,32,6,111
33,136,65,37,50,66,38,96,91,18,93
34,40,62,113,6,95,57,110,8,67,127
35,112,92,106,132,114,102,74,49,137,105
36,72,82,8,64,48,49,101,68,136,138
37,66,53,123,143,19,115,105,5,104,106
38,100,147,82,133,120,5,115,74,130,79
39,143,48,140,80,4,136,94,18,147,82
40,67,81,142,109,133,64,128,10,18,66
41,119,138,121,45,110,56,24,37,39,68
42,149,99,40,39,54,25,118,17,83,104
43,118,133,122,130,68,2,60,33,96,76
44,140,56,62,44,146,91,69,127,88,29
45,107,44,81,19,72,13,11,52,137,30
46,101,44,25,50,45,126,34,6,112,104
47,66,5,108,15,56,73,111,19,38,123
48,87,141,86,12,2,34,41,66,67,68
49,50,21,104,41,16,92,115,107,98,101
50,110,147,80,96,72,37,6,73,59,71
51,12,46,3,66,49,68,27,76,33,123
52,130,116,117,42,5,31,19,69,75,73
53,128,50,113,97,29,93,124,21,141,111
54,20,27,36,125,1,95,144,117,76,128
55,89,3,30,116,41,86,14,11,40,113
56,96,126,146,145,40,140,101,95,57,33
57,111,124,26,125,3,9,116,131,1,118
58,143,124,141,125,68,100,15,32,62,119
59,87,83,51,124,55,60,142,13,141,12
60,102,139,105,127,18,3,62,31,7,45
61,105,9,136,146,127,25,78,70,68,27
62,43,65,145,49,6,1,117,134,148,11
63,8,141,64,40,80,17,3,107,70,22
64,136,2,0,79,80,102,39,131,67,132
65,96,133,106,54,98,123,104,68,145,63
66,102,25,10,132,129,0,101,137,105,62
67,68,148,106,136,137,75,96,60,105,59
68,137,38,19,101,129,25,126,43,79,98
69,10,107,41,46,82,115,134,141,53,111
70,124,99,21,94,87,60,6,129,133,108
71,30,7,15,54,101,83,141,63,145,11
72,142,117,145,58,54,102,75,81,63,140
73,5,82,35,8,147,73,17,81,7,115
74,71,22,100,77,75,35,2,53,82,109
75,136,31,0,89,29,20,94,147,21,148
76,106,44,112,12,19,73,113,4,74,60
77,67,50,139,109,25,29,71,112,44,63
78,135,144,109,68,84,70,111,105,57,93
79,13,53,45,89,38,142,52,98,144,30
80,104,34,73,60,79,30,54,53,70,39
81,30,17,113,98,42,134,43,80,93,78
82,9,11,33,14,95,49,55,17,52,5
83,144,85,123,118,129,41,48,135,63,21
84,90,104,64,100,26,147,43,2,83,45
85,36,75,95,149,50,5,28,108,143,117
86,109,140,26,78,54,60,43,71,46,0
87,42,91,85,110,49,86,117,68,81,7
88,94,85,102,72,40,11,50,100,111,10
89,52,88,123,79,135,108,8,84,30,58
90,29,37,109,108,112,100,25,74,66,141
91,83,145,90,29,53,105,96,142,47,4
92,87,88,29,136,22,56,26,69,4,39
93,16,147,42,17,59,35,138,26,109,74
94,6,110,107,7,73,98,125,52,135,137
95,32,51,119,9,117,133,142,23,139,148
96,137,56,72,7,132,91,73,55,3,88
97,85,55,58,78,98,71,15,139,119,116
98,9,144,116,119,88,42,130,105,51,22
99,109,95,108,41,56,115,105,124,97,6
