,0,1,2,3,4,5,6,7,8,9
0,106,92,105,123,6,101,81,100,103,17
1,92,2,29,10,49,67,12,28,144,91
2,149,48,29,63,123,80,59,95,84,13
3,11,115,37,111,10,36,31,149,119,61
4,12,144,49,67,53,76,50,29,66,56
5,122,35,145,108,19,8,64,4,46,30
6,121,37,80,26,71,101,49,53,117,6
7,63,147,122,80,15,107,44,116,128,96
8,127,140,130,58,76,15,0,115,83,3
9,84,110,115,29,83,22,98,51,17,75
10,99,43,111,75,19,35,5,94,83,79
11,106,111,16,55,9,122,70,145,118,140
12,45,31,127,67,83,126,124,8,22,15
13,63,1,88,149,39,37,61,114,107,46
14,142,135,100,128,104,58,73,10,57,138
15,45,98,141,6,82,42,25,121,56,66
16,138,66,148,33,47,42,8,140,109,87
17,48,128,56,45,43,82,61,148,57,114
18,112,19,97,82,77,121,113,141,127,37
19,49,109,37,57,124,94,20,65,29,27
20,90,51,143,28,56,146,53,31,91,8
21,18,41,47,55,143,81,21,144,24,87
22,5,120,81,7,83,75,113,8,124,52
23,116,90,60,144,38,113,45,87,55,102
24,73,59,21,36,14,135,42,47,53,19
25,94,136,104,144,117,22,97,58,46,77
26,135,125,134,64,93,63,101,78,116,13
27,20,95,109,63,126,27,100,101,56,84
28,135,53,88,32,27,112,39,61,132,100
29,65,55,136,127,44,107,39,29,145,37
30,76,102,23,62,1,135,28,83,5,33
31,38,112,126,125,2,78,27,25,87,37
32,36,39,119,43,96,133,132,35,76,55
33,75,116,90,20,117,9,83,22,37,93
34,99,14,121,89,72,74,144,96,88,69
35,29,15,117,101,54,148,149,121,16,38
36,93,90,96,97,61,132,84,148,7,81
37,115,24,93,6,84,61,1,106,73,16
38,104,83,103,141,94,107,81,3,4,65
39,65,114,96,53,97,108,17,131,15,11
40,87,108,13,25,6,61,38,41,84,45
41,39,45,17,129,140,72,74,14,113,135
42,98,32,125,84,105,60,71,94,21,87
43,25,112,128,24,125,113,94,82,52,4
44,51,34,147,27,74,80,88,123,145,36
45,13,93,66,91,73,47,14,136,127,23
46,138,130,33,111,104,53,93,12,109,98
47,22,116,61,148,5,115,97,117,93,30
48,17,147,111,141,51,145,110,60,113,73
49,144,68,86,19,46,70,10,45,76,81
50,138,88,26,128,36,91,75,61,146,108
51,62,35,0,45,39,85,38,89,141,30
52,130,139,107,21,46,16,12,3,58,79
53,40,83,64,107,121,109,43,116,145,90
54,134,70,27,8,114,25,142,59,112,68
55,76,96,138,106,111,24,10,109,1,83
56,11,28,137,74,70,120,40,131,42,7
57,139,81,56,40,138,136,54,67,42,121
58,16,23,28,29,40,118,61,57,135,48
59,25,7,39,72,147,29,142,120,43,138
60,76,36,54,47,142,134,90,135,75,15
61,131,10,45,39,6,130,54,82,143,125
62,143,13,117,135,30,119,73,38,91,140
63,89,60,29,144,129,35,26,21,15,140
64,17,21,7,56,123,105,83,142,38,50
65,100,132,80,41,113,49,86,82,26,38
66,72,83,43,114,109,117,62,148,86,7
67,73,99,47,56,13,116,101,45,4,63
68,51,136,18,95,119,86,141,145,70,33
69,123,37,19,138,1,116,89,97,134,45
70,13,22,131,64,141,31,132,140,85,68
71,108,115,66,121,63,42,14,71,101,119
72,32,124,25,21,83,17,33,72,0,109
73,50,77,136,46,69,8,54,82,137,114
74,57,10,143,39,47,58,8,134,117,109
75,93,17,141,13,96,99,59,79,3,137
76,81,110,130,24,108,15,67,118,50,77
77,95,116,56,120,72,97,19,114,5,78
78,69,76,92,96,147,142,74,102,63,132
79,106,139,98,43,19,3,30,29,102,146
80,127,87,105,22,130,121,45,71,131,110
81,75,70,109,67,120,34,62,74,54,149
82,76,97,109,70,65,57,132,14,67,135
83,26,95,139,115,11,149,13,100,27,42
84,69,141,54,125,11,121,143,61,43,120
85,142,122,98,131,137,82,138,124,62,93
86,56,23,36,14,6,45,48,134,18,137
87,91,125,94,46,2,53,122,70,31,79
88,59,105,29,25,116,55,85,89,100,17
89,149,3,45,21,20,136,79,0,48,58
90,34,46,93,105,22,95,106,66,109,35
91,87,47,86,32,96,71,73,149,80,50
92,86,11,16,139,95,141,81,75,129,53
93,26,100,107,47,78,97,125,141,44,115
94,129,20,32,67,123,12,45,63,85,5
95,64,111,102,60,11,18,68,12,40,99
96,60,129,67,101,77,49,39,112,46,90
97,2,45,140,116,52,98,92,15,16,100
98,109,38,92,42,77,132,47,46,70,29
99,23,39,38,0,60,140,43,55,109,19
