,0,1,2,3,4,5,6,7,8,9
0,59,140,74,79,118,18,52,43,60,91
1,23,130,115,113,111,3,43,132,109,42
2,70,46,120,41,110,144,79,71,140,74
3,48,83,51,119,32,3,36,106,28,148
4,15,40,34,77,89,144,33,19,70,12
5,18,35,138,80,20,59,144,53,136,145
6,107,54,39,138,50,5,25,11,113,23
7,8,29,108,16,45,146,23,130,112,55
8,148,89,55,11,33,129,143,138,41,74
9,91,138,27,20,90,61,131,28,149,86
10,48,27,116,95,83,144,21,72,68,102
11,48,88,20,62,123,30,111,32,90,45
12,100,4,136,97,46,132,78,93,72,10
13,135,78,67,43,41,140,107,88,133,137
14,111,46,29,88,63,72,76,47,134,68
15,41,143,38,29,76,142,135,25,66,10
16,116,82,75,55,89,46,52,134,128,108
17,18,121,31,119,22,100,93,94,120,91
18,101,124,106,84,89,87,148,142,92,90
19,10,132,87,25,12,108,19,103,123,139
20,36,63,95,98,72,134,21,77,67,50
21,22,67,89,61,63,84,66,146,95,110
22,143,73,13,14,58,0,74,118,133,86
23,37,30,108,78,45,80,124,123,96,54
24,78,142,12,55,128,95,86,135,41,96
25,8,102,117,136,134,121,63,73,66,98
26,100,63,121,60,127,59,69,73,25,27
27,68,94,80,45,0,1,135,142,74,118
28,100,118,53,144,101,36,106,34,5,30
29,137,68,15,49,113,4,116,9,17,144
30,116,100,5,35,92,12,81,44,10,79
31,139,76,128,127,74,49,33,144,98,137
32,137,40,101,1,100,108,110,52,81,121
33,110,54,96,38,45,134,22,99,146,102
34,115,54,96,92,62,17,76,139,105,98
35,6,97,93,111,120,14,145,49,106,55
36,55,77,136,148,49,119,7,63,9,98
37,131,63,137,121,16,23,13,145,84,80
38,108,8,119,17,133,129,94,66,56,81
39,76,20,137,132,52,89,142,116,120,10
40,103,84,124,122,104,86,54,133,66,108
41,110,28,0,40,15,22,111,134,118,43
42,46,58,85,83,82,143,12,123,119,36
43,12,136,71,76,133,22,41,9,128,134
44,94,122,77,71,100,25,58,13,145,125
45,133,129,41,3,4,38,135,10,127,148
46,36,116,39,65,143,61,26,27,19,92
47,60,79,101,13,11,84,44,30,137,31
48,108,76,140,114,149,113,34,93,112,128
49,69,82,67,60,109,87,138,112,19,70
50,3,145,122,24,78,100,88,65,79,115
51,54,135,112,77,118,7,45,91,129,94
52,117,121,96,109,114,16,93,18,33,10
53,95,147,7,149,93,26,142,39,146,77
54,17,52,72,81,144,119,35,139,34,28
55,114,138,132,115,17,57,73,1,59,144
56,127,14,79,65,63,50,84,49,24,89
57,101,116,3,67,104,110,38,1,46,64
58,133,44,149,101,108,5,66,91,14,72
59,142,54,87,62,136,118,119,94,48,105
60,56,49,137,86,73,18,85,111,37,129
61,46,131,85,109,112,14,1,30,72,71
62,79,129,106,97,59,28,104,119,44,143
63,94,134,13,140,22,18,83,4,129,125
64,60,3,73,141,125,65,12,143,72,127
65,101,99,74,28,0,126,39,62,73,2
66,77,99,33,132,13,67,72,96,146,0
67,48,70,17,105,140,110,51,46,87,109
68,55,101,59,125,6,77,121,115,32,26
69,39,59,136,114,96,133,47,23,110,14
70,19,66,110,50,76,84,79,61,88,105
71,4,23,147,31,115,35,99,121,97,128
72,86,25,51,102,18,75,113,4,17,131
73,17,125,69,97,70,27,54,144,67,109
74,92,122,74,54,19,96,100,10,64,42
75,39,147,35,51,27,149,102,88,3,66
76,42,126,23,40,38,63,66,29,22,139
77,27,21,144,141,80,54,4,85,40,124
78,50,56,28,135,6,39,4,74,11,120
79,92,102,29,125,110,43,40,149,48,45
80,20,87,133,26,62,18,83,21,88,17
81,70,136,19,131,123,122,50,23,104,141
82,105,28,2,143,149,61,78,50,40,70
83,59,10,139,21,5,84,46,28,86,149
84,86,41,71,52,81,12,147,107,46,88
85,115,124,45,0,143,57,16,77,117,95
86,82,32,74,134,15,33,26,109,130,56
87,64,93,101,68,88,18,138,84,140,132
88,62,121,130,83,134,71,26,108,75,103
89,4,66,10,78,77,71,35,75,52,103
90,116,99,120,43,96,56,2,119,148,82
91,90,68,95,52,39,19,91,72,127,100
92,64,126,145,81,49,59,2,44,97,36
