,0,1,2,3,4,5,6,7,8,9
0,22,57,96,43,4,10,71,53,14,134
1,76,13,47,91,149,32,64,113,97,66
2,58,26,32,28,71,51,13,104,146,3
3,107,14,59,58,123,86,121,19,16,110
4,129,135,3,4,44,114,95,84,88,11
5,95,22,80,36,21,147,23,121,79,30
6,146,8,11,73,47,95,37,81,15,62
7,142,102,18,26,45,31,127,135,66,145
8,15,143,40,66,41,31,56,23,21,37
9,131,110,31,6,14,32,111,52,101,24
10,112,87,9,61,133,30,56,99,39,18
11,36,3,131,118,62,31,146,137,72,141
12,1,131,40,61,69,42,67,137,5,138
13,106,9,146,89,22,19,118,50,123,33
14,10,113,101,139,65,40,123,13,134,20
15,137,52,113,112,138,39,118,132,141,42
16,144,52,40,118,73,117,141,131,57,143
17,80,129,22,7,127,44,124,41,145,137
18,61,15,114,83,122,135,86,100,4,56
19,146,125,79,93,4,124,16,49,137,20
20,90,76,46,77,9,4,88,136,133,65
21,23,37,147,137,69,140,145,115,25,48
22,91,3,83,19,109,111,149,18,118,132
23,122,63,56,97,118,26,106,147,82,55
24,42,93,133,76,31,74,45,36,53,24
25,89,57,145,75,85,98,92,34,3,35
26,6,107,27,33,146,60,39,16,17,144
27,149,6,88,1,145,96,103,67,61,54
28,125,86,70,65,38,129,95,102,84,74
29,90,72,121,6,9,135,40,35,81,108
30,86,54,72,128,120,98,55,1,112,90
31,55,33,101,82,45,51,6,41,147,106
32,8,142,7,84,128,68,79,20,115,58
33,92,66,120,20,40,77,5,87,14,37
34,2,24,106,141,68,114,50,88,96,39
35,67,75,38,25,12,7,17,148,29,78
36,2,107,147,130,7,21,68,56,102,133
37,93,54,73,31,61,105,29,3,48,14
38,71,78,140,139,53,117,5,127,32,17
39,146,63,18,58,62,33,80,27,4,116
40,97,142,85,47,120,31,119,121,131,108
41,60,76,54,69,29,148,53,126,15,46
42,67,85,6,126,140,37,136,111,141,60
43,92,104,113,130,90,10,134,35,126,56
44,52,73,137,20,13,27,15,11,19,46
45,48,87,103,32,26,76,29,72,56,61
46,149,19,123,25,94,24,6,27,130,77
47,56,93,83,109,87,105,84,12,42,90
48,26,9,99,28,64,11,7,122,56,57
49,93,76,65,30,116,139,110,134,108,144
50,113,143,144,92,66,64,101,68,53,99
51,77,50,32,34,69,136,41,84,33,6
52,110,4,56,8,69,125,80,85,28,43
53,22,37,108,106,123,90,30,104,119,24
54,11,91,113,71,32,103,46,43,50,24
55,94,121,66,15,139,37,126,12,30,69
56,70,138,28,14,134,147,31,34,79,25
57,103,145,141,109,94,112,100,92,138,131
58,60,40,22,80,62,133,99,39,83,79
59,18,25,146,47,128,24,0,41,63,121
60,59,117,121,109,97,9,72,80,104,133
61,101,35,78,147,130,70,96,8,50,138
62,30,53,0,25,122,62,36,16,103,119
63,31,142,89,72,102,105,90,1,134,131
64,58,36,19,146,59,126,45,43,129,31
65,102,38,13,115,114,1,17,61,91,116
66,79,68,88,23,121,110,112,34,47,103
67,16,52,136,137,141,76,135,72,96,65
68,67,142,4,34,95,36,116,82,13,144
69,68,64,132,140,61,143,25,110,6,113
70,120,40,78,39,84,139,131,106,111,136
71,101,140,32,58,4,56,33,95,51,54
72,135,25,132,31,47,24,38,92,121,22
73,133,93,0,111,5,30,90,115,29,6
74,90,104,78,87,120,6,27,103,23,45
75,92,67,2,7,20,71,97,133,111,105
76,49,137,83,67,18,28,34,90,112,109
77,9,15,33,0,82,119,67,69,57,74
