,0,1,2,3,4,5,6,7,8,9
0,56,16,87,134,136,83,59,45,128,81
1,33,75,103,139,37,64,43,76,124,74
2,124,48,132,58,18,84,51,94,93,7
3,43,11,104,36,142,81,93,113,58,41
4,140,35,38,99,85,129,84,107,134,16
5,146,117,34,7,80,125,33,27,43,75
6,70,40,12,143,104,138,119,103,144,127
7,83,11,115,106,44,40,146,64,143,54
8,14,124,110,44,118,54,87,88,22,63
9,136,142,115,63,105,126,98,81,104,130
10,122,1,70,17,66,4,93,23,103,43
11,88,50,15,87,141,53,10,46,2,97
12,107,129,48,29,106,92,77,125,66,56
13,80,146,19,147,49,71,95,3,6,21
14,86,67,22,105,142,136,137,6,39,56
15,74,146,21,11,118,65,122,142,41,20
16,0,124,3,86,11,49,98,10,85,105
17,149,123,50,46,87,44,27,34,90,55
18,10,91,1,92,19,111,40,7,94,121
19,141,143,17,125,135,24,59,10,51,87
20,72,6,36,11,82,22,126,63,15,32
21,16,131,32,39,15,81,31,11,24,85
22,33,89,137,28,5,57,56,103,129,8
23,51,106,30,75,48,35,12,104,99,113
24,45,126,38,108,132,11,78,8,124,141
25,100,20,143,148,33,34,59,68,90,149
26,30,75,83,14,42,53,73,91,149,126
27,72,2,36,141,143,121,82,26,87,5
28,32,4,65,63,41,82,141,13,99,30
29,69,28,132,79,118,99,109,2,113,100
30,37,83,149,65,55,51,32,50,76,52
31,79,41,73,145,55,91,127,134,2,85
32,145,137,115,110,85,124,127,94,76,19
33,144,56,52,53,54,84,118,0,108,98
34,31,19,21,64,28,58,6,59,62,46
35,89,11,47,42,147,44,144,63,36,53
36,54,62,131,116,126,63,31,139,132,13
37,34,86,56,135,139,123,98,40,108,24
38,12,102,10,93,16,19,138,113,1,106
39,97,35,32,27,100,123,72,29,65,21
40,88,4,22,65,57,32,145,58,62,55
41,115,60,149,113,130,100,59,26,21,110
42,113,91,109,51,58,36,35,64,15,93
43,141,90,121,109,76,124,123,101,49,79
44,109,47,82,57,84,127,92,132,20,7
45,49,77,6,92,13,10,41,36,2,40
46,107,50,38,145,70,55,66,97,39,136
47,61,69,2,139,138,75,38,107,120,111
48,51,117,111,45,78,42,19,98,20,121
49,5,97,14,57,33,98,23,47,48,59
50,73,139,137,71,88,47,125,18,140,50
51,50,95,20,84,115,76,131,146,109,96
52,6,78,68,15,110,122,111,35,132,71
53,15,88,110,47,64,23,46,55,32,37
54,112,85,73,38,23,110,30,92,79,50
55,57,44,70,66,39,71,141,10,69,138
56,57,105,10,38,5,31,12,67,88,115
57,80,42,98,96,49,102,17,50,41,129
58,63,107,17,54,1,149,64,99,123,93
59,54,106,148,146,48,96,129,78,81,86
60,148,62,140,74,100,116,60,42,34,139
61,5,10,78,99,139,43,21,129,45,81
62,81,98,147,3,125,43,7,41,42,61
63,145,20,50,64,24,71,34,107,137,124
64,85,136,22,76,60,35,126,140,23,142
65,87,113,28,9,18,51,66,95,8,122
66,140,46,110,93,74,11,47,105,60,51
67,87,147,59,136,86,95,2,3,117,70
68,19,92,108,60,52,3,99,59,139,44
69,123,24,3,10,79,13,44,41,143,11
70,107,94,134,74,66,84,80,133,72,35
71,124,79,80,99,29,61,7,55,19,98
72,0,146,80,45,24,82,18,62,130,110
73,76,108,43,85,39,124,143,148,92,3
74,140,1,37,107,28,14,66,8,143,20
75,23,104,109,92,36,116,125,52,115,147
76,43,123,149,56,92,18,117,65,87,13
77,95,38,103,10,71,27,1,57,16,86
78,25,0,104,2,9,72,43,40,147,88
79,22,101,145,26,32,104,135,122,74,16
80,23,59,28,67,125,11,71,83,120,19
81,81,95,85,123,20,1,135,70,94,57
82,125,32,46,106,45,87,58,42,19,40
83,106,35,4,104,6,45,11,61,73,24
84,101,132,1,123,69,25,9,72,58,111
85,130,122,149,20,37,33,90,125,23,101
86,85,116,13,60,128,53,0,112,31,145
87,71,102,131,89,132,128,11,91,139,125
88,113,28,70,145,133,1,48,138,38,147
89,83,121,28,85,30,99,89,120,70,64
90,41,130,111,114,49,8,93,147,1,64
91,56,138,2,1,43,140,27,51,135,75
92,139,17,78,119,58,42,48,133,107,63
93,69,93,89,107,110,87,139,90,65,80
94,144,66,40,11,140,128,102,96,47,8
95,49,106,96,83,147,108,31,23,119,35
96,144,60,10,116,84,27,140,66,120,57
97,76,5,117,15,77,110,120,142,32,80
98,28,83,107,144,111,140,139,8,1,53
99,101,33,112,35,16,97,102,79,147,107
100,75,103,56,101,47,65,81,148,94,30
101,7,108,86,146,5,114,46,27,30,63
102,138,83,97,135,141,48,88,102,52,120
103,109,145,36,122,23,115,13,88,127,42
104,120,134,136,130,92,29,119,87,127,123
105,94,141,90,62,126,61,93,50,22,144
106,24,129,63,84,108,68,75,134,85,62
107,86,116,25,127,115,110,88,45,76,33
108,27,37,101,120,22,73,3,2,76,123
109,25,137,30,54,83,10,112,106,19,51
110,147,26,45,89,39,31,33,50,1,119
111,0,144,28,109,94,56,129,113,138,139
112,124,40,74,83,27,4,73,136,95,114
113,39,91,100,55,125,27,104,44,38,138
114,116,17,8,113,41,66,10,63,61,14
115,79,34,132,64,51,104,33,13,130,44
116,19,76,139,77,29,63,56,25,49,92
117,65,1,10,145,141,42,45,28,0,4
118,74,41,142,141,83,62,32,127,92,98
119,12,45,88,147,46,67,141,120,135,90
120,67,6,17,22,137,98,70,7,20,51
121,145,16,58,95,74,31,115,42,100,90
122,89,65,9,55,39,138,128,54,76,83
123,64,108,50,0,76,19,4,70,3,101
124,25,88,104,116,109,3,58,20,128,59
125,129,139,54,46,36,130,2,143,140,121
126,26,58,70,92,13,111,124,40,120,84
127,76,19,58,55,108,114,81,40,24,103
128,99,133,101,63,11,24,79,77,6,38
129,84,74,65,1,23,33,30,90,56,10
130,75,45,53,6,66,89,47,133,65,13
131,31,128,91,77,69,93,15,130,72,124
132,65,6,27,21,63,90,94,88,25,54
133,25,133,54,61,62,41,103,63,141,131
134,64,52,28,149,113,126,65,103,129,100
135,135,96,34,119,6,100,128,111,2,143
136,4,31,75,112,12,21,72,122,148,43
137,15,102,125,140,73,75,116,127,26,35
138,103,80,144,114,147,23,44,59,12,94
139,36,43,136,112,142,146,130,33,102,137
140,127,66,129,102,61,144,123,80,7,33
141,35,57,126,142,1,44,48,62,82,10
142,37,55,15,132,38,44,51,99,121,65
143,136,113,98,58,41,79,114,1,120,82
144,88,71,67,120,123,61,106,36,146,23
145,39,111,52,143,128,14,147,65,60,20
146,135,148,38,67,115,79,129,61,37,24
147,5,115,103,54,86,50,53,42,33,15
148,70,149,77,131,102,103,117,39,23,71
149,51,43,80,78,18,67,104,113,91,135
150,126,64,47,71,54,88,92,140,5,143
151,20,44,98,13,106,53,18,93,124,41
152,103,71,14,9,18,8,36,145,111,117
153,83,60,110,107,122,132,98,123,38,131
154,141,142,131,105,146,123,13,25,58,121
155,68,118,124,40,138,149,32,13,58,43
156,91,23,17,133,37,61,14,122,4,64
157,13,96,134,99,58,51,125,43,7,4
158,19,24,114,95,138,52,99,69,70,142
159,149,112,88,143,123,74,43,100,49,64
160,108,117,27,109,81,12,120,75,61,140
161,118,137,50,82,71,86,121,42,85,17
162,49,83,33,42,86,6,118,147,119,41
163,132,127,38,115,64,142,45,51,52,126
164,140,141,119,73,114,124,135,32,1,36
165,101,8,31,36,129,128,53,34,5,90
166,93,116,142,92,105,118,135,139,101,74
167,93,99,118,5,71,58,7,92,78,127
168,103,133,75,116,107,125,126,128,16,137
169,122,34,54,59,60,113,80,144,6,133
170,10,55,139,13,69,57,84,2,66,7
171,18,86,71,39,145,14,126,99,52,90
172,115,145,52,73,65,109,29,123,108,42
173,141,91,12,97,59,8,15,80,84,76
174,49,32,47,1,60,104,87,125,135,101
175,147,29,143,73,135,72,30,129,142,56
176,16,32,120,117,139,83,7,106,66,109
177,20,138,93,13,79,70,89,58,106,66
178,76,113,120,112,126,139,44,116,84,22
179,44,47,7,66,107,9,130,5,29,25
180,61,14,72,85,4,92,126,31,86,141
181,125,37,143,68,88,70,10,109,29,129
182,14,131,26,17,119,30,45,124,16,72
183,120,62,136,84,37,0,32,59,49,145
184,15,22,32,92,132,25,145,107,21,50
185,120,139,121,119,38,94,23,113,57,79
186,20,144,58,16,36,83,19,101,50,49
187,40,140,97,28,54,136,109,145,37,78
188,30,67,85,9,50,41,139,120,10,13
189,97,148,134,43,109,22,36,127,29,129
190,124,19,86,37,145,49,126,78,149,112
191,84,120,129,105,103,27,6,106,107,14
192,66,93,94,77,9,14,0,82,52,32
193,109,116,54,120,84,55,10,101,79,107
194,78,20,94,8,71,114,149,131,108,111
195,19,107,136,30,110,34,135,46,72,89
196,14,87,147,63,75,86,15,40,34,42
197,101,133,91,67,114,59,33,120,34,29
198,146,71,18,117,102,124,35,81,120,83
199,63,68,7,12,43,132,1,38,51,19
200,72,138,124,19,98,55,97,94,52,147
201,66,8,148,101,45,99,42,137,128,77
202,106,117,61,76,5,71,69,78,63,7
203,107,40,133,99,43,123,75,130,106,39
204,101,7,6,90,20,22,65,114,74,43
205,14,15,32,47,51,128,43,113,102,86
206,109,29,101,41,24,25,45,124,139,8
207,62,98,4,1,100,53,99,68,8,72
208,124,76,126,25,19,123,27,57,129,85
209,125,30,123,97,139,55,62,113,31,42
210,108,60,145,42,28,110,56,113,79,18
211,33,130,62,11,56,70,111,7,67,89
212,11,74,114,129,87,144,120,80,26,145
213,106,100,31,55,25,127,64,98,140,133
214,100,18,66,92,72,93,128,114,40,11
215,37,88,59,93,19,96,13,97,84,83
216,132,91,12,54,85,52,64,66,118,29
217,94,95,123,143,142,80,127,120,57,125
218,25,66,76,131,8,48,56,107,10,6
219,111,114,73,119,64,72,49,141,11,90
220,52,136,145,74,106,31,70,2,141,69
221,97,43,6,125,119,104,98,143,86,120
222,140,28,100,38,109,123,78,4,35,103
223,84,53,102,103,143,107,110,90,140,30
224,51,149,9,46,136,99,82,73,80,69
225,129,37,84,5,134,56,75,73,145,131
226,92,59,93,143,4,74,146,55,113,134
227,31,45,108,19,10,21,148,125,139,81
228,49,10,136,144,95,26,20,31,30,141
229,97,106,126,25,98,91,101,125,77,40
230,123,108,145,131,94,96,12,38,138,124
231,71,2,125,144,103,43,21,30,75,54
232,19,25,78,109,77,67,141,32,111,126
233,87,56,81,14,8,107,106,75,2,55
234,23,0,105,71,135,49,60,126,128,21
235,100,64,42,105,46,101,13,23,119,144
236,34,51,142,79,118,66,67,14,61,77
237,95,60,63,21,48,28,13,135,87,115
238,14,91,84,7,6,137,16,94,79,56
239,51,1,65,14,3,7,120,129,77,41
240,33,52,93,144,60,56,51,92,61,115
241,26,100,25,69,99,125,78,102,12,89
242,149,84,56,48,93,29,40,9,67,139
243,98,113,77,118,52,47,7,34,22,74
244,132,26,72,64,20,47,12,114,148,69
245,119,97,77,107,90,27,16,142,114,51
246,92,16,33,24,130,126,115,61,85,84
247,144,26,12,94,136,131,63,40,75,130
248,54,63,87,114,127,43,47,19,91,143
249,135,118,75,95,38,120,33,46,34,30
250,72,25,133,93,26,63,13,126,131,88
251,147,54,83,14,26,21,80,60,38,78
252,91,85,99,33,18,100,30,95,124,72
253,37,19,31,35,58,49,144,84,63,73
254,41,95,55,124,119,101,44,122,91,139
255,27,147,45,33,90,119,16,86,55,114
256,84,12,115,53,147,76,69,43,137,118
257,59,63,149,47,124,45,91,102,132,15
258,116,136,76,60,104,19,101,58,13,120
259,8,131,68,18,116,72,113,142,100,48
260,113,99,97,81,40,45,21,148,35,12
261,42,2,0,101,132,61,95,56,110,137
262,104,61,15,26,18,11,5,53,135,35
263,8,105,73,9,29,19,117,12,139,143
264,65,51,145,105,24,67,95,40,75,141
265,51,24,145,32,11,74,147,72,102,90
266,69,66,62,127,85,57,1,22,40,140
267,100,139,82,116,140,112,146,124,30,103
268,55,49,123,130,89,132,12,136,102,104
269,63,122,1,49,148,53,37,109,38,106
270,117,124,98,123,33,102,71,10,13,135
271,61,35,32,128,148,95,106,33,60,130
272,100,140,92,51,8,108,118,124,137,84
273,117,104,127,146,125,110,36,30,29,20
274,126,91,65,93,57,123,23,49,120,90
275,86,16,122,68,118,29,42,57,11,137
276,12,53,64,121,85,134,84,49,20,72
277,66,48,145,70,33,12,27,52,3,79
278,13,5,19,82,129,78,10,24,18,99
279,139,49,93,63,120,90,34,107,4,148
280,19,114,28,20,139,94,71,7,68,141
281,115,143,87,123,96,32,76,145,69,112
282,88,149,96,45,52,76,87,9,3,6
283,110,15,148,35,43,57,88,10,127,67
284,114,2,103,106,94,109,134,64,60,81
285,101,77,62,100,20,67,129,96,136,28
286,44,61,16,105,80,73,143,124,45,142
287,139,116,8,92,46,65,93,141,29,78
288,104,58,129,17,67,133,47,46,64,11
289,1,99,137,113,121,20,74,80,118,90
290,103,19,91,65,149,20,33,132,55,64
291,109,107,124,1,67,80,115,127,140,3
292,134,140,70,8,73,120,9,80,19,77
293,66,105,115,135,28,116,76,4,50,44
294,97,67,87,127,133,26,74,19,1,47
295,43,84,66,117,127,118,17,112,142,2
296,149,41,82,26,123,111,23,127,118,125
297,105,145,109,78,39,123,115,140,35,23
298,122,137,37,35,4,7,52,134,123,119
299,106,82,133,0,74,16,110,47,131,85
300,9,26,38,17,124,42,83,30,25,82
301,115,48,110,64,126,87,128,51,42,94
302,149,63,99,107,57,93,54,78,73,61
303,13,122,61,96,9,91,45,36,132,34
304,50,33,79,18,115,122,17,84,91,67
305,117,48,54,91,96,38,70,110,45,37
306,6,138,52,32,110,117,97,104,103,87
307,46,132,113,53,4,122,74,35,90,49
308,106,99,38,97,55,122,36,0,6,24
309,96,119,67,117,127,134,86,132,25,19
310,17,34,106,139,35,7,73,78,133,90
311,11,36,0,78,6,52,4,59,37,144
312,105,147,35,64,59,126,112,74,66,28
313,91,123,89,121,112,11,131,120,72,28
314,4,121,120,42,75,5,112,89,45,59
315,24,107,135,143,26,13,100,33,92,28
316,140,32,17,33,131,26,57,148,125,119
317,52,133,114,58,101,63,45,122,81,83
318,89,71,67,30,59,129,55,32,44,43
319,33,148,124,89,47,70,92,56,94,4
320,86,25,19,65,2,82,16,96,13,133
321,112,30,119,135,84,101,130,93,28,62
322,106,143,46,77,26,142,11,9,19,108
323,54,112,27,42,55,124,48,74,0,141
324,69,97,88,106,137,24,26,70,83,110
325,58,32,5,95,62,41,144,69,124,132
326,65,29,47,17,21,14,97,44,140,59
327,88,41,38,92,137,39,131,138,77,134
328,47,88,91,44,37,61,123,35,57,4
329,20,56,137,114,123,111,55,99,94,136
330,95,78,138,117,101,47,139,6,107,102
331,122,11,54,124,8,15,115,83,6,90
332,17,41,67,36,119,11,4,89,9,48
333,17,92,39,25,117,21,43,101,133,113
334,87,146,76,85,107,9,17,0,149,138
335,55,73,19,74,14,94,56,107,35,103
336,54,114,7,90,105,65,17,44,37,66
337,38,37,73,17,21,107,141,5,70,106
338,115,105,39,67,98,44,35,64,63,127
339,71,41,91,29,108,105,100,145,76,128
340,31,3,119,145,25,104,12,121,86,58
341,58,9,65,43,47,37,126,64,92,23
342,14,27,98,52,101,94,79,111,28,96
343,129,137,94,76,98,131,35,105,67,106
344,102,104,23,124,71,74,29,145,76,82
345,93,107,146,80,44,55,56,78,96,124
346,65,20,49,61,102,86,25,135,41,69
347,74,102,50,62,133,91,146,58,68,6
348,148,79,49,92,118,138,1,55,143,140
349,23,91,70,25,128,33,139,82,73,26
350,63,15,87,79,105,106,7,136,11,103
351,71,128,39,18,93,25,1,62,131,20
352,52,6,0,77,21,72,81,12,108,138
353,46,116,70,77,14,51,39,104,45,63
354,68,60,121,130,113,33,102,5,145,148
355,1,139,28,147,97,30,10,118,79,33
356,59,120,68,90,121,97,40,55,119,63
357,144,32,65,72,105,31,76,128,104,137
358,2,23,68,122,78,83,92,148,144,109
359,75,12,91,136,74,115,133,60,32,121
360,64,51,34,12,78,79,95,88,15,139
361,33,45,130,84,123,73,74,53,24,139
362,37,149,126,22,116,6,93,68,13,81
363,120,34,107,100,22,2,125,73,111,82
364,75,108,84,145,71,27,40,88,12,11
365,142,74,9,149,98,121,68,56,83,0
366,34,140,85,27,20,39,128,79,129,119
367,30,85,148,110,133,128,37,38,70,146
368,113,21,54,144,77,143,81,59,133,107
369,28,73,52,92,109,78,145,64,61,136
370,106,117,47,120,130,125,28,53,7,39
371,106,142,65,36,22,101,149,51,45,118
372,22,66,78,87,35,70,23,11,102,49
373,70,41,81,36,88,69,126,93,102,22
374,93,74,45,71,143,18,125,31,88,75
375,109,23,130,80,115,71,38,83,45,32
376,22,69,83,43,143,29,34,31,10,56
377,25,92,82,51,122,137,68,141,113,89
378,88,38,142,96,145,91,44,107,108,143
379,20,66,144,76,45,67,96,125,74,28
380,146,101,114,47,9,82,50,15,120,43
381,126,71,53,105,31,7,22,47,114,3
382,47,1,27,147,43,78,72,113,8,148
383,134,138,17,74,57,28,23,94,10,119
384,46,22,48,50,74,3,112,81,8,61
385,136,61,107,113,64,11,102,34,125,84
386,131,34,32,71,55,99,93,89,125,72
387,104,133,140,126,3,59,28,53,65,123
388,14,81,28,117,24,108,69,134,61,44
389,60,25,33,124,113,143,83,107,61,129
390,41,60,52,96,15,46,16,31,83,38
391,96,8,126,77,109,4,34,94,3,124
392,71,123,6,39,125,28,132,69,127,97
393,134,141,109,116,138,53,72,46,82,6
394,72,92,18,37,3,61,78,36,24,16
395,142,34,116,140,55,74,138,56,65,47
396,76,11,12,4,106,132,41,15,82,10
397,84,112,38,81,106,74,147,125,41,65
398,83,140,87,126,147,74,11,124,84,109
399,40,67,132,64,131,54,32,0,55,31
400,92,72,83,139,115,71,54,14,79,114
401,50,65,114,116,98,23,2,70,134,71
402,48,80,97,19,90,144,137,51,21,9
403,61,45,141,118,103,18,92,67,78,7
404,22,65,40,43,81,141,35,15,129,73
405,133,25,42,132,54,41,39,2,145,149
406,141,3,128,14,63,16,97,89,122,119
407,102,137,16,56,99,66,57,149,4,129
408,88,4,131,55,89,58,28,2,79,83
409,95,25,40,144,88,66,52,108,9,58
410,132,80,90,40,58,59,6,110,74,9
411,124,136,148,25,103,10,14,6,40,68
412,137,58,48,4,51,90,3,18,54,127
413,14,149,123,9,61,68,95,125,100,71
414,80,141,136,67,144,15,42,113,149,0
415,16,139,26,135,128,148,69,95,22,18
416,91,113,80,74,26,31,2,137,17,93
417,132,139,145,46,39,24,124,56,2,138
418,68,145,130,125,142,109,97,70,85,43
419,125,63,50,53,62,120,48,59,22,1
