,0,1,2,3,4,5,6,7,8,9
0,8,36,87,22,101,51,38,105,84,20
1,149,3,17,100,69,116,96,29,25,50
2,100,23,37,131,49,106,105,107,133,138
3,122,75,47,93,67,22,32,13,86,28
4,148,49,82,12,117,123,6,25,89,105
5,75,10,81,33,68,1,54,17,71,134
6,69,12,92,137,78,39,71,147,10,27
7,136,47,132,45,56,147,34,82,57,97
8,72,104,70,13,42,10,0,136,140,20
9,117,135,149,98,93,82,13,55,62,87
10,79,84,106,30,105,13,51,4,104,145
11,49,68,22,82,97,137,144,66,52,12
12,86,88,111,118,77,114,41,27,146,137
13,19,28,140,84,31,21,7,47,94,44
14,22,49,95,103,124,1,3,86,76,75
15,129,77,4,6,54,148,144,41,29,108
16,135,39,138,110,102,10,130,65,38,12
17,122,28,100,147,103,99,104,135,3,128
18,75,84,74,3,143,80,49,134,27,54
19,56,102,94,30,110,5,71,27,9,45
20,118,60,47,20,73,92,71,84,146,114
21,123,117,147,53,66,86,61,7,4,2
22,53,126,81,69,148,57,16,92,36,106
23,53,60,1,33,36,13,94,83,23,147
24,70,78,67,108,8,93,35,148,62,110
25,55,126,112,65,125,64,73,29,42,118
26,67,58,23,108,83,121,96,53,133,35
27,103,87,71,37,44,43,133,101,13,109
28,5,116,60,147,24,82,138,107,8,56
29,48,109,106,125,89,90,26,5,19,3
30,145,133,72,42,82,5,143,113,34,41
31,118,119,23,140,3,31,128,103,129,65
32,117,78,77,22,57,106,141,72,0,64
33,126,61,48,39,22,117,143,108,26,18
34,61,74,31,10,37,109,143,45,51,56
35,109,125,101,9,142,43,98,30,126,51
36,52,121,128,117,70,72,132,15,109,81
37,55,80,95,32,34,90,38,136,129,88
38,61,107,90,124,34,78,2,105,79,10
39,44,90,53,30,6,115,110,24,85,129
40,69,83,72,65,70,82,14,11,63,78
41,126,149,119,1,22,21,121,35,125,44
42,54,84,72,45,76,90,9,24,61,37
43,8,140,44,52,69,121,120,17,139,67
44,58,126,149,142,22,102,24,127,74,14
45,47,17,36,62,141,76,105,125,99,86
46,39,129,82,149,91,30,122,10,83,60
47,10,73,18,133,44,106,90,35,42,80
48,93,135,31,41,52,120,5,83,84,139
49,34,29,136,91,81,78,100,119,143,74
50,149,11,24,103,131,84,111,110,74,83
51,70,94,102,89,68,52,140,67,111,132
52,127,85,70,47,82,55,58,51,97,137
53,24,41,136,59,77,6,126,129,94,87
54,10,130,135,47,71,18,27,8,1,32
55,63,143,131,7,138,14,4,87,108,31
56,144,25,1,6,104,14,24,39,35,42
57,137,40,25,131,81,63,65,77,0,143
58,46,126,19,76,0,108,94,114,63,11
59,65,71,60,128,76,135,24,120,70,8
60,87,63,72,67,135,30,53,110,24,3
61,127,145,134,63,94,99,118,29,36,141
62,64,59,77,65,102,87,149,50,38,133
63,146,43,75,112,48,142,58,74,21,86
64,109,87,72,73,34,52,91,14,97,10
65,147,41,117,132,93,125,52,49,120,102
66,105,140,21,25,58,128,26,24,137,34
67,90,42,73,133,138,85,112,127,113,17
68,42,93,67,130,109,29,17,106,13,70
69,5,109,25,39,92,60,61,80,91,10
70,0,7,88,110,17,111,32,63,81,15
71,148,52,91,89,40,22,79,114,16,75
72,43,28,143,115,102,113,80,148,39,6
73,55,101,9,2,120,63,19,52,107,115
74,74,79,139,32,27,111,12,20,63,144
75,78,13,137,5,68,114,142,131,98,118
76,22,2,109,112,133,37,102,146,141,31
77,48,95,78,12,133,51,20,92,3,59
78,142,89,58,113,91,17,144,4,127,56
79,40,25,67,22,137,4,111,52,41,73
80,119,49,87,51,26,7,139,3,102,100
81,35,91,14,86,30,145,98,111,104,122
82,24,82,34,125,30,71,51,69,118,25
83,138,0,47,21,37,23,58,131,9,63
84,122,104,133,67,68,26,83,89,84,32
85,3,37,53,114,27,23,129,124,99,84
86,66,24,125,90,37,79,147,2,74,123
87,108,53,85,56,134,146,135,92,140,83
88,91,71,144,145,105,55,125,130,128,127
89,67,123,100,120,55,44,138,39,108,78
90,61,7,138,62,80,74,36,115,0,29
91,127,99,92,39,148,110,0,140,86,123
92,144,94,5,105,106,17,15,93,123,87
93,2,132,92,103,44,80,85,52,14,11
94,68,7,40,21,10,102,30,26,12,3
95,17,107,117,82,128,91,55,118,102,35
96,137,101,47,71,50,53,2,1,16,103
97,45,27,48,50,47,32,0,99,44,4
98,23,88,64,26,137,67,141,58,106,42
99,55,146,75,12,25,27,133,96,50,124
100,96,48,69,43,100,76,25,92,1,56
101,76,31,13,118,95,15,138,49,126,11
102,49,75,96,88,17,39,34,70,112,60
103,73,65,34,133,74,123,7,75,43,109
104,112,101,44,118,0,2,27,77,35,31
105,129,70,69,6,112,76,17,110,51,49
106,120,14,105,65,76,90,68,63,27,86
107,22,114,41,96,91,140,99,47,146,74
108,6,41,115,82,85,118,113,84,127,64
109,41,1,83,109,99,9,0,71,102,75
110,17,26,87,27,41,65,0,53,71,117
111,88,21,143,1,140,93,102,68,149,141
112,118,124,18,52,116,100,119,41,127,113
113,127,110,31,39,134,32,115,38,93,114
114,56,110,37,120,34,22,26,82,118,41
115,109,59,38,148,106,84,63,120,43,145
116,11,105,66,18,111,6,32,140,54,59
117,111,41,16,5,27,146,63,50,126,59
118,20,136,89,22,1,143,105,8,78,52
119,138,101,115,109,1,13,46,75,103,37
120,56,86,11,48,107,8,130,34,71,35
121,19,25,9,50,17,114,147,35,86,14
122,70,66,41,131,63,21,54,143,149,30
123,137,2,32,129,15,19,138,43,8,124
124,76,128,143,104,100,135,117,111,71,42
125,113,143,53,130,83,1,111,6,11,102
126,21,73,141,79,34,128,52,100,146,46
127,46,36,120,56,73,10,104,86,139,74
128,20,7,82,42,48,64,80,55,17,50
129,91,148,69,135,28,56,31,89,137,50
130,46,147,51,89,40,9,37,72,78,122
131,53,103,94,46,16,101,1,4,107,109
132,107,86,138,4,137,147,91,77,24,43
133,144,84,27,0,123,72,70,62,120,21
134,117,60,77,68,112,27,53,146,5,113
135,40,48,73,32,143,99,23,47,6,141
136,115,86,127,65,16,145,99,33,31,123
137,81,24,69,32,41,142,65,79,122,56
138,98,66,72,147,30,12,7,54,74,132
139,106,129,60,65,68,123,67,62,69,11
140,45,23,51,18,91,84,16,146,22,110
141,139,86,116,43,4,77,107,14,118,73
142,9,89,83,57,53,23,31,75,72,36
143,65,25,81,86,131,114,40,6,43,19
144,4,31,97,72,139,137,2,34,20,96
145,128,142,47,111,141,87,62,25,135,64
146,70,88,103,62,36,53,10,55,49,78
147,118,24,64,106,112,76,49,25,4,8
148,13,59,85,21,35,37,98,27,24,137
149,32,124,90,110,133,1,122,53,33,56
150,27,116,107,45,24,36,108,144,28,6
