,0,1,2,3,4,5,6,7,8,9
0,143,95,30,10,113,54,1,76,75,78
1,6,64,83,137,38,124,119,96,86,54
2,0,50,13,136,99,26,30,86,60,107
3,32,120,22,13,102,122,134,79,39,24
4,3,12,49,142,137,149,26,67,102,93
5,11,149,1,90,43,130,21,17,123,98
6,127,129,77,104,139,6,51,89,44,137
7,3,84,6,95,48,127,128,149,141,40
8,112,62,132,94,26,43,51,16,111,106
9,128,113,101,86,51,38,0,37,88,29
10,102,82,147,83,21,65,7,103,128,118
11,36,40,127,140,32,58,147,9,18,121
12,83,44,123,7,140,103,50,96,36,97
13,48,139,77,30,66,60,129,88,1,74
14,23,136,103,19,125,84,49,64,24,115
15,101,147,56,85,143,43,149,25,60,9
16,103,22,96,77,10,26,78,30,149,65
17,53,146,67,101,55,33,5,69,79,108
18,80,56,83,1,34,134,137,131,63,11
19,3,91,141,87,26,49,148,103,134,109
20,59,111,85,16,8,82,26,72,124,148
21,81,76,42,95,122,55,90,36,64,16
22,83,142,106,24,134,7,50,11,2,138
23,6,54,45,68,9,149,115,74,87,65
24,100,87,8,70,47,17,60,80,123,58
25,113,26,112,146,94,149,124,80,54,147
26,49,11,62,78,15,129,30,46,135,86
27,141,132,123,19,39,73,83,79,84,106
28,118,58,141,27,48,137,69,135,147,115
29,94,48,32,139,18,105,144,44,35,36
30,121,27,3,65,101,74,54,70,92,66
31,118,66,71,30,139,53,58,131,74,92
32,122,128,90,94,43,115,93,68,18,97
33,91,20,67,46,78,133,36,25,75,147
34,85,84,37,130,135,92,91,24,140,46
35,14,33,100,38,134,71,94,41,42,99
36,0,12,88,112,126,83,21,147,46,134
37,132,4,6,46,36,49,102,23,135,41
38,35,101,85,21,73,41,37,80,107,6
39,14,124,37,31,86,11,21,89,99,70
40,140,2,44,143,72,144,123,35,107,5
41,124,3,70,148,99,137,117,40,109,130
42,104,38,2,8,102,120,142,50,16,83
43,3,79,78,31,24,10,61,91,29,45
44,73,4,60,41,97,149,33,79,81,110
45,127,40,111,32,115,28,24,27,93,88
46,139,1,81,31,13,149,4,35,37,58
47,110,26,122,14,40,137,145,121,70,6
48,36,60,53,34,88,14,77,94,9,110
49,77,56,13,134,133,93,3,120,78,144
50,56,35,12,103,4,126,64,148,100,111
51,54,108,58,59,17,98,110,69,61,66
52,28,3,12,47,33,111,74,136,149,97
53,47,115,1,146,82,111,135,93,24,30
54,74,3,121,81,37,85,44,131,2,90
55,77,31,47,56,144,79,83,2,138,143
56,96,101,30,98,90,94,27,139,142,29
57,5,111,49,2,101,48,131,119,4,65
58,54,27,131,108,74,98,111,44,104,41
59,28,135,26,139,13,31,110,76,125,23
60,2,7,101,90,18,73,143,8,14,79
61,149,99,58,76,27,106,144,53,5,1
62,72,15,116,125,93,70,43,112,10,38
63,99,53,110,52,149,66,137,73,122,94
64,85,33,17,14,42,61,49,47,8,132
65,120,61,29,52,144,98,26,69,99,124
66,136,31,104,95,147,102,146,144,91,119
67,91,149,5,139,116,115,67,56,62,68
68,105,120,22,139,80,53,38,101,138,19
69,68,110,88,100,71,94,89,87,84,148
70,94,102,135,62,7,30,136,79,31,131
71,122,51,90,125,142,82,22,103,113,96
72,68,19,32,77,27,4,5,113,44,84
73,94,2,134,122,80,7,145,26,131,19
74,23,26,1,131,52,120,42,66,4,75
75,52,129,147,67,109,62,134,100,102,128
76,125,0,99,131,116,40,29,77,83,132
77,107,86,127,111,63,55,41,67,123,52
78,101,128,56,75,32,9,1,2,82,94
79,69,110,64,14,109,50,60,87,103,129
80,108,139,62,106,119,43,144,53,52,146
81,115,90,21,128,30,145,116,133,23,103
82,114,40,84,38,72,87,109,132,89,58
83,68,83,36,81,31,117,118,13,4,28
84,9,125,65,73,91,37,5,149,101,114
85,75,69,107,1,115,18,51,35,113,41
86,66,53,7,73,112,57,135,125,118,41
87,6,61,106,141,85,95,114,88,56,27
88,101,65,126,142,144,81,46,128,22,18
89,98,20,45,30,99,21,59,71,22,31
90,1,21,108,122,28,43,98,8,112,31
91,25,101,69,59,119,64,5,73,26,41
92,52,31,62,14,34,118,46,24,91,147
93,18,52,16,3,50,43,84,24,25,81
94,106,137,41,48,75,29,4,140,93,39
95,79,149,136,10,104,43,147,69,73,143
96,98,128,89,121,103,143,42,111,118,106
97,131,10,120,64,98,57,33,95,41,6
98,5,54,67,112,40,139,74,3,4,41
99,34,56,108,54,53,41,67,97,135,74
100,82,14,104,80,46,134,40,135,97,34
101,47,21,117,38,15,44,134,26,24,41
102,54,51,5,34,136,10,37,131,44,105
103,126,70,119,133,63,47,88,148,100,73
104,48,73,91,37,121,134,13,10,95,68
105,23,41,2,69,46,103,63,37,95,104
